Date,Age,Life Event,Unnamed: 3,PredictedLabel,PredictedTheme
01-31-1949,0,"Robert Berdella was born in Cuyahoga Falls, Ohio.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
May 1956,7,"Brother, Daniel, was born",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1961,12,Berdella was baptized as a Catholic,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
Dec 1965,16,Father dies of a sudden heart attack at age 39. Mother remarries soon after. Berdella resented it.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1965,16,Raped by a man he worked with in an Ohio restaurant.,,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
1965,16,Stopped attending church services,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1965,16,"Watched the movie 'The Collector,' which was about a man who kidnapped a woman and kept her captive. He would later admit that this movie left a lasting impression on him.",,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
Jan 1968,19,"Arrested, and plead guilty, for selling amphetamines to an undercover agent. He received a five year suspended sentence.",,2,"This archetypal theme represents a pattern of escalating criminal behavior and disregard for the law. The individual has a history of theft, drug-related offenses, and increasingly violent crimes (hit and run, kidnapping), showing a progression from non-violent to violent offenses. The repeat parole violations indicate a lack of remorse or willingness to conform to societal norms even after serving time in prison. This pattern can be associated with an antisocial personality disorder, often found in serial offenders."
Feb 1968,19,Arrested for possession of LSD and marijuana. After spending 5 days in jail the charges were dropped for lack of evidence.,,2,"This archetypal theme represents a pattern of escalating criminal behavior and disregard for the law. The individual has a history of theft, drug-related offenses, and increasingly violent crimes (hit and run, kidnapping), showing a progression from non-violent to violent offenses. The repeat parole violations indicate a lack of remorse or willingness to conform to societal norms even after serving time in prison. This pattern can be associated with an antisocial personality disorder, often found in serial offenders."
Sep 1969,20,Bought a house where he would live until his arrest,,2,"This archetypal theme represents a pattern of escalating criminal behavior and disregard for the law. The individual has a history of theft, drug-related offenses, and increasingly violent crimes (hit and run, kidnapping), showing a progression from non-violent to violent offenses. The repeat parole violations indicate a lack of remorse or willingness to conform to societal norms even after serving time in prison. This pattern can be associated with an antisocial personality disorder, often found in serial offenders."
Dec 1969,20,Dropped out of art school,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
