Date,Age,Life Event,Life Event
12/11/1936,0,"Born to Judith Renner in Northern Liberties Hospital in Philadelphia, PA.","Born to Judith Renner in Northern Liberties Hospital in Philadelphia, PA."
January 1937,1,"Put into a boarding home where he only saw his mother once a week, developed separation anxiety.","Put into a boarding home where he only saw his mother once a week, developed separation anxiety."
December 1937,2,Joseph was placed on the Catholic adoption list; mother could not find a husband and provide a home for him.,Joseph was placed on the Catholic adoption list; mother could not find a husband and provide a home for him.
10/15/1938,2,Adopted by Stephen and Anna Kallinger.,Adopted by Stephen and Anna Kallinger.
1/9/1940,4,Adoption made official after mother tried to bribe the Kallingers into giving her money for her son.  She received nothing.,Adoption made official after mother tried to bribe the Kallingers into giving her money for her son.  She received nothing.
1941,5,"Joseph hears the “F” word from some neighborhood kids.  He is beaten by his father with a leather strap and by mother with a wooden spoon.  He is grounded for a week.  During the week the beatings continue, and he is never told what the word 
means or why he is being punished.","Joseph hears the “F” word from some neighborhood kids.  He is beaten by his father with a leather strap and by mother with a wooden spoon.  He is grounded for a week.  During the week the beatings continue, and he is never told what the word 
means or why he is being punished."
9/16/1943,6,"Joseph leaves St. Mary’s hospital after surgery to repair a hernia.  His parents tell him that the doctor also gave him surgery to keep his “bird” small and make it not work.  Bird was the word used in the Kallinger house for penis. Joseph was kicked in the groin by a girl three weeks prior to the surgery. 
He claimed he didn’t do anything to deserve it but parents punished him anyway.","Joseph leaves St. Mary’s hospital after surgery to repair a hernia.  His parents tell him that the doctor also gave him surgery to keep his “bird” small and make it not work.  Bird was the word used in the Kallinger house for penis. Joseph was kicked in the groin by a girl three weeks prior to the surgery. 
He claimed he didn’t do anything to deserve it but parents punished him anyway."
1943,7,Joseph steals a book of prayers from the school.  Punishment was kneeling on sandpaper for an hour each night.,Joseph steals a book of prayers from the school.  Punishment was kneeling on sandpaper for an hour each night.
1944,8,Joseph is hit in the head four times with a hammer by his mother because he wanted to go on a class trip to the zoo.  Joe ran into the house and beat his head against walls and tables as his mother chased him with a broom.,Joseph is hit in the head four times with a hammer by his mother because he wanted to go on a class trip to the zoo.  Joe ran into the house and beat his head against walls and tables as his mother chased him with a broom.
1944,8,Joseph is held at knife point by older boys while one performs,Joseph is held at knife point by older boys while one performs
,,,
,,oral sex on him.,
12/11/1945,9,First destructive act. Joseph cut up coats of his classmates because he didn’t get a birthday present.,
January 1947,11,"Joseph starts stealing money from his parents to take 
neighborhood kids to the movies in an attempt to make friends.",
January 1947,11,His parents find out he is stealing and is punished by having his fingers burned on the stove.  Joseph though that the pain wasn’t bad enough to stop since he had people to go to the movies with so he continued to steal.  He ended up getting burned six times.,
1949,13,Cuts a hole in his wall for masturbation.  Uses pictures of naked men and women as well as needing a knife nearby to achieve orgasm.  Soon has to cut and stab pictures to become aroused.,
July 1949,13,Persuades his parents to send him to camp for two weeks.  At camp he steals a scope off of a rifle and takes it apart.  Keeps the lens because it makes things bigger.,
1949,13,"Ten days after returning from camp, he heard voices telling him to cut someone.  He boarded a city bus with a knife.  He saw a boy got off of the bus and led him into the woods near a stream and ordered the boy to take off his pants at knife point.  He then ran off into the woods and never harmed the boy after ordering him to take off his pants.  He did this three more times in the next few months.  The last victim, Joe reenacts what had 
happened to him with the older boys and puts the other boy’s penis in his mouth and bites it while he holds the other boy at knife point.",
1949,13,"Joseph gets lead part in school play, A Christmas Carol.  He desired to be an actor after he did well in the play.  His parents would have nothing to do with it and laughed at him for 
wanting to do it.",
Spring 1950,14,Joseph met a girl at the movies.  He dated Hilda B. for months. His parents told him not to see her but he continued.,
September 1951,15,Has intercourse with Hilda.,
1951,15,"Joseph is told by God that his mission is to heal and save people through their feet.  He conducts over 40,000 experiments between 1951 – 1972 due to this vision.",
1951,15,"Joseph moves into his own place.  He continues to work at his father’s shoe shop.  He and Hilda are still together and 
frequently having sex.  For the first time he has friends.  Begins playing poker and pool and also begins drinking.",
1953,17,Drops out of school so he can work full time at the shoe shop and marry Hilda.,
1953,17,Marries Hilda.,
September 1956,20,Hilda leaves him for another man,
1957,21,Hospitalized with a suspected brain lesion but tests revealed,
,,,
,,only a “psychopathological nervous disorder.”,
April 1958,22,Married a second time.,
1958,22,"Set his own house on fire for amusement and reaps the benefit of $1,600 from fire insurance.",
July 1959,23,Committed to state hospital for attempted suicide.,
August 1965,29,Set fire to his home.,
October 1967,31,Set fire to his home.,
01/23/1972,36,Branded his oldest daughter with hot iron for running away from home.,
01/30/1972,36,Arrested for child abuse charges after three of his children went to the police station and accused their father of abusing them. Both Kallinger and his wife said that the children had run away and denied the abuse charges. Found competent to stand trial after a psychological examination.,
June 1972,36,Found guilty of child abuse and sentenced to four years probation with mandatory psychiatric treatment.,
1974,38,Hallucinating constantly and holding conversations with a disembodied head (named Charlie) and receiving personal orders from God.,
May 1974,38,His son Joey is released from a reformatory after he has been evaluated as seriously disturbed.,
06/26/1974,38,"Told his 13-year-old son, Michael, of his orders from God to murder young boys and sever their genitals and asked for his son’s help and his son complied with enthusiasm.",
07/07/1974,38,"Murdered Jose Collazo (10), a Puerto Rican youth, first torturing him then cutting off his genitals.",
July 1974,38,"Kallinger took out a $45,000 life insurance policy on his son Joey and his younger son.",
07/28/1974,38,"Murdered his son, Joey (MW, 13) in Philadelphia, PA.",
August 1974,38,"His son Joey, who he had reported as missing, was found dead under rubble at a demolition site. The cause of death could not be determined, but Kallinger later admitted to drowning him. The insurance company refused to honor the claim he made.",
11/24/1974,38,"Joseph and one of his sons force their way into a house in Lindenwold, NJ but no one was home. They break into a second home and Joseph sexually abuses a woman there.",
12/03/1974,38,"Kidnapped four women during their bridge game in 
Susquehanna Township, Pennsylvania, and stole $20,000 worth of valuables and cash. 
The father and son team held Pamela J. captive in her home, in Homeland, Maryland and forced her to perform sexual acts on Joseph at gunpoint.",
01/08/1975,39,"Joseph and his son force their way into a house in Leonia, NJ armed with knives and guns and took 8 hostages. They tied up all the hostages with cords that were cut from electronic 
appliances, and most of the hostages were found naked. Of the",
,,,
,,"eight, they killed only Maria Fasching (WF, 21) by slitting her throat. One of the hostages was able to get away and alert a neighbor who called police who arrived and found the seven hostages and Maria dead in the basement.","eight, they killed only Maria Fasching (WF, 21) by slitting her throat. One of the hostages was able to get away and alert a neighbor who called police who arrived and found the seven hostages and Maria dead in the basement."
01/17/1975,39,"Police arrested Joseph and two of his sons, Michael, 13 and James, 11 in their home after linking Kallinger to the crime with a bloodstained shirt. They were not sure which son was Joseph’s accomplice because they looked alike, but James was released, and Joseph and Michael were jailed.","Police arrested Joseph and two of his sons, Michael, 13 and James, 11 in their home after linking Kallinger to the crime with a bloodstained shirt. They were not sure which son was Joseph’s accomplice because they looked alike, but James was released, and Joseph and Michael were jailed."
