Date,Age,Life Event,Life Event
03/15/1927,0,"Born in Misericordia Hospital, Manhattan, New York. Peter has an older brother, James who was born in 1925.","Born in Misericordia Hospital, Manhattan, New York. Peter has an older brother, James who was born in 1925."
1932,5,"Moved from U.S. to Motherwell, Scotland, due to father being terribly ill and mother wanting to be around family for help","Moved from U.S. to Motherwell, Scotland, due to father being terribly ill and mother wanting to be around family for help"
1934,7,Sister Teresa is born.,Sister Teresa is born.
1937,10,"Attended Park St. Roman Catholic School in Motherwell, Scotland","Attended Park St. Roman Catholic School in Motherwell, Scotland"
1938,11,"Family moved to Coventry, England","Family moved to Coventry, England"
1939,12,"First court appearance. Was bound for over 12 months for shoplifting, breaking and entering, and larceny","First court appearance. Was bound for over 12 months for shoplifting, breaking and entering, and larceny"
1942,15,"Broke into his teacher’s house, attacked his wife by beating her with a candle stick holder, and then hid in the school’s nativity scene during the day. Charged with assault and breaking and entering.","Broke into his teacher’s house, attacked his wife by beating her with a candle stick holder, and then hid in the school’s nativity scene during the day. Charged with assault and breaking and entering."
06/24/1942,15,Went to Southport Juvenile Court on three charges of breaking into houses.,Went to Southport Juvenile Court on three charges of breaking into houses.
03/15/1943,16,Appeared in front of the Market Weighton Court and was committed to a borstal (youth prison) for two years.,Appeared in front of the Market Weighton Court and was committed to a borstal (youth prison) for two years.
1943 or 1944 (not real clear),,Manuel was struck on the right side of his forehead by a piece of steel from an air raid bomb attack. He was knocked unconscious for few hours and was “blank minded” for a few days.,Manuel was struck on the right side of his forehead by a piece of steel from an air raid bomb attack. He was knocked unconscious for few hours and was “blank minded” for a few days.
1944,,Received an electric shock from his job that resulted in a loss of consciousness as well as burns – three e coworkers died in the incident. Peter had memory problems in the years following the accident.,Received an electric shock from his job that resulted in a loss of consciousness as well as burns – three e coworkers died in the incident. Peter had memory problems in the years following the accident.
March 1945,17,Released from Rochester Borstal Institution,Released from Rochester Borstal Institution
02/17/1946,18,Arrested for breaking into a home and stealing a watch.,Arrested for breaking into a home and stealing a watch.
02/21/1946,18,Released on bail.,Released on bail.
03/03/1946,18,Attacked a mother of a 3-year old child in Mt. Vernon Glasgow. He,Attacked a mother of a 3-year old child in Mt. Vernon Glasgow. He
,,,
