Date,Age,Life Event,Life Event
~ 1919,,Cicero has long history of crime and became world famous as the headquarters for Al Capone.,Cicero has long history of crime and became world famous as the headquarters for Al Capone.
12-27-43,0,"Born in Cicero, Illinois.  The third of five children of Alberta and Henry Robinson.","Born in Cicero, Illinois.  The third of five children of Alberta and Henry Robinson."
1955,12,"Joined the Boy Scouts, was sponsored by the Holy Name Society of Mary Queen of Heaven Roman Catholic Church.","Joined the Boy Scouts, was sponsored by the Holy Name Society of Mary Queen of Heaven Roman Catholic Church."
Fall of 1957,13,Was accepted to the Quigley Preparatory Seminary.  This was a 5 year course for young men who planned to become a priest later.,Was accepted to the Quigley Preparatory Seminary.  This was a 5 year course for young men who planned to become a priest later.
11-03-57,13,Was named an Eagle Scout.  Was said to be an elite future leader. Was overly pompous after the ceremony.,Was named an Eagle Scout.  Was said to be an elite future leader. Was overly pompous after the ceremony.
"Mid 
November 1957",13,"As an Eagle Scout he traveled to London to sing for the Queen of England, afterwards backstage he received a kiss from Judy Garland. He then told actress Gracie Fields that he planned to study for priesthood when he completed Quigley Preparatory Seminary located in Chicago.","As an Eagle Scout he traveled to London to sing for the Queen of England, afterwards backstage he received a kiss from Judy Garland. He then told actress Gracie Fields that he planned to study for priesthood when he completed Quigley Preparatory Seminary located in Chicago."
,"High 
school","Was a member of the Cardinal’s Cathedral Choristers, a group that sang at Sunday Mass at Chicago’s Holy Name Cathedral.","Was a member of the Cardinal’s Cathedral Choristers, a group that sang at Sunday Mass at Chicago’s Holy Name Cathedral."
,"High 
school","At Quigley Preparatory Seminary, he was a poor and failing student and a discipline problem.  He got into squabbles and shoving matches with his 
classmates and spent much time in after school detention. Left Quigley at the end of his freshman year. (Source: Lee Regner, classmate)","At Quigley Preparatory Seminary, he was a poor and failing student and a discipline problem.  He got into squabbles and shoving matches with his 
classmates and spent much time in after school detention. Left Quigley at the end of his freshman year. (Source: Lee Regner, classmate)"
1961,17,"Enrolled at the Morton Junior College in Cicero to train to become a medical X-ray technician. With his continuing delusions of grandeur, he is now determined to become a doctor. Dropped out of Morton after only 2 years","Enrolled at the Morton Junior College in Cicero to train to become a medical X-ray technician. With his continuing delusions of grandeur, he is now determined to become a doctor. Dropped out of Morton after only 2 years"
1964,21,Moved to Kansas City and married Nancy Jo Lynch.,Moved to Kansas City and married Nancy Jo Lynch.
1964,21,Robinson got his first job as an X-ray technician even though he had not finished his training in tech school.  He was hired at Children’s Mercy and General,Robinson got his first job as an X-ray technician even though he had not finished his training in tech school.  He was hired at Children’s Mercy and General
,,,
,,"Hospital. He displayed fake diplomas and recommendation letters from Morton. 
He told them he needed a night job while he was in medical school to become a doctor.  This was his first fraud.  He was fired after they figured out he really didn’t know what he was doing.",
1965,21,Wife Nancy gives birth to their fist child. Named him John Jr. Was known to be unfaithful to his wife; He went out to bars while Nancy cared for the baby.  Was also known to have many girlfriends.,
1966- 1968,22-24,Hired by Dr. Wallace Graham as an x-ray technicianat the Fountain Plaza X-ray Laboratory.  Robinson stole from Graham; he drained the practice’s bank account within six months of being hired.  He engaged in sexual encounters with office staff and patients.Bragged to Dr. Graham’s 15 year old son about his double life and his sexual liaisons. Told Dr. Graham’s son that he liked go to a club that male transvestites went to.,
1969,25,"Robinson is arrested and charged with embezzling $33,000 from Dr. Grahams practice. Robinson was convicted of theft and was sentenced to three years of probation.",
1970,26,"In 1970, he was arrested for stealing 6,200 stamps from Mobile Oil Corp., his employer at the time.  He made a deal with the court to pay restitution and the charge was dropped to a misdemeanor.",
1970,26,Finds new work with R.B. Jones Company selling insurance. Moves his family back to Chicago for his new job which breaches the conditions of his 3-year probation and he doesn’t tell his probation officer.,
1971,26,"Was doing very well selling insurance but couldn’t resist stealing and was caught embezzling $5,586.36 from R.B Jones. Was again given a break when he agreed to pay restitution and the case was dropped, the Jackson County Court was reported to and ordered Robinson back to Kansas where the judge extended his 3 year 
probation.",
1971,26,Nancy gives birth to fraternal twins- Christopher & Christine.  The Robinson’s move into a bigger house in Missouri.,
1971-?,26,"Robinson decides to start his own medical consulting business called Professional Services Association, Inc.",
No specific dates,,Robinson was hired by the University of Kansas Medical Center as a business consultant for its Family Practice Department.  Was let go after people became suspicious of him and after he requested the corporation’s checkbook. Forges many more letters trying to get his company status and is caught.,
"December 10, 1975",31,"Federal Grand Jury in Missouri returned a four-count indictment for securities fraud, mail fraud and for falsely misrepresenting his company PSA.",
"May 24, 1976",32,"Robinson pleads no contest to the charges of interstate securities fraud and was fined $2,500 and furthered his probation by three more years.",
No Specific Dates,,"Robinson family moves to a new house and over next few years became a Scoutmaster, coached a tee-ball team, refereed school volleyball games, bought two horses, and became a Sunday School teacher at a Presbyterian church even though he was Catholic and dressed up like Santa for the neighborhood children.",
No Specific Dates,,"Forms a new company called Hydro-Gro and cons a family into investing $ 25,000.",
1977,33,"Robinson charmed his way onto the board of directors of a local handicapped service organization. His first act on the board was to order stationery for the group with which he forged a letter from the executive director to the mayor and from the mayor to other civic leaders inviting them to an awards luncheon, honoring an anonymous recipient of the “Man of the Year” award. The winner turned out to be Robinson, an award completely engineered by Robinson. The persons whose names Robinson forged read about the event in the newspaper and exposed Robinson as a fraud.  Meanwhile Robinson is beating his wife Nancy and starving his dog and 2 horses.",
March 1979,36,Robinson is discharged from federal probation with an excellent report from his,
,,,
,,probation officer.  He then became the Employee Relation Manager at Guy’s Food. He had an affair w/a secretary that helped him embezzle thousands by inventing fake employees and cashing their checks.,
"December 30, 1980",37,"Robinson is fired from Guy’s Food and charged w/felony theft, submitting false vouchers and forged checks.  Robinson had to pay back over $41,000 in restitution.",
Fall of 1981,37,"Plead guilty to a class C felony of stealing a $ 6,000 check and spent 60 days in jail starting May 1982.",
Summer 1982,38,"Starts a new consulting company called Equi-Plus.  Robinson sexually propositions many of his neighbors’ wives and gets into a physical fight with one of the 
husbands.",
Fall 1982,38,Irv Blattner becomes Robinson’s partner in crime and they start a sister company together called Equi-2.,
May 1984,40,Irv Blattner leads Robinson to a woman whom wanted a divorce.  Robinson poses as an attorney promising to get her a divorce if she paid him $ 200 and gave him her car.  She never got her divorce.,
1984,40,"John hired Paula Godfrey, who was 19 at the time, to work as a sales representative for his firm.  He picked her up from her parents’ home in September to go to the airport but she was never seen again.",
Summer 1984,40,"Robinson rents a duplex in the name of his company Equi-2, and turns it into a brothel.  He hires Linda Stevens Jones to run it and find other girls to join.  The brothel specialized in rough S&M sex.  Robinson at this time had also become that leading member of a secret S&M cult called the International Council of Masters. He was the cult’s “Slavemaster” and was to bring a victim to meetings for beatings, torture, or rape.",
"Jan. 9, 1985",41,"That January he met Lisa Stasi and her 4-month-old baby at a battered women’s shelter in Kansas City.  Telling her his name was John Osborne, he promised her a job in Chicago and, after picking Lisa and Tiffany at the home of Lisa’s sister, Kathy Klinginsmith, put her up in a local hotel.  Before her disappearance he asked her to sign blank stationary.",
"Jan. 10, 1985",41,"Lisa Stasi called her mother-in-law, Betty Stasi, telling her that “they” told her she was not a fit mother and that Betty wanted custody of Tiffany. Betty denied the claim. The last words Betty heard from Lisa were “here they come,” before the phone disconnected. Robinson called his brother, who was childless and was trying to adopt, that day to come to Kansas from Chicago because he found a baby girl for them. Don and Helen Robison would return to Chicago two days later with a beautiful 4-month-old baby and forged adoption papers. Robinson would walk away with $5,500 dollars in “lawyer” fees for setting up the adoption.  Both of the families of the missing girls received type written letters with their signature on them. The police investigated but dropped the investigation when no evidence could be found.",
"March 19, 1985",42,Irv Blattner cooperates w/Secret Service to sign a statement implicating John Robinson’s position in a number of illegal activities to get him arrested for probation violations.,
"March 21, 1985",42,Robinson is arrested at his probation officer’s office-Steve Haymes.,
