Date,Age,Life Event,Life Event
07/15/62,0,"Glen Edward Rogers was born by Cesarean section to Edna Rogers and her husband. He was the sixth of seven children (six boys, one girl).","Glen Edward Rogers was born by Cesarean section to Edna Rogers and her husband. He was the sixth of seven children (six boys, one girl)."
1962-63,1-2,"During his infant years, Glen would sit and rock back and forth and continually bang his head against hard surfaces never once crying; his emotions seemed flat.","During his infant years, Glen would sit and rock back and forth and continually bang his head against hard surfaces never once crying; his emotions seemed flat."
1962-64,1-3,Glen was still in diapers when Edna slapped him so hard he was unable to breathe and passed out.,Glen was still in diapers when Edna slapped him so hard he was unable to breathe and passed out.
1964-65,3,"When he learned to free his arms from the restraints she kept him tied in, he would eat paint off the walls.","When he learned to free his arms from the restraints she kept him tied in, he would eat paint off the walls."
1964-65,3,During baths his redheaded mother grabbed his head and held it under the water.,During baths his redheaded mother grabbed his head and held it under the water.
1974,12,Glen stopped wetting the bed.,Glen stopped wetting the bed.
1974,12,"Glen began drinking and became addicted to drugs as a result of his older brother Clay, who is homosexual.","Glen began drinking and became addicted to drugs as a result of his older brother Clay, who is homosexual."
1974,12,During the same year he and his brother began burglarizing houses for money and were later caught after robbing over two hundred homes.,During the same year he and his brother began burglarizing houses for money and were later caught after robbing over two hundred homes.
1974,12,Glen was sent to reform school as a result of his criminal behavior.,Glen was sent to reform school as a result of his criminal behavior.
1975,13,Glen found naked photographs of his redheaded mother and attempted suicide by overdosing on 25 Motrin pain reliever tablets.,Glen found naked photographs of his redheaded mother and attempted suicide by overdosing on 25 Motrin pain reliever tablets.
1976,14,"Doctors learned of Glen’s unusual blood disorder that manifested when he became upset or angry about things he had no control. He would break out in red splotches over his face, arms, hands, and chest,-Porphyria, Mad King George disease.","Doctors learned of Glen’s unusual blood disorder that manifested when he became upset or angry about things he had no control. He would break out in red splotches over his face, arms, hands, and chest,-Porphyria, Mad King George disease."
1977,15,"Glen met Debbie who was a 13-year old prostitute. Several weeks after they met Glen was arrested for aggraded menacing, his first arrest as an adult.","Glen met Debbie who was a 13-year old prostitute. Several weeks after they met Glen was arrested for aggraded menacing, his first arrest as an adult."
1978,16,Glen was expelled from school having reached his 16th birthday. He was in the 9th grade with “Fs” in every subject.,Glen was expelled from school having reached his 16th birthday. He was in the 9th grade with “Fs” in every subject.
1979,17,His dad suffered a life threatening stroke that left him bed ridden Glen often dropped by and took care of his father while his mother went out in search of and found companionship.,His dad suffered a life threatening stroke that left him bed ridden Glen often dropped by and took care of his father while his mother went out in search of and found companionship.
1979,17,Glen saw his mother in a bar with another individual and beat them with a baseball,Glen saw his mother in a bar with another individual and beat them with a baseball
,,,
,,bat. He later put his father in the car and took him to the bar to show him what his mother was doing.,
8/26/79,17,"Debbie was 14 when she became pregnant while continuing her job; Glen was 17 and knew it wasn’t his son but Clinton Dwayne was born August 26, 1979 and Glen later adopted him and gave him the Rogers name.",
1980,18,Glen and Debbie were married.,
1981,19,"Glen had a second son, Jonathan Claude Rodgers.",
1982,20,"Glen thought Debbie was cheating and followed her.  After he witnessed her pick up a man he followed her home and beat her violently, striking her several times in the vagina with the toe of his steel toed boots. Even with corrective surgery it mentally damaged her. He believed that if he could not have her sexually then no one could.",
1982-85,20-23,"Glen and Catherine Mary Kopoina, with whom he had a son, moved to Los Angeles suburbs until December 1985.",
1986,24,Glen’s brother Clay introduced Glen to Shanda Price of whom they then pulled several hustles and cons throughout Ohio and Kentucky.,
1986,24,Glen went to the emergency room after being overly intoxicated and injecting Budweiser into his veins.  He admitted to using cocaine on a steady basis.,
