Date,Age,Life Event,Life Event
"April 
1958",0,Born in Florida,Born in Florida
,6 mo,Parents separated,Parents separated
1964,6,"Mother moved him to Seattle to live with her new husband, a dentist named Wonzel Mobley","Mother moved him to Seattle to live with her new husband, a dentist named Wonzel Mobley"
1970,12,"Sneaked into waterfront home with 2 other 7th graders, made toast, and left Enjoyed outwitting other boys by seeing who could find his forts in the woods","Sneaked into waterfront home with 2 other 7th graders, made toast, and left Enjoyed outwitting other boys by seeing who could find his forts in the woods"
1971-72,13-14,Cops noticed him peering through blackberry bushes at night,Cops noticed him peering through blackberry bushes at night
1971-72,13-14,Got in trouble for truancy so was given work around the Mercer Island Police Station,Got in trouble for truancy so was given work around the Mercer Island Police Station
1971-72,13-14,Dr. Mobley (step-dad) made clear to police that George was not his biological son,Dr. Mobley (step-dad) made clear to police that George was not his biological son
1971-72,13-14,Ratted out friends that stole guitars to police; considered insider for police,Ratted out friends that stole guitars to police; considered insider for police
May ‘73,15,Began to hang out with younger kids because he was only 5’ in high school,Began to hang out with younger kids because he was only 5’ in high school
May ‘73,15,He & 2 classmates disappear from school; next afternoon arrested 50 mi. away,He & 2 classmates disappear from school; next afternoon arrested 50 mi. away
May ‘73,15,Police notice he refuses to accept blame or responsibility; symptom of sociopathy,Police notice he refuses to accept blame or responsibility; symptom of sociopathy
May ‘73,15,"Liked guns so him & 2 friends took bus to gun exchange in Seattle, then he led them to porn movie house and snuck in; few days later went back and watched 2 men have anal sex","Liked guns so him & 2 friends took bus to gun exchange in Seattle, then he led them to porn movie house and snuck in; few days later went back and watched 2 men have anal sex"
May ‘73,15,Entered High school as one of smallest boys in class,Entered High school as one of smallest boys in class
May ‘73,15,"Nicknamed “The Fly” because of size and agility; also nicknamed “Chicken George,” “The Mouth,” and “Leapin George”","Nicknamed “The Fly” because of size and agility; also nicknamed “Chicken George,” “The Mouth,” and “Leapin George”"
May ‘73,15,Kept list of dead schoolmates,Kept list of dead schoolmates
May ‘73,15,Smoked pot for first time,Smoked pot for first time
May ‘73,15,Not really interested in girls; very secretive about it,Not really interested in girls; very secretive about it
Sept. ‘73,15,"Was into CIA & detective stuff.  Quoted with saying, “People in lighted houses can’t see out their windows.  That’s important to remember.”","Was into CIA & detective stuff.  Quoted with saying, “People in lighted houses can’t see out their windows.  That’s important to remember.”"
Sept. ‘73,15,Got angry when people would call him black; never idolized black athletes,Got angry when people would call him black; never idolized black athletes
Sept. ‘73,15,"Was led on by the white girls in the school, but was always turned down; refused to date black girls","Was led on by the white girls in the school, but was always turned down; refused to date black girls"
Sept. ‘73,15,Snuck friends into Led Zeplin concert,Snuck friends into Led Zeplin concert
,,,
,,Stole pills from step-dad’s dental supplies and shared them.  Possessed marijuana,
,,"Got into trouble for: trespassing in the park, curfew violation, shoplifting, drinking, popping Valiums",
,,Stole a rare penny from friend’s coin collection and talked his way out of it,
1974,16,Step-dad cheated with white business woman so Mom and sister went East to Maryland; left with step-dad,
1974,16,"Shortly after new step-mom moved in, he began to leak confidential police reports so he was not allowed to hang out at police station anymore",
1974,16,"Cut classes, drank, stole, popped pills, and smoked pot",
1974,16,Became a regular in juvenile court and often talked his way out of it,
1974,16,Was shipped off the Island to Dr. Michael Washington’s house (step-dad’s old classmate) because made advances on his step-mom,
1975,17,Went back to Mercer Island and victimized the kids he used to hang out with; made them let him “borrow” their cars for days at a time,
1975,17,Would threaten kids with knife if “got out of line”,
1975,17,Put a stranglehold on a boy because he “wasn’t cooperating”,
1975,17,Was arrested for pot and giving beer to kids; they found a kitchen knife up each sleeve; put on probation,
1976,18,"Charged with criminal trespass, possession of marijuana, 2nd degree burglary, possession of stolen property and “nuisance noise”",
1976,18,Tried in district court and sentenced to 3 days in King County Jail; re-offended and served 4 days; re-offended and served 32 more days,
1977,19,Dropped out of High school,
1977,19,Unsteady jobs; dependent on petty theft and other misdemeanors,
1977,19,"“borrowed” Jag after midnight from childhood friend Tom Haggar; when caught he said he had permission; Tom Haggar put together complete dossier arrests, 
convictions, and everything he’d gotten away with since Jr. High; served 35 days",
1977,19,"After released, went back to Tom’s house several times and stole silver dollars, clothes, other small items",
1977,19,Big problem with taking and riding other people’s cars,
1977,19,Obtained a police scanner and punched in all the local cop  channels so he could listen to what was going on,
1977,19,"Would rob same house 3-4 times, but just take small stuff",
1977,19,Impersonated cop one night at bar to barmaid,
1977,19,"Spent more time in jail; short stretches of a day, 2 days, a week",
1977,19,Called “Oreo” by black inmates because he talked and acted white,
1978-81,20s,Was hired as assistant manager of teen disco “Tonite’s The Nite” (TTN),
1978-81,20s,Lost temper with female attendee who questioned his authority,
1978-81,20s,Stole $1000s of from TTN in 2 year period,
1978-81,20s,"Wrecked car and when arrested, told cop, “You’re lucky.  If I had a gun you would be dead”",
1978-81,20s,Used plates stolen from friend to put on car; sentenced to day in jail,
1978-81,20s,Another car accident; Step-mom went to court with him blamed his bad behavior on when his biological mom left so said he deserved another chance; George thought it was ridiculous,
1978-81,20s,"Tried to brake into TTN club owner’s car; was arrested, but escaped out of holding room at police station; evaded 2 chases on foot, helicopter chase, and canine unit 3 times",
1978-81,20s,"Finally got caught, arrested, and convicted of 1st felony conviction (Escape); sentenced to 10 months in county jail",
1978-81,20s,Arrested for burglary; served short sentence,
1980,,Younger step-brother is born,
,Mid 20s,"Helped police with stings, helping to set up drug sellers and buyers; also did credit-card sting",
,,,
"1982-
1985",,Phoned tips to Crime Watch,Phoned tips to Crime Watch
"1982-
1985",,Started using younger kids for sex,Started using younger kids for sex
"1982-
1985",28,Had relationship and sex with 14-year old (consensual); later forced her to perform oral sex on him,Had relationship and sex with 14-year old (consensual); later forced her to perform oral sex on him
"1982-
1985",28,Admitted he tried to leave Erika (younger sister) at gas station when she was younger even though he praised her like royalty,Admitted he tried to leave Erika (younger sister) at gas station when she was younger even though he praised her like royalty
"1982-
1985",28,"Arrested for stealing a TV, lottery tickets, and selling beer to minors; sentenced 30 days; ended up serving 7 months","Arrested for stealing a TV, lottery tickets, and selling beer to minors; sentenced 30 days; ended up serving 7 months"
"1982-
1985",28,Wrote letters to 14-year old talking about marriage and that they have forever; also about anal sex fantasies with her,Wrote letters to 14-year old talking about marriage and that they have forever; also about anal sex fantasies with her
