Date,Age,Life Event,Life Event
07/08/1942,0,Born to unwed mother,Born to unwed mother
07/09/1942,1 day old,Adopted by Charles and Katharine Schmid,Adopted by Charles and Katharine Schmid
1944-1954,Childhood,"Described as a “trickster”.  Curious, bright, risk-taker, and indifferent to other’s expectations. Complained that his dad use to beat him for no reason at all.","Described as a “trickster”.  Curious, bright, risk-taker, and indifferent to other’s expectations. Complained that his dad use to beat him for no reason at all."
1951,8-9,"He and best friend Paul Ginn used to go hunting with BB guns for rabbits, birds, and squirrels","He and best friend Paul Ginn used to go hunting with BB guns for rabbits, birds, and squirrels"
"Sometime between 
1956-1960","Somewhere between 
14-18","Spent one semester in a military school in San Diego, presumably because of his less than average grades","Spent one semester in a military school in San Diego, presumably because of his less than average grades"
1960,17-18,Led school to State Gymnastics Championship,Led school to State Gymnastics Championship
1960,17-18,Quit school after being suspended for stealing tools from the machine shop,Quit school after being suspended for stealing tools from the machine shop
Early 60s,17-23,"He was reportedly “obsessed with sex and its possibilities.”  Once wrote in a “theme” that he wanted to “run naked down the main street of Tucson, masturbating and screaming obscenities at the world.”","He was reportedly “obsessed with sex and its possibilities.”  Once wrote in a “theme” that he wanted to “run naked down the main street of Tucson, masturbating and screaming obscenities at the world.”"
1960,18,Discovers he us adopted with a possibly unfriendly encounter with his birth mother (Some sources say this did not occur till he was 21),Discovers he us adopted with a possibly unfriendly encounter with his birth mother (Some sources say this did not occur till he was 21)
1960-61,18,Living on his own in a cottage furnished by his parents; Parents provided $300/month and a nice car.,Living on his own in a cottage furnished by his parents; Parents provided $300/month and a nice car.
03/1962,19,Smitty and friend Paul Ginn go to Balboa Island for Easter.  Smitty is attacked by L.A. “hoods” who bust him across the face with a lead pipe.,Smitty and friend Paul Ginn go to Balboa Island for Easter.  Smitty is attacked by L.A. “hoods” who bust him across the face with a lead pipe.
11/1961,19,Went to jail for one night for creating unlawful diversion,Went to jail for one night for creating unlawful diversion
1960-1965,18-23,"He is always interested in blondes around the age of 15-16.  If a female of interest did not have blonde hair, he would bleach it for them.","He is always interested in blondes around the age of 15-16.  If a female of interest did not have blonde hair, he would bleach it for them."
1960-1965,18-23,Known for enjoying “torturing” girls.  Made them fall in love with him and then drop them flat.,Known for enjoying “torturing” girls.  Made them fall in love with him and then drop them flat.
1960-1965,18-23,Supposedly ran a ring of 100 call girls,Supposedly ran a ring of 100 call girls
1960-1965,18-23,"Books found in his cottage included Playboy, detective magazines that included stories of rape and sexual misadventure, and Harry, the Rat with","Books found in his cottage included Playboy, detective magazines that included stories of rape and sexual misadventure, and Harry, the Rat with"
,,,
,,Women.,
03/20/1963,20,He is detained by Beverly Hills police for suspicion of robbery on another impulsive trip to California.  He also told friends the night before that he wanted to “go out and rape a couple of girls and kill them.”,
1963-1964,21,"He met friend/girlfriend Mary French (age 18) who he lies about to his parents and says he is married to. Mary lives with him, sleeping in the same bed, until Charles’ parents find out and make her leave.",
1963-1964,21,Mary is employed by Charles Schmid Jr.’s parents at the nursing home.  He convinces her to put her paycheck in his account and he spends all her money.,
1963-1964,21,"He becomes interested in Alleen Rowe, an attractive, studious girl who was not interested in him at all.",
1963-1964,21,Rumors circulate around Tucson that Smitty is the leader of a “sex club” where individuals have to have sex in front of others to be initiated.,
05/31/1964,21,"Declares that morning to his friends John Saunders and Mary French that he wants to kill Alleen Rowe that night.  He and his friends got a shovel to bury the body, picked up Alleen, drove into the desert and killed her.  The three bury the body and drive back to town.",
Summer of 1964,22,"Smitty discovers Gretchen Fritz at the swimming pool.  Gretchen is the daughter of a heart surgeon, typical “rich girl” with a rebellious nature.  The two have an up and down relationship, each very possessive of the other.",
