Date,Age,Life Event,Life Event
06/14/1946,0,"Born in Nottingham, England","Born in Nottingham, England"
10/1961,15,"Won the most improved student award for rugby, was a talented  rugby player","Won the most improved student award for rugby, was a talented  rugby player"
1/1962,15,"Mother Vera, diagnosed with lung Cancer","Mother Vera, diagnosed with lung Cancer"
06/24/1963,17,"Mother, Vera dies of lung cancer","Mother, Vera dies of lung cancer"
1963,17,Team mates on his cross country team suspected he was addicted to sniffing  Sloan’s Liniment,Team mates on his cross country team suspected he was addicted to sniffing  Sloan’s Liniment
1965,19,"Accepted to Leeds University Medical School, England","Accepted to Leeds University Medical School, England"
1966,20,Marries Primrose May Oxtoby at 17 years old and she’s 5 months pregnant,Marries Primrose May Oxtoby at 17 years old and she’s 5 months pregnant
02/14/1967,20,"Has first born child, Sarah Rosemary Shipman","Has first born child, Sarah Rosemary Shipman"
10/1970,24,"Takes finals at Leeds and graduates, gaining MBchB","Takes finals at Leeds and graduates, gaining MBchB"
4/21/1971,24,"Second child is born, Christopher Fredrick Shipman","Second child is born, Christopher Fredrick Shipman"
9/1972,26,Received diploma in Child Health,Received diploma in Child Health
1974,28,"Joins Medical Practice in Yorkshire, England","Joins Medical Practice in Yorkshire, England"
1974,28,"Had unexpected blackouts, wrongfully diagnosed as an epileptic, was actually addicted to Pethidine, which he was suspected of illegally prescribing for patients and taking himself.","Had unexpected blackouts, wrongfully diagnosed as an epileptic, was actually addicted to Pethidine, which he was suspected of illegally prescribing for patients and taking himself."
3/1975,28,"Killed first victim, Eva Lyons, on the day before her 71st birthday","Killed first victim, Eva Lyons, on the day before her 71st birthday"
1975,29,"Forced out of his practice by partners and enters rehab at the Retreat, a psychiatric center in York.","Forced out of his practice by partners and enters rehab at the Retreat, a psychiatric center in York."
11/1975,29,Arrested for forgery of Pethidine prescriptions while in rehab at The Retreat,Arrested for forgery of Pethidine prescriptions while in rehab at The Retreat
2/1976,29,"Plead guilty to three offenses of obtaining a controlled drug by deception, three of unlawful possession of a controlled drug, and two charges of forging declarations of exemption from prescription charges. Was fined for all charges, if he offended again then part of a subsequent hearing","Plead guilty to three offenses of obtaining a controlled drug by deception, three of unlawful possession of a controlled drug, and two charges of forging declarations of exemption from prescription charges. Was fined for all charges, if he offended again then part of a subsequent hearing"
12/1976,30,Stopped practicing for 1 year and 264 days,Stopped practicing for 1 year and 264 days
1977,31,He became a clinical Medical Officer; his responsibilities were only to exam infants and give advice about development.,He became a clinical Medical Officer; his responsibilities were only to exam infants and give advice about development.
1979,33,"Back in general practice in Donnybrook Medical Center in Hyde, England","Back in general practice in Donnybrook Medical Center in Hyde, England"
3/20/1979,33,"Son, David born","Son, David born"
,,,
3/5/1982,35,"Son, Sam born","Son, Sam born"
1/1985,38,"Father dies, seemed unaffected, didn’t take off work for the funeral.","Father dies, seemed unaffected, didn’t take off work for the funeral."
1998,52,"Complaint made that Shipman had described the wrong dose of Epilem at a patient with epilepsy, civil case for negligence was pursed and settled for 250,00£.","Complaint made that Shipman had described the wrong dose of Epilem at a patient with epilepsy, civil case for negligence was pursed and settled for 250,00£."
3/24/1998,51,Concerns about the excess number of deaths among Shipman’s Patients reported by local general,Concerns about the excess number of deaths among Shipman’s Patients reported by local general
