Date,Age,Life Event,Life Event
05/21/1959,0,"Born in Freeman, Missouri, last of three children, only girl","Born in Freeman, Missouri, last of three children, only girl"
05/1966,7,"Family moved to La Plata, Northeastern Missouri, sexually molested by grandfather","Family moved to La Plata, Northeastern Missouri, sexually molested by grandfather"
1972,13,"Hung out with  Randy, shoplifting, drinking and smoking Marijuana, became aggressive","Hung out with  Randy, shoplifting, drinking and smoking Marijuana, became aggressive"
73’/74’/75’,13-16,Began having sex during her freshman year. She excelled at basketball and softball. In 1974 she popped pills (mom’s Valium); 1975,Began having sex during her freshman year. She excelled at basketball and softball. In 1974 she popped pills (mom’s Valium); 1975
1975,16,"Took LSD with boyfriend Evan Dow. Became interested in bikes and drag racing with brother Randy. Randy took job in Illinois, other brother Dennis had brain surgery for seizures; she used some of his medication.","Took LSD with boyfriend Evan Dow. Became interested in bikes and drag racing with brother Randy. Randy took job in Illinois, other brother Dennis had brain surgery for seizures; she used some of his medication."
04/10/1976,17,"In a car wreck with Randy, who died at scene at the age of 19. Paula suffered fractures to her face and jaw. Randy’s autopsy showed drugs and intoxication.","In a car wreck with Randy, who died at scene at the age of 19. Paula suffered fractures to her face and jaw. Randy’s autopsy showed drugs and intoxication."
04/10/1976,17,"Started closing herself off from friends and family, liked to be alone often, less aggressive, suicidal ideology.","Started closing herself off from friends and family, liked to be alone often, less aggressive, suicidal ideology."
,,,
05/1976,17,"Family moved to Wood River, Illinois – Cottage Hills. Paula made new friends with June Bland and Rhonda Henson who she met in Civic Memorial High School. These became long-term friendships.",
1977,18,"Graduated from high school – name in yearbook, no picture – known as loner",
1978,19,"Went to Lewis and Clark Community College for a year, keypunch program. She did not finish program. Bought first car, blue ‘69 Maverick. Went to work as cashier at the National Food Store on Godfrey road in Godfrey.",
1978/1979,19/20,"Song came out called “Lorelei”, told her friend, June that she was going to name her first daughter Lorelei. Paula often spoke of having children, wanted girls. Her brother Dennis’s seizures became worse, causing her mother to become severely depressed.",
1979/1980,20/21,Introduced to Robert “Rob” Sims by her friend June’s cousin. Paula and Rob went to rock concert together.,
05/02/1981,22,Married Robert Sims,
01/1983,24,"Rob and Paula moved to Brighton, Illinois",
