Date,Age,Life Event,Life Event
8-12-61,0,Born August 12th,Born August 12th
1964,3,Diagnosed with Trichotillomania (Obsessive Compulsive hair-pulling) and prescribed medication,Diagnosed with Trichotillomania (Obsessive Compulsive hair-pulling) and prescribed medication
1968,7,First violent fantasy about women:  Dreamed of capturing women and killing them.  He imagined killing female cashiers at the grocery store while waiting for his parents.,First violent fantasy about women:  Dreamed of capturing women and killing them.  He imagined killing female cashiers at the grocery store while waiting for his parents.
"1969-
1972?",8-11?,He played in the outfield on a baseball team,He played in the outfield on a baseball team
1972,11,"Imagined his mother being kidnapped.  He was sexually molested by his Uncle, Jesse Stayner, who was convicted of child 
molestation.  His brother, Steven Stayner, is kidnapped Dec 4th by pedophile Kenneth Parnell. He had never seen his dad cry before this day.","Imagined his mother being kidnapped.  He was sexually molested by his Uncle, Jesse Stayner, who was convicted of child 
molestation.  His brother, Steven Stayner, is kidnapped Dec 4th by pedophile Kenneth Parnell. He had never seen his dad cry before this day."
1973-1974,12 or 13?,He has dark sadistic fantasies about women marching naked and being gang raped.  In 7th grade he was placed in the gifted classes. He and several neighborhood boys stripped naked and ran back and forth in front of several girls.,He has dark sadistic fantasies about women marching naked and being gang raped.  In 7th grade he was placed in the gifted classes. He and several neighborhood boys stripped naked and ran back and forth in front of several girls.
1977,16,Sister’s friend (the neighbor) Flores Tatum is spending the night at this sister’s sleepover and he crept under her bed and touched her breast.  He then came back and exposed himself naked to her.,Sister’s friend (the neighbor) Flores Tatum is spending the night at this sister’s sleepover and he crept under her bed and touched her breast.  He then came back and exposed himself naked to her.
1979,18,Classmates vote Stayner the most creative student in graduating class at Merced High School.  Graduates from High School.,Classmates vote Stayner the most creative student in graduating class at Merced High School.  Graduates from High School.
,,,
03-01-80,19,"Steven Stayner escapes captivity with Timmy White. Steven Stayner is reunited with his family.  Cary is very jealous of brother because he was ignored.  He felt frustrated with Steven’s publicity. 
During High School Cary is a described as a quiet loner.  A 
talented cartoonist who did drawings for the school newspaper.  He was teased often about bald spots due to his hair pulling.",
1985,24,"JP Miller works with Stayner family to make a TV mini-series about Steven’s kidnapping.  Cary shows pencil drawings to Miller, and Miller suggests he should send them to colleges and Cary says “No it’d never happen”",
1989,28,"Tells his friend, Marchesa, after slamming his fist into plywood in a rage that he thought he was having a nervous breakdown.   He also told his friend that he “felt like getting in his truck and driving into the office of the glass company he worked at and killing his boss and everybody in there and then torching the place” Sep 16th or 20th? Brother Steven killed in a motorcycle accident at age of 24.",
1990,29,December his uncle is found dead in their home (Cary lived with his uncle) after being shot to death.,
1991,30,Attempts suicide with Carbon Monoxide,
1995,34,He goes to Merced County mental health department saying he was having a mental breakdown.  He was treated and released.,
1997,36,Arrested for marijuana and methamphetamine charges.  Cedar lodge hires Cary to do odd jobs as the hotel handyman. Mobile home is repossessed.,
1999,38,"On Feb 15th he murders Carole Sund and Silvina Pelosso at Cedar Lodge.  On Feb 16th he murders Juli Sund. Feb 18th? He goes back to burn the rental car and to get Carole Sund’s wallet.   On March 18th Carol Sund's rental car is found located in Tuolumne County.  Carole Sund and Silvina Pelosso’s bodies are found in the trunk.  The car along with the bodies is burned and charred. 
March 22nd dental records positively identify one of the two badly burned bodies as that of Carole Sund.  March 25th Juli Sund’s body is found based on a letter sent by Cary Stayner to the FBI. July 15th a jury of nine men and three women are selected to hear the trial of Cary Stayner.  July 21st Joie Ruth Armstrong is 
decapitated after Cary ties her up and rapes her.  On July 22nd her body is found.  July 23rd Stayner was questioned and released and Stayner fails to show up for work for the first  time in a year and a half.  July 24th Cary Stayner is arrested at Laguna Del Sol Nudist Camp.  He asked for a good stack of child pornography and 
confesses to Armstrong’s death and explains her murder.  He says “I lost control of myself and lost control of her, and when all this started out…I had no intentions of cutting her head off.”  July 26th arraigned in federal court in Sacramento.",
2000,39,"June 6th an evaluation includes results that Stayner has brain abnormalities consistent with schizophrenia, psychotic disorder",
,,,
,,"and obsessive compulsive disorder.  July 12th Judge rules that the Government may seek the death penalty.  November 30th Stayner 
pleads guilty to the murder of Joie Armstrong.","and obsessive compulsive disorder.  July 12th Judge rules that the Government may seek the death penalty.  November 30th Stayner 
pleads guilty to the murder of Joie Armstrong."
2002,41,"May 22nd pleads innocent by reason of insanity.   August 26th jury returned guilty verdicts on nine separate counts, three of first-degree murder and one of kidnapping.  Sept 16th he was denied the plea because his psychiatrist said he knew the difference 
between right and wrong, but could not control his violent urge. 
Stayner did not meet the legal standards for insanity.  Dr. Jose Silva was of several doctors who determined that Stayner was legally sane when he killed Sund and the two teen-agers.  Silva reviewed events of Stayner’s life and said he suffered from an anxiety disorder with features of Post-traumatic Stress disorder. December Cary Stayner asks for a new trial on grounds that none of the jurors were molestation victims.  Dec 12th sentenced to death, by lethal injection in San Quentin, CA.","May 22nd pleads innocent by reason of insanity.   August 26th jury returned guilty verdicts on nine separate counts, three of first-degree murder and one of kidnapping.  Sept 16th he was denied the plea because his psychiatrist said he knew the difference 
between right and wrong, but could not control his violent urge. 
Stayner did not meet the legal standards for insanity.  Dr. Jose Silva was of several doctors who determined that Stayner was legally sane when he killed Sund and the two teen-agers.  Silva reviewed events of Stayner’s life and said he suffered from an anxiety disorder with features of Post-traumatic Stress disorder. December Cary Stayner asks for a new trial on grounds that none of the jurors were molestation victims.  Dec 12th sentenced to death, by lethal injection in San Quentin, CA."
2003,42,August-The Sund family accepts $1 Million wrongful death settlement from Cedar Lodge,August-The Sund family accepts $1 Million wrongful death settlement from Cedar Lodge
