Date,Age,Life Event,Life Event
02/27/1930,,"Born at Borden Camp in Hampshire, England","Born at Borden Camp in Hampshire, England"
1932,2,Moved to India when his father was relocated by the Army,Moved to India when his father was relocated by the Army
1936,6,"Suffered, “wide and severe damage to the cerebral cortex, probably from an attack of encephalitis in India at the age of six.”","Suffered, “wide and severe damage to the cerebral cortex, probably from an attack of encephalitis in India at the age of six.”"
3/1938,8,"Moved back to Britain, settled in Bath, Somerset","Moved back to Britain, settled in Bath, Somerset"
10/1938,8,Referred to a Child Guidance Clinic for stealing and skipping school.,Referred to a Child Guidance Clinic for stealing and skipping school.
6/1939,9,"Went to Juvenile Court for stealing a purse from a girl, and was given two years' probation.","Went to Juvenile Court for stealing a purse from a girl, and was given two years' probation."
6/1939,9,Certified as a mental defective,Certified as a mental defective
1940,10,A report was compiled on him in 1940 which gave his Intelligence Quotient as 58 and his mental age 6,A report was compiled on him in 1940 which gave his Intelligence Quotient as 58 and his mental age 6
1940,10,"Local authority sent him to a residential school for mentally defective children, St Joseph's School in Sambourne.","Local authority sent him to a residential school for mentally defective children, St Joseph's School in Sambourne."
1942,12,Moved to Besford Court school,Moved to Besford Court school
1944,14,Suspected of strangling two prize geese owned by officer at his school,Suspected of strangling two prize geese owned by officer at his school
1946,16,School revaluated his intelligence. IQ was 64 and his mental age 9 years 6 months and recommended his discharge.,School revaluated his intelligence. IQ was 64 and his mental age 9 years 6 months and recommended his discharge.
1946,16,Returned to Bath.,Returned to Bath.
3/1946,16,Medical Officer of Health examined him and found he still warranted certification under the Mental Deficiency Act,Medical Officer of Health examined him and found he still warranted certification under the Mental Deficiency Act
1946,16,Became machinist in a clothes factory,Became machinist in a clothes factory
1947,17,Began burglarizing unoccupied homes,Began burglarizing unoccupied homes
,,,
07/27/1947,17,"Although not connected to Straffen until later, a 13-year-old girl told police that a boy named John had assaulted her by putting his hand over her mouth and saying ""What would you do if I killed you? I have done it before.""","Although not connected to Straffen until later, a 13-year-old girl told police that a boy named John had assaulted her by putting his hand over her mouth and saying ""What would you do if I killed you? I have done it before."""
8/1947,17,"Strangled five chickens belonging to the father of a girl with whom he had quarreled. When arrested, happily admitted to several burglaries.","Strangled five chickens belonging to the father of a girl with whom he had quarreled. When arrested, happily admitted to several burglaries."
8/1947,17,"Remained in custody. Medical Officer of Horfield prison examined him, certifying that he was feeble-minded.","Remained in custody. Medical Officer of Horfield prison examined him, certifying that he was feeble-minded."
10/1947,17,Committed to Hortham Colony in Bristol under the Mental Deficiency Act 1913,Committed to Hortham Colony in Bristol under the Mental Deficiency Act 1913
7/1949,19,"Resulting from good behavior, he was transferred to a lower-security agricultural hostel in Winchester.","Resulting from good behavior, he was transferred to a lower-security agricultural hostel in Winchester."
2/1950,20,"Stole a bag of walnuts, and was sent back to Hortham","Stole a bag of walnuts, and was sent back to Hortham"
8/1950,20,"Went home without leave, resisted arrest","Went home without leave, resisted arrest"
1951,20,"Reevaluated at Bristol hospital, where electro-encephalograph readings showed that he had suffered serious brain trauma","Reevaluated at Bristol hospital, where electro-encephalograph readings showed that he had suffered serious brain trauma"
1951,20,Considered sufficiently rehabilitated to be allowed a period of unescorted home leave.,Considered sufficiently rehabilitated to be allowed a period of unescorted home leave.
1951,20,"On unescorted home leave, got a job at a market garden","On unescorted home leave, got a job at a market garden"
1951,20,Hortham licensed him to the care of his mother,Hortham licensed him to the care of his mother
1951,21,"Reexamined by Hortham, found improvement to mental age of 10","Reexamined by Hortham, found improvement to mental age of 10"
07/15/1951,21,Murder of Brenda Goddard,Murder of Brenda Goddard
08/08/1951,21,Murder of Cicely Batstone,Murder of Cicely Batstone
10/17/1951,21,Stood trial for murder. Deemed unfit to plead. Sent to Broadmoor Institution in Berkshire.,Stood trial for murder. Deemed unfit to plead. Sent to Broadmoor Institution in Berkshire.
04/29/1952,22,Escaped from Broadmoor. Killed Linda Bowyer. Recaptured a few minutes later.,Escaped from Broadmoor. Killed Linda Bowyer. Recaptured a few minutes later.
5/1952,22,Sent to Brixton Prison.,Sent to Brixton Prison.
07/21/1952,22,Trial resulted in death sentence,Trial resulted in death sentence
8/1952,22,Home Secretary David Maxwell Fyfe had recommended to the Queen that Straffen be reprieved,Home Secretary David Maxwell Fyfe had recommended to the Queen that Straffen be reprieved
9/1952,22,Moved to Wandsworth Prison,Moved to Wandsworth Prison
9/1958,28,Moved to Cardiff Prison,Moved to Cardiff Prison
5/1968,38,Moved to Durham Prison,Moved to Durham Prison
12/19/2007,77,Straffen died at Frankland Prison in County Durham,Straffen died at Frankland Prison in County Durham
