Date,Age,Life Event,Life Event
09/11/1942,0,"Born in Duanesburg, NY to Alton and Ruth Roe","Born in Duanesburg, NY to Alton and Ruth Roe"
1948-1965,6-23,Feelings of mistreatment by parents; spent most of childhood alone; claimed parents would lock her in her room at times for up to a day; said her father used to hit her with a flyswatter; her aunt used to tell her that she was an unplanned and unwanted child,Feelings of mistreatment by parents; spent most of childhood alone; claimed parents would lock her in her room at times for up to a day; said her father used to hit her with a flyswatter; her aunt used to tell her that she was an unplanned and unwanted child
1963,20-21,Marybeth met Joe Tinning on a blind date,Marybeth met Joe Tinning on a blind date
"Spring 
1965",22,Marybeth and Joe Tinning marry,Marybeth and Joe Tinning marry
05/31/1967,24,"Barbara, Marybeth’s first child, is born","Barbara, Marybeth’s first child, is born"
01/10/1970,27,"Joseph, Marybeth’s second child, is born","Joseph, Marybeth’s second child, is born"
10/1971,29,"Marybeth’s father, Alton Roe, dies of a sudden heart attack at the age of 54","Marybeth’s father, Alton Roe, dies of a sudden heart attack at the age of 54"
12/26/1971,29,"Jennifer, Marybeth’s third child, is born","Jennifer, Marybeth’s third child, is born"
01/03/1972,29,"Jennifer dies, only 8 days old, from hemorrhagic meningitis and multiple brain abscesses from birth","Jennifer dies, only 8 days old, from hemorrhagic meningitis and multiple brain abscesses from birth"
01/20/1972,29,Joseph dies after being rushed to the hospital; death attributed to cardiopulmonary arrest,Joseph dies after being rushed to the hospital; death attributed to cardiopulmonary arrest
03/01/1972,29,"Marybeth rushes Barbara to the hospital, claiming she had gone into convulsions","Marybeth rushes Barbara to the hospital, claiming she had gone into convulsions"
03/02/1972,29,"Barbara dies, after being in a comatose state for several hours; death attributed to Reye’s Syndrome","Barbara dies, after being in a comatose state for several hours; death attributed to Reye’s Syndrome"
Summer 1972,29,Marybeth begins work at Flavorland as a waitress,Marybeth begins work at Flavorland as a waitress
07/03/1972,29,"Marybeth calls the Schenectady Department of Social Services, expressing her interest in becoming a foster parent","Marybeth calls the Schenectady Department of Social Services, expressing her interest in becoming a foster parent"
Fall 1972,29-30,"Tinning family took in a foster child, Robert, until January 1973","Tinning family took in a foster child, Robert, until January 1973"
Early 1973,30,"Tinning family took in a foster child, Linda, but she was soon sent back to Social Services when Marybeth became pregnant with Timothy","Tinning family took in a foster child, Linda, but she was soon sent back to Social Services when Marybeth became pregnant with Timothy"
11/21/1973,31,"Timothy, Marybeth’s fourth child, is born","Timothy, Marybeth’s fourth child, is born"
12/10/1973,31,"Marybeth takes Timothy to the emergency room, but he is already dead; death","Marybeth takes Timothy to the emergency room, but he is already dead; death"
,,,
,,attributed to Sudden Infant Death Syndrome,
"Spring 
1974",31,Marybeth and Joe argued over money on numerous occasions,
