Date,Age,Life Event,Life Event
1857,0,"Jane Toppan was born Honora Kelley to Peter and Bridget Kelley.  Little is known about Bridget Kelley other than she died of consumption when Honora was still young.  While little background information is known about Peter Kelley, he was said to be a chronic drunk, prone to violent outbursts as well as a subject of quite a few colorful legends.  Many say that he eventually went insane while working at a tailor’s shop and was institutionalized by trying to sew his eyelids shut.  An alleged cousin later reported that Honora had an older sister, Nellie, who went violently insane in her 20’s and had to be institutionalized.","Jane Toppan was born Honora Kelley to Peter and Bridget Kelley.  Little is known about Bridget Kelley other than she died of consumption when Honora was still young.  While little background information is known about Peter Kelley, he was said to be a chronic drunk, prone to violent outbursts as well as a subject of quite a few colorful legends.  Many say that he eventually went insane while working at a tailor’s shop and was institutionalized by trying to sew his eyelids shut.  An alleged cousin later reported that Honora had an older sister, Nellie, who went violently insane in her 20’s and had to be institutionalized."
1863,6,"February: Peter Kelley begged the Boston Female Asylum to take his two youngest daughters – Honora and 8 year-old Delia Josephine.  When the board examined the shabby dress and poor hygiene of the young girls, it was decided that these children had been subject to neglect and possible abuse.  The vote was unanimous to allow the children to stay at the asylum.","February: Peter Kelley begged the Boston Female Asylum to take his two youngest daughters – Honora and 8 year-old Delia Josephine.  When the board examined the shabby dress and poor hygiene of the young girls, it was decided that these children had been subject to neglect and possible abuse.  The vote was unanimous to allow the children to stay at the asylum."
1864,7-8,"Honora was indentured to Mrs. Ann C. Toppan by the Boston Female Asylum.  Even though she was never formally adopted, she changed her name to Jane Toppan.","Honora was indentured to Mrs. Ann C. Toppan by the Boston Female Asylum.  Even though she was never formally adopted, she changed her name to Jane Toppan."
"1864-
1873",7-16,"Jane suffered shame and humiliation at the hands of her foster mother.  Although Ann’s daughter Elizabeth never mistreated Jane, due to the abuse at the hands of her Mrs. Toppan, Jane developed a bitter hate and jealousy for her foster sister.  Most of all, Jane envied the fact that Elizabeth would eventually get married one day. According to unsubstantiated love stories, Jane was once courted by a Lowell office worker who even gave her an engagement ring engraved with the image of a bird.","Jane suffered shame and humiliation at the hands of her foster mother.  Although Ann’s daughter Elizabeth never mistreated Jane, due to the abuse at the hands of her Mrs. Toppan, Jane developed a bitter hate and jealousy for her foster sister.  Most of all, Jane envied the fact that Elizabeth would eventually get married one day. According to unsubstantiated love stories, Jane was once courted by a Lowell office worker who even gave her an engagement ring engraved with the image of a bird."
,,,
,,"The relationship soured when he moved to another town and fell in love with his landlord’s daughter, a young woman he eventually married.",
,,"In order to overcome this abuse, Jane developed a vivacious personality and denied her Irish heritage by making derogatory Anti-Irish and Anti-Catholic statements in the Protestant circles in which she moved.  While some of her schoolmates liked her a great deal, others despised her as an outrageous liar: she spun tails of her heritage and would often pin her troublesome deeds on other children.  Due to her unhappiness with her situation and the unlikelihood that she would never marry, Jane grew unattractively plump.",
1874,18,Jane was released of her duties to the Toppan family and received $50 as stipulated by the indenture agreement.,
1874- 1885,18-28,"Although Jane was released from her indentured obligations, she remained in the Toppan household for a decade and worked for her foster sister, Elizabeth, after Mrs. Toppan died.  While there, Elizabeth married Oramel Brigham, a young deacon in the local church.",
1885,28-29,Jane moved out of the Brigham household and the circumstances surrounding her departure are unknown.  Elizabeth remained kind to Jane and assured her that she could come back and visit whenever she wanted.,
1887,30-31,"Jane began nursing training at Boston’s Cambridge Hospital.  She was quite popular with the patients and acquired the nickname Jolly Jane, but her colleagues were not as taken with her.  She was not well liked by her fellow trainees and she was perceived as a devious gossip that repeatedly lied about her background.  Jane was suspected of stealing, but she was never caught.",
1887,30-31,"If she liked a patient, at first she would falsify their charts or give them small doses of medicine to make them so they would have to stay.",
1887,30-31,She began conducting “scientific experiments” on her patients in which she would alternate different doses of morphine or atropine to examine the effects on the patients.  She grew to like atropine because of the more animated symptoms that were associated with it.,
1887,30-31,"It is speculated that Jane killed more than a dozen of patients while working at Cambridge.  One patient, Mrs. Amelia Phinney, lived to later tell the tale of Jane’s maliciousness.  After surgery, Jane administered some bitter tasting medicine to Amelia to help with her pain.  As she was slipping into unconsciousness, she realized that Jane had gotten into bed with her and began kissing her all over her face.  Luckily for Mrs. Phinney, Jane was startled by someone and hastily left the room.  As Amelia gained consciousness the next day, she thought the incident had all been a dream and she checked out of the hospital, keeping her fears silent until she found out that Jane had been arrested in 1901.",
1888,31-32,"Even though her colleagues did not like her, she won the favor of a couple of doctors, who gave her glowing recommendations to receive wider training at the more respectable Massachusetts General Hospital.",
1889,32-33,"In head nurse’s leave of absence, Jane was named the temporary representative. Colleagues disliked her and suspected that she was using blatant disregard for the dosages of medication she was giving her patients.  Quite a few of patients were speculated to have died under her care.",
1890,33-34,"Summer - Jane broke an important rule and left the ward without permission.  She was discharged without ever receiving her nursing license, even though she had passed the final and her diploma was signed.",
1890,33-34,"Fall – After a stint as a private nurse, Jane returned to Cambridge Hospital.",
1891,34-35,Spring – Jane was dismissed from Cambridge Hospital due to the fear that she was administering opiates recklessly – a rumor that had always followed her.,
1891,34-35,Summer – Jane decided began her career as a full time private nurse.,
