Heading,Value
Sex,Female
Race,White
Number of victims,"5 suspected, 1 convicted"
Country where killing occurred,United States
States where killing occurred,Ohio and Colorado
Cities where killing occurred,"Cincinnati, Colorado Springs"
Type of killer,Lethal Caretaker-Profit
Height,?
Childhood Information,
Date of birth,"July 7, 1906"
Location,"Town of Fussen in Bavaria, Germany"
Birth order,12 of 12
Number of siblings,"11; 9 boys, 2 girls"
XYY?,?
Raised by,Mother and Father: Georg and Katharina Filser
Birth category,Youngest
Parent’s marital status,Married
Family event,Became pregnant at young age 18
Age of family event,18
Problems in school?,Never completed high school
Teased while in school?,?
Physically attractive?,"Short blonde hair, hazel eyes"
Physical defect?,No
Speech defect?,No
Head injury?,Bike and ice skating accidents led to unconsciousness
Physically abused?,?
Psychologically abused?,?
Sexually abused?,?
Father’s occupation,Craftsman- a cabin maker and furniture manufacturer
Age of first sexual experience,?
Age when first had intercourse,"At age 18, gives birth to her son, Oscar in 1925."
Mother’s occupation,?
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,?
Highest degree,Never completed high school
Grades in school,Was a struggling student
IQ,No record of an  test
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,Yes
Types of jobs worked,Owned a deli/bakery and practiced untrained nursing
Employment status during series,Employed as a nurse for the elderly
Sexual preference,Heterosexual
Marital status,"Married to Philip Hahn, became estranged"
Number of children,1
Lives with her children,"Yes, after she settled into the United States"
Living with,"Her husband, Philip, and son, Oscar"
Triad,
Animal torture,?
Fire setting,?
Bed wetting,?
Killer Psychological Information,
Abused drugs?,"Yes, morphine."
Abused alcohol?,No
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Committed previous crimes?,Supposed theft
Spend time in jail?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,Estimated 5 victims
Victim type,Often elderly men
Killer age at start of series,26
Date of first kill in series,"May 6, 1933"
Date of final kill in series,"August 1, 1937"
Gender of victims,Males
Race of victims,White
Age of victims,Over the age of 60
Type of victim,Elderly who are ill and in need of assistance
Method of killing,"Poisoning, arsenic, Croton Oil"
Weapon,Arsenic
Was gun used?,No
Did killer have a partner?,"No, although rumored son Oscar may have helped"
Type of serial killer,Lethal Caretaker
How close did killer live?,Close by if not living in same home
Location of first contact,"Cincinnati, OH"
Location of killing,Victim’s home
Killing occurred in home of victim?,Yes
Killing occurred in home of killer?,Sometimes
Victim abducted or killed at contact?,Killed over time during contact
Behavior During Crimes,
Rape?,No
Tortured victims?,No
Stalked victims?,No
Overkill?,No
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,No
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,Yes
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, to home",No
Date killer arrested,"August 10, 1937"
Date convicted,"October 29, 1937"
Sentence,"On November 10, 1937 sentenced to the electric chair, Sparky, for December 7, 1938."
Killer executed?,Yes
Did killer plead NGRI?,No
Name and state of prison,Ohio State Penitentiary
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"December 7, 1938 at 8:13 p.m."
