Heading,Value
Sex,Male
Race,White
Number of victims,3
Country where killing occurred,United States
States where killing occurred,"Massachusetts, New York"
Cities where killing occurred,"Lowell, New York City, Lackawanna"
Type of killer,More disorganized but has a few organized tendencies
Height,5’6”
Childhood Information,
Date of birth,"October 29, 1865"
Location,"Lowell, Massachusetts"
Birth order,3 of 3
Number of siblings,2; one sibling died
XYY?,no
Raised by,"After parents died, him and a brother lived in a boarding house"
Birth category,oldest
Parent’s marital status,Married
Family event,"2nd child died in 1859 before Hickey’s birth, mother died when he was 4, father died when he was 12"
Age of family event,Listed above
Problems in school?,No close friends
Teased while in school?,"Yes, for being smaller and effeminate"
Physically attractive?,somewhat
Physical defect?,no
Speech defect?,no
Head injury?,Scar from possible blunt object blow to the brain; couldn’t determine if it was caused by injury or was a birth defect
Physically abused?,Parents no; brother tried to kill him after their father died
Psychologically abused?,No
Sexually abused?,no
Father’s occupation,bootmaker
Cognitive Ability,
Highest grade in school,Expelled 3 months into his freshman year for stealing
Grades in school,Decent; teachers referred to him as quite intelligent but unmotivated
IQ,N/A; claimed to be above average
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,Fired from YMCA for monetary improprieties
Types of jobs worked,"Goodyear Rubber Plant, shipyard, newspaper, A.C.Pinkham Pharmacy"
Employment status during series,yes
Sexual preference,Bisexual
Marital status,Divorced
Number of children,1
Lives with his children,no
Living with,"Mostly by himself; moved in with the Madigan family for 2 months and was kicked out for drinking, took a"
Triad,
Killer Psychological Information,
Abused alcohol?,yes
Been to a psychologist?,yes
Time in forensic hospital?,no
Killer Criminal History,
Committed previous crimes?,"Stealing, previously convicted for larceny at age 15"
Spend time in jail?,no
Spend time in prison?,no
Killed prior to series?  Age?,"Killed at age 18, had cooling off periods in between murders consisting of 3 + years"
Serial Killing,
Number of victims,3
Victim type,Young boys
Killer age at start of series,18
Date of first kill in series,"September 1, 1883- Edwin W. Morey"
Date of final kill in series,"December 10, 1902-Michael R. Kruck"
Gender of victims,boys
Race of victims,white
Age of victims,young
Type of victim,Young boys
Method of killing,Strangulation with the exception of poisoning the first victim
Weapon,no
Was gun used?,no
Did killer have a partner?,no
Type of serial killer,Mostly disorganized but also has some organized traits
How close did killer live?,Fairly close
Location of first contact,drugstore
Location of killing,drugstore
Killing occurred in home of victim?,no
Killing occurred in home of killer?,no
Victim abducted or killed at contact?,Killed at contact
Behavior During Crimes,
Rape?,Yes
Tortured victims?,No
Stalked victims?,No
Overkill?,No
Quick & efficient?,Yes
Used blindfold?,No
Bound the victims?,No
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide","Second killing he strangled the boy in an outhouse and disposed of the body in a latrine, the other two he did not attempt to hide"
"Left at scene, hidden",Second killing hid the boy in a latrine
"Left at scene, buried",no
"Moved, no attempt to hide",No attempt to hide 2 of the victims
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Sentencing,Life in prison
Date killer arrested,"November 18, 1912"
Date convicted,"November 29, 1912"
Sentence,Life in prison
Killer executed?,no
Did killer plead NGRI?,yes
Was the NGRI plea successful?,no
Name and state of prison,"Auburn Prison in Auburn, NY"
Killer committed suicide?,no
Killer killed in prison?,no
Date of death,"May 8, 1922, at the age of 56"
