Heading,Value
Sex,Male
Race,White
Number of victims,3
Country where killing occurred,United States
States where killing occurred,"New Jersey, Pennsylvania"
Cities where killing occurred,"Leonia, Philadelphia"
Type of killer,Sexual
Childhood Information,
Date of birth,12/11/1936
Location,"Philadelphia, PA"
Birth order,"Adopted, only child"
XYY?,No
Raised by,Adoptive parents
Birth category,Only child
Parent’s marital status,Married
Family event,Adoption
Age of family event,<1 year
Problems in school?,"Some theft and destruction, no academic problems found"
Teased while in school?,None found
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,"Yes, mother beat him on the head with a hammer"
Physically abused?,"Yes, burned and beaten as punishments"
Psychologically abused?,Parents laughed at ambitions and also told him that he has been “fixed” so he couldn’t be sexually active
Sexually abused?,Not by parents
Father’s occupation,Shoemaker
Age of first sexual experience,8 or 9
Age when first had intercourse,15
Mother’s occupation,Worked in the shoe shop with his father
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,8th or 9th grade
Grades in school,Not known
IQ,84
Source of IQ information,The Crime Library
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,Cobbler all his life
Employment status during series,"Employed, lived above his shoe repair shop with his family."
Sexual preference,Heterosexual
Marital status,Married twice
Number of children,6
Lives with his children,Yes
Living with,Spouse and children
Triad,
Animal torture,No
Fire setting,Yes
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist?,Yes
Time in forensic hospital?,Yes
Diagnosis,"There has been some disagreement between psychologists as to whether or not he had mental illness, but he did receive a diagnosis as a paranoid schizophrenic before his murder trial in New Jersey."
Killer Criminal History,
Committed previous crimes?,"Yes, arrested for both child abuse and arson."
Spend time in jail?,Yes
Spend time in prison?,Yes
Killed prior to series?  Age?,"Yes, he killed one of his sons in August of 1974 when Kallinger was 37."
Serial Killing,
Number of victims,3
Victim type,"Young boy, his son, and a young woman…all were easy victims for him."
Killer age at start of series,37
Date of first kill in series,7/7/1974
Date of final kill in series,1/8/1975
Gender of victims,"2 male, one female"
Race of victims,"Female and son were white, the young boy was Puerto Rican"
Age of victims,"10, 13, 21"
Type of victim,"Young boy, his son, and a young female nurse"
Method of killing,"Stabbing, drowning"
Weapon,Brought knife with him
Was gun used?,"He had one, but did not use it"
Type,Handgun
Did killer have a partner?,Yes
Name of partner,Michael Kallinger
Sex of partner,Male
Relationship of partner,Family - Son
Type of serial killer,Disorganized thrill
How close did killer live?,"Close to the young boy, but took the train in order to get to the other victim"
Location of first contact,"Street, victim’s home"
Location of killing,"Street, victim’s home"
Killing occurred in home of victim?,Yes for the nurse
Killing occurred in home of killer?,No
Victim abducted or killed at contact?,No
Behavior During Crimes,
Rape?,No
Tortured victims?,Yes
Stalked victims?,No
Overkill?,No
Quick & efficient?,Yes
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,Yes
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,"Yes, with the young boy"
Took totem – personal item,No
Robbed victim or location,Yes
Disposal of Body,
"Left at scene, no attempt to hide","Young boy and son were hidden, the nurse was left at the scene"
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",Yes
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,"January 17, 1975"
Date convicted,"September 19, 1975 and October 13, 1976"
Sentence,30 to 80 years for first trial and life in prison for second
Killer executed?,No
Did killer plead NGRI?,No
Name and state of prison,Pennsylvania
Killer committed suicide?,Attempted
Killer killed in prison?,No
Date of death,"March 26, 1996"
"References 
(1975). Murders: A Family Affair. Newsweek. Retrieved April 2, 2007 from http://web.lexis-nexis.com.lib-proxy.radford.edu/universe/document?_m=088f7caaacfcc34521d3720b2c7f914e&_docnum=2&wchp=dGLbVtz-zSkVb&_md5=0b6796e378ffad609574ed6e6c2f3ca9. 
Ramsland, Katherine. Retrieved April 2, 2007 from 
http://www.crimelibrary.com/serial_killers/weird/joseph_kallinger/index.html
Schrieber, F. R. (1984). The Shoemaker. Signet Printing 
Serial Killer Central.Retrieved April 15, 2007 from  http://www.skcentral.com/readarticle.php?article_id=486",
