Heading,Value
Sex,Male
Race,White
Number of victims,9 killed
Country where killing occurred,Scotland
Cities where killing occurred,"Glasgow, Birkenshaw, Lanarkshire"
Type of killer,Power Killer
Height,5’4”
Childhood Information,
Date of birth,"March 15, 1927"
Location,"Misericordia Hospital Manhattan, NY"
Birth order,2nd of 3
Number of siblings,2
Birth category,Middle
Raised by,Both parents
Parent’s marital status,Married
Did serial killer spend time in an orphanage?,No
Did serial killer spend time in a foster home?,No
Was serial killer ever raised by a relative?,No
Did serial killer live with a step-parent?,No
Family event,Moved to Britain because father turned very ill
Age of family event,5 years old
Problems in school?,Yes
Teased while in school?,No
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,Air raid hit by missile
Physically abused?,No
Psychologically abused?,No
Sexually abused?,No
Father’s occupation,"Welder by trade, but had many different jobs"
Mother’s occupation,Stayed at home
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,Grammar school
Highest degree,Did not receive one
IQ,High  but never identified a number
Source of IQ information,A.M. Nicol Book pg.
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,"No, but he did help solve some cases that he said he had valuable information for the police."
Fired from jobs?,No
Types of jobs worked,Laborer
Employment status during series,Employed by a rail station
Relationships,
Sexual preference,Heterosexual Heterosexual
Marital status,Single; He was engaged for 3 months but his girlfriend called it off  b/c of differences in religious beliefs Single; He was engaged for 3 months but his girlfriend called it off  b/c of differences in religious beliefs
Living with,"Occasionally with his family, by himself, and with other people he did not know and they didn’t know he was living in their home with them. Occasionally with his family, by himself, and with other people he did not know and they didn’t know he was living in their home with them."
Triad,
Animal torture,No No
Fire setting,No No
Bed wetting,No No
Killer Psychological Information,
Abused drugs?,No No
Abused alcohol?,No No
Been to a psychologist (prior to killing)?,No No
Time in forensic hospital (prior to killing)?,No No
Diagnosis,"Memory loss, & Psychopathic Personality Disorder Memory loss, & Psychopathic Personality Disorder"
Killer Criminal History,
Committed previous crimes?,"Yes, he started with petty theft, and went to sexual assault before he started series Yes, he started with petty theft, and went to sexual assault before he started series"
Spent time in jail?,Yes Yes
Spent time in prison?,Yes Yes
Killed prior to series?  Age?,No No
Serial Killing,
Number of victims,9 9
Victim type,"Families, young man & young women Families, young man & young women"
Killer age at start of series,29 29
Date of first kill in series,"January 2nd, 1956 January 2nd, 1956"
Date of final kill in series,"January 1st, 1958 January 1st, 1958"
Gender of victims,Male & Female Male & Female
Race of victims,White White
Age of victims,"Varied in age: 17, 45, 16, 41, 36, 17, 45, 42, 10 Varied in age: 17, 45, 16, 41, 36, 17, 45, 42, 10"
Type of victim,"Two Families, Two young women, one young man Two Families, Two young women, one young man"
Method of killing,"1st Victim: 17 year old woman, he bashed her head in with a tree stump 
2nd, 3rd, & 4th (Family) Victims: 45, 16, & 41 killed with a .38 revolver 
5th Victim: .38 revolver that left a 5inch gash in his throat 
6th victim: 
7th,8th,9th (family) victims: shot in the head 1st Victim: 17 year old woman, he bashed her head in with a tree stump 
2nd, 3rd, & 4th (Family) Victims: 45, 16, & 41 killed with a .38 revolver 
5th Victim: .38 revolver that left a 5inch gash in his throat 
6th victim: 
7th,8th,9th (family) victims: shot in the head"
Weapon,"Tree stump, .38 revolver"
Was gun used?,"With the 2nd, 3rd,  4th , 5th, 7th,8th,9th  victims"
Type,.38 revolver
Did killer have a partner?,No
Type of serial killer,Psychopath
How close did killer live?,Never specified but was within walking distance
Location of first contact,"1st victim: on the street 
2nd, 3rd, &4th (Family)victims: at their house 5th victim: at the train station 
6th victim:  outside her house 
7th,8th,9th (Family) victims: at their house"
Location of killing,"1st victim: golf course 
2nd,3rd, &4th (Family)victims: at their house 5th victim: 150 yds. from his taxi 
6th victim: in a field 
7th,8th,9th (family): at their house"
Killing occurred in home of victim?,"1st: No 
2nd,3rd,&4th  (Family): Yes 
5th: No but did occur 150yds from  his taxi cab which was his employment 
6th: no but took her from her home 
7th, 8th, 9th (Family): Yes in their beds"
Killing occurred in home of killer?,No
Victim abducted or killed at contact?,"1st: Killed at contact 
2nd, 3rd, 4th (Family): killed at contact 5th: killed at contact 
6th: victim abducted 
7th, 8th, & 9th (Family): killed at contact"
Behavior During Crimes,
Rape?,6th victim yes
Tortured victims?,He liked to hear them beg.  It got him aroused
Stalked victims?,No
Overkill?,No
Quick & efficient?,Yes
Used blindfold?,No
Bound the victims?,3rd victim yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,"7th, 8th, 9th victim"
Robbed victim or location,"Last murder with his 7th, 8th, and 9th victims yes"
Disposal of Body,
"Left at scene, no attempt to hide","1st  ( Anne Kneilands): left at scene 
2nd,3rd,4th  (Watt Family): left at scene 
5th  (Sydney Dunn): left at scene 150 yards in front of his taxi 
7th,8th, & 9th (Smart Family): left at scene"
"Left at scene, buried",6th  (Isabelle Cook): left at the scene but buried her
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Sentencing,
Date killer arrested,"January 13th, 1958"
Date convicted,"May 29th, 1958"
Sentence,Death
Killer executed?,"Yes, he was  hanged"
Did killer plead NGRI?,No
Was the NGRI plea successful?,No plea
Did serial killer confess?,"Yes, he had confessed to Anne Kneilands death even though he had been acquitted for it prior to his 
sentencing."
Name and state of prison,"HBP Peterhead, Glasgow"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"July 11th, 1958"
Cause of death,Hanged
