Heading,Value
Sex,Male
Race,White
Number of victims,"100+ suspected, 1 convicted, 27 confessed"
Country where killing occurred,United States
States where killing occurred,"New York, Ohio, Illinois, Pennsylvania, Indiana"
Cities where killing occurred,"Chicago, Omaha"
Counties where killing occurred,"Allegheny, Cook, Douglas,"
Type of killer,"Financial gain, enjoyment (torture)"
Height,Unknown
Childhood Information,
Date of birth,05/16/1861
Location,"Gilmanton, New Hampshire"
Birth order,3rd
Number of siblings,4
XYY?,No
Raised by,Both parents
Birth category,Middle child
Parent’s marital status,Married
Did serial killer spend time in an orphanage?,No
Did serial killer spend time in a foster home?,No
Was serial killer ever raised by a relative?,No
Did serial killer ever live with adopted family?,No
Did serial killer ever live with a step-parent?,No
Family event,No
Age of family event,
Problems in school?,Bullied
Teased while in school?,Yes
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,Yes
Psychologically abused?,No
Sexually abused?,No
Father’s occupation,Farmer
Mother’s occupation,Teacher
Father abused drugs/alcohol,"Yes, alcohol"
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,21
Highest degree,M.D.
Grades in school,A’s and B’s
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,Hotel owner plus multiple small businesses
Employment status during series,Small business owner
Sexual preference,Heterosexual
Marital status,Married
Number of children,2
Lives with his children,No
Living with,Spouse
Triad,
Animal torture,Yes
Fire setting,Yes
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist (prior to killing)?,No
Time in forensic hospital (prior to killing)?,No
Diagnosis,No
Killer Criminal History (Prior to the series),
Committed previous crimes?,"Yes, Insurance fraud"
Spent time in jail?,Yes (1894)
Spent time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims (suspected of),27-100+
Number of victims (confessed to),27
Number of victims (convicted of),1
Victim type,"Neighbors, young women"
Killer age at start of series,25
Killer age at end of series,33
Date of first kill in series,1886
Date of final kill in series,1894
Gender of victims,"11 males, 16 females"
Race of victims,White
Age of victims,Infants to adults
Type of victim,"Neighbors, young women"
Method of killing,"Torture, burning, affixation"
Weapon,Brought with him
Was gun used?,Only once
Type,Unknown
Did killer have a partner?,No
How close did killer live?,Walking distance
Location of first contact,Hotel
Location of killing,Hotel (“The Murder Castle”)
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Victim abducted or killed at contact?,No
Behavior During Crimes,
Rape?,No
Tortured victims?,Yes
Intentionally went out that day to kill?,Yes
Overkill?,No
Quick & efficient?,Yes
Used blindfold?,Yes
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,Yes
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",Yes
"Moved, hidden",No
"Moved, buried",Yes
Cut-op and disposed of,No
Burned body,Yes
"Dumped body in lake, river, etc.",No
"Moved, took home",Yes
Date killer arrested,08/17/1894
Date convicted,11/04/1895
Sentence,Death by hanging
Killer executed?,Yes
Did killer plead NGRI?,No
Did serial killer confess?,Yes
Name and state of prison,"Moyamensing Prison, Philadelphia, Pennsylvania"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,05/07/1896
Cause of death,executed
Name,"Dr. Robert Leacock, of Baltimore, Michigan"
Date killed,1886
Gender,Male
Race,White
Age,Middle aged
How killed,Poison - Killed by a dose of laudanum
State killed,Illinois
City killed,Chicago
County killed,Cook
Type of target,Large sum of insurance money
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Dr. Russell
Gender,Male
Race,White
Age,Middle aged
How killed,Blow to the head with a heavy chair in a small office
State killed,Illinois
City killed,Chicago
County killed,Cook
Type of target,Sold his body for money
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Mrs. Julia L. Conner
Gender,Female
Race,White
Age,Middle aged
How killed,Poison
State killed,IL
City killed,Chicago
County killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Pearl Conner
Gender,Female
Race,White
Age,Fetus
How killed,Poison
State killed,IL
City killed,Chicago
County killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Rodgers
Date Killed,1888
Gender,Male
Race,White
Age,Middle aged
How killed,Blow upon the head with an oar
State killed,West Virginia
City killed,Morgantown
County killed,Monongalia
Type of target,Sold body for money
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Charles Cole
Gender,Male
Race,White
Age,Middle aged
How killed,Blow to the head with a gas pipe
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Type of target,Sold body for money
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Lizzie
Gender,Female
Race,White
How killed,Suffocated ( first to be killed in vault )
State Killed,Illinois
City killed,Chicago
Country Killed,Cook
Type of target,Employee
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Mrs. Sarah Cook
Date killed,1888
Gender,Female
Race,White
Age,Middle aged
How killed,Killed by surprise
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Mrs. Cook’s unborn child
Date killed,1888
Gender,Unknown
Race,White
Age,Fetus
How killed,Killed by surprise
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Miss Mary Haracamp
Date killed,1888
Gender,Female
Race,White
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Type of target,She was a witness to disposure of Mrs. Sarah Cook’s body
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Miss Emmeline Cigrand
Date killed,1891
Gender,Female
Race,White
How killed,Killed in vault (slow and lingering death)
State Killed,Illinois
City killed,Chicago
Country Killed,Cook
Type of target,Mistress of Holmes
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Rasine Van Jassand
Date killed,1891
Gender,Women
Race,White
How killed,Poisoned with Ferro-cyanide of potassium
State Killed,IL
City killed,Chicago
County Killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Robert Latimer
Date killed,1891
Gender,Male
Race,White
How killed,Starved slowly and was stored in wall
State Killed,IL
City killed,Chicago
County Killed,Cook
Type of target,Bribed Holmes to give him money or he would expose his guilty secrets
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Anna Betts
Date killed,1891
Gender,Female
Race,White
How killed,Substitution of a poisonous ingredient in a prescription she had filled at his drug store
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Miss Gertrude Connor
Date killed,1891
Gender,Female
Race,White
How killed,Poisoned
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Miss Kate Gorky
Date killed,1891
Gender,Female
Race,White
How killed,Lured into the vault and never came out
State Killed,Illinois
City killed,Chicago
County Killed,Cook
Type of target,Turn real estate into cash
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Mr. Wade Warner
Date killed,1891
Gender,Male
Race,White
Age,Middle aged
How killed,Burned
State Killed,IL
City killed,Chicago
County Killed,Cook
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,A local banker
Date killed,1891
Gender,Male
Race,White
How killed,Starved and killed with chloroform
Type of target,Financial gain
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Unknown
Date killed,1893
Gender,Female
Race,White
How killed,Killed with chloroform
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Nannie Williams
Date killed,"July, 1893"
Gender,Female
Race,White
How killed,Murdered in vault
State Killed,IL
City killed,Chicago
County Killed,Cook
Type of target,Financial gain
Did killer confess to this murder?,Yes
Was killer convicted of this murder?,No
Name,Minnie Williams
Date killed,07-11-1893
Gender,Female
Race,White
How killed,Poisoned
State Killed,Illinois
