Heading,Value
Sex,Male
Race,White
Number of victims,5 confirmed
Country where killing occurred,United States
States where killing occurred,California
Cities where killing occurred,South Bay area of Los Angeles
Type of killer,Organized thrill
Childhood Information,
Date of birth,February 2nd 1948
Location,"Greeley, Colorado"
XYY?,No
Raised by,Both Parents
Parent’s marital status,Married
Family event,No
Problems in school?,Yes
Teased while in school?,Yes
Physically attractive?,No
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,No
Psychologically abused?,No
Sexually abused?,No
Cognitive Ability,
Highest grade in school,Dropped out at age 17
IQ,Unknown
Work History,
Served in the military?,Yes
Branch,Navy
Type of discharge,Psychological problems
Saw combat duty,No
Killed enemy during service?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Types of jobs worked,Electronics technician
Employment status during series,Employed
Sexual preference,Heterosexual
Marital status,Single
Living with,Mother
Triad,
Animal torture,No
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,Yes
Been to a psychologist?,Yes
Time in forensic hospital?,Yes
Diagnosis,Mentally disordered sex offender
Killer Criminal History,
Committed previous crimes?,Yes
Spend time in jail?,Yes
Spend time in prison?,Yes
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,5 (Confirmed)
Victim type,"White teenage female, hitchhiker"
Killer age at start of series,31
Date of first kill in series,June 24th 1979
Date of final kill in series,October 31st 1979
Gender of victims,Female
Race of victims,White
Age of victims,15-19
Type of victim,"Hitchhikers, random"
Method of killing,"Torture with ice picks, pliers, and hangers, Strangulation by wire hanger."
Weapon,"Kept in the van. Pliers, hangers, ice picks, sledgehammer"
Was gun used?,No
Did killer have a partner?,Yes
Name of partner,Lawrence Bittaker
Sex of partner,Male
Type of serial killer,"Organized lust, organized thrill"
How close did killer live?,Drove to crime
Location of first contact,Picked victim up off street
Location of killing,At killer’s pre-selected abandoned area
Killing occurred in home of victim?,No
Killing occurred in home of killer?,No
Victim abducted or killed at contact?,Abducted
Behavior During Crimes,
Rape?,Yes
Tortured victims?,Yes
Stalked victims?,Yes
Overkill?,Yes
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No. Did audio record the rape/killing and take pictures
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",Yes
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,November 20th 1979
Date convicted,March 1980
Sentence,Life sentence with parole eligibility after minimum 30 years served before parole
Killer executed?,No
Did killer plead NGRI?,No
Name and state of prison,"Pelican Bay Prison, California"
Killer committed suicide?,No
Killer killed in prison?,No
"References 
http://www.crimelibrary.com/serial_killers/predators/bittaker_norris/1.html 
http://crime.about.com/od/serial/p/bittaker_norris.htm 
http://www.crimezzz.net/serialkillers/B/BITTACKER_NORRIS.php 
http://books.google.com/books?id=sisDoumVfWIC&pg=PA20&lpg=PA20&dq=lawrence+bittaker+and+r oy+norris&source=web&ots=24fRE3qHQW&sig=3DaPx6H_FbMxx7t28JfZNaFUyEQ#PPA20,M1
Markman, R., Dominick, B. (1989). Alone with the Devil: Famous Cases of a Courtroom Psychiatrist. New 	York : Bantam Press.",
