Heading,Value
Sex,Male
Race,White
Number of victims,"2 killed,  8 tortured"
Country where killing occurred,United States
States where killing occurred,"Boston, MA"
Type of killer,Organized lust
Height,
Childhood Information,
Date of birth,"November 29, 1859"
Location,"Charlestown, Massachusetts"
Birth order,Second born
Number of siblings,1
XYY?,No
Raised by,Both parents
Birth category,Youngest
Parent’s marital status,Married
Family event,Father would strip him and his brother and beat them as punishment
Age of family event,Childhood
Problems in school?,Yes
Teased while in school?,Yes
Physically attractive?,No
Physical defect?,"Large body, had overly large facial features, a completely white eye, hair lip, and a cleft palate"
Speech defect?,No
Head injury?,Beatings from parents but nothing recorded
Physically abused?,Yes
Psychologically abused?,Yes
Sexually abused?,Yes
Father’s occupation,"Worked at the Navy Yard, drove a wagon"
Age of first sexual experience,Unknown
Age when first had intercourse,Unknown
Mother’s occupation,Store Owner
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,Worked in his mother’s shop
Employment status during series,"Worked for his mother, had a paper route"
Sexual preference,Heterosexual
Marital status,Single
Number of children,0
Lives with his children,No
Living with,Mother
Triad,
Animal torture,Yes
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Committed previous crimes?,Yes
Spend time in jail?,Yes
Spend time in prison?,"Yes, a reformation house"
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,"2 killed, 8 tortured"
Victim type,"Younger boys, and young girl"
Killer age at start of series,13 years old
Gender of victims,Male and female
Race of victims,White
Age of victims,"10, 7, 6, 5, 4"
Method of killing,Stabbing
Type of serial killer,Antisocial Personalities
How close did killer live?,Lived in the same town as the victims
Killing occurred in home of victim?,No
Killing occurred in home of killer?,No
Weapon,Killer brought with him
Behavior During Crimes,
Rape?,No
Tortured victims?,Yes
Stalked victims?,No
Overkill?,Yes
Quick & efficient?,Yes
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,Yes
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",Yes
"Left at scene, buried",Yes
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,1974
Date convicted,1974
Sentence,Life in prison - solitary confinement
Killer executed?,No
Did killer plead NGRI?,Yes
Was the NGRI plea successful?,No
Name and state of prison,"State prison in Charlestown, Massachusetts"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"September 29, 1932"
