Heading,Value
Sex,Male
Race,White
Number of victims,"About 50 suspected, 5 convicted, confessed to 5"
Country where killing occurred,United States
States where killing occurred,West Virginia
Cities where killing occurred,"Quiet Dell, just outside of Clarksburg"
Type of killer,Bluebeard Killer
Height,5’7”
Childhood Information,
Date of birth,"November 17th, 1892"
Location,"Beerta, Holland"
Birth order,3rd of 4 (2nd and 4th passed away as babies)
Number of siblings,1 (technically)
XYY?,Not sure.
Raised by,Both parents
Birth category,Youngest
Parent’s marital status,Married
Did serial killer spend time in an orphanage?,No
Did serial killer spend time in a foster home?,No
Was serial killer ever raised by a relative?,No
Did serial killer ever live with adopted family?,No
Did serial killer live with a step-parent?,No
Family event,Moved from Holland to the United States without his parents
Age of family event,18
Problems in school?,"Yes, Did not enjoy school and was often truant"
Teased while in school?,Possibly. No evidence.
Physically attractive?,"Unattractive, pudgy"
Physical defect?,Pig eyed
Speech defect?,No
Head injury?,No head injuries that we know of
Physically abused?,No
Psychologically abused?,Maybe
Sexually abused?,No
Father’s occupation,Not sure
Age when first had intercourse,“He has been weak sexually since childhood”
Mother’s occupation,Not sure
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,Not sure.
Highest degree,High School Diploma we think
Grades in school,Not sure.
IQ,Was described as intelligent but unmanageable
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Types of jobs worked,"Farmer, door-to-door salesman, helped operate a small grocery store"
Employment status during series,Employed as a door-to-door salesman for vacuums and operating a small grocery store
Sexual preference,Women - heterosexual
Marital status,Married – Luella (Lu Lu) Struthers 1931
Lives with his children,No children
Living with,Wife but traveled without her
Triad,
Animal torture,Yes – when he came to America and worked at a farm he was caught treating the livestock in a cruel and inhumane manner 1910
Fire setting,"Broke into the home of Rose and Thomas early because he was angry that he had not gained her affection and had married someone else. He tried to burn down the house to cover the burglary, but the first failed to spread. 1921"
Bed wetting,No mention of bedwetting
Killer Psychological Information,
Abused drugs?,No mention of drug abuse
Abused alcohol?,No mention of abusing alcohol
Been to a psychologist (prior to killing)?,No
Killer Criminal History (Prior to the series),
Committed previous crimes?,"Burglary 1921, car theft 1919, grand larceny 1924, trying to sell stolen goods 1924, theft of money and jewelry 1925, theft of vacuums 1926."
Spent time in jail?,"Escaped from Dane County jail on June 28th 1919, Harrison County jail 1931, Clarksburg Jail 1931"
Spent time in prison?,"Served less than 15 months in Wisconsin state prison 1921, West Virginia state prison 1931, State penitentiary at Moundsville 1931"
Killed prior to series?  Age?,No
Serial Killing,
Number of victims (suspected of),50
Number of victims (confessed to),5
Number of victims (convicted of),5
Victim type,Women and Children
Killer age at start of series,38 – for those he was convicted of murdering. Positive he was luring in widows and killing them years before these cases were brought up. Never knew anything else about any other victims however.
Killer age at end of series,"38 – He was still 38 when he was arrested in August 1931. He killed his first victim around June 23, 1931 and about three weeks later had obtained Mrs. Lemke and murdered her."
Date of first kill in series,"June 23, 1931"
Date of final kill in series,Late July early August 1931
Gender of victims,"2 women, 2 girls, 1 boy"
Race of victims,White
Age of victims,"50, 43, 14, 12, 9"
Type of victim,Wealthy widows and children
Method of killing,Strangled to death. Gassed and Starved. Beaten with hammer.
Weapon,Killer brought with him
Was gun used?,No
Type,"Hammer, noose, gas, starvation"
Did killer have a partner?,No
Type of serial killer,Organized lust
How close did killer live?,Walking distance
Location of first contact,He met the victims at their homes and brought back to his home in W. VA. Plans to go to Detroit for next victim.
Location of killing,Killer’s home. In a “Murder Garage” separate from main house. That is what we know of. Only confessed to the 5 found – not sure if there were other killed in other places.
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes – murder garage / chamber
Victim abducted or killed at contact?,n/a came on their own but could be abducted
Behavior During Crimes,
Rape?,No – not entirely sure though.
Tortured victims?,"Yes – gassed victims, strangled, beat, and starved"
Stalked victims?,No
Overkill?,No
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,"Yes, in chamber"
After Death Behavior,
Sex with the body?,Not with victims but got aroused by the torture
Mutilated body?,Beat with hammer
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,Yes – kept a lot of personal items from the victims
Robbed victim or location,Yes – took possessions and sold homes
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",Buried in ditch next to garage on his land
"Left at scene, buried",Buried in ditch next to garage on his land
"Moved, no attempt to hide",No
"Moved, hidden",Buried in ditch next to garage on his land
"Moved, buried",Buried in ditch next to garage on his land
Cut-op and disposed of,No
Burned body,No
"Dumped body in lake, river, etc.",Drainage ditch from garage
"Moved, took home",Took possessions and sold the widow’s homes
Date killer arrested,"August 26, 1931"
Date convicted,"December 12, 1931"
Sentence,Death – hanged by the neck until dead
Killer executed?,"Yes, hung"
Did killer plead NGRI?,Possibly
Was the NGRI plea successful?,No
Did serial killer confess?,Yes – confessed to 5
Name and state of prison,"Moundsville, West Virginia State Prison"
Killer committed suicide?,No
Killer killed in prison?,Executed while serving years in prison
Date of death,"March 18th, 1932"
Cause of death,"Execution, hung"
"References 
McLaughlin, Vance (2011). The mail order serial killer: the life and death of Harry Powers. Cincinnati, OH: Post Mortem Press. (ISBN-13: 978-1615480121) 
Schechter, Harold. ""The Serial Killer Files: the Who ... - Harold Schechter."" Google Books. Web. 13 Nov. 2011. http://books.google.com/books?id=5qroGXAa-wIC 
""The Bluebeard of Quiet Dell."" West Virginia Gazette. West Virginia Gazette. Web. 13 Nov. 2011. <http://www.wvgazette.com/mediafiles/document/2009/03/17/Bluebeard_I090317193022.pdf>. 
""Harry F. Powers - The West Virginia Bluebeard."" WWW.DVRBS.COM Is the Website of the 
Delaware Valley Rhythm & Blues Society, Inc., a Non-profit Organization Dedicated to Local History, Community Service, Senior Dog Adoption, & Classic Rhythm & Blues Music. Web. 13 Nov. 2011. <http://www.dvrbs.com/ev-badend/WVBluebeard-HarryFPowers.htm>. 
""News: Harry Powers: W.Va. Serial Killer."" Serial Killer Central. Web. 13 Nov. 2011. <http://www.skcentral.com/news.php?readmore=2258>. 
11/14/2011",
