Heading,Value
Sex,Male Male
Race,Black Black
Number of victims,6 6
Country where killing occurred,United States United States
States where killing occurred,California California
Type of killer,Disorganized lust Disorganized lust
Height,5’10” 5’10”
Childhood Information,
Date of birth,1967
Location,California
Cognitive Ability,
Work History,
Served in the military?,Yes
Branch,"Navy, machinist"
Sexual preference,Heterosexual
Marital status,Single
Living with,Girlfriend
Triad,
Killer Psychological Information,
Killer Criminal History,
Committed previous crimes?,20 burglaries & 1 rape
Serial Killing,
Number of victims,6
Victim type,Neighbors
Killer age at start of series,22
Gender of victims,Female
Race of victims,White
Age of victims,18-42
Method of killing,"Stabbing, strangling"
Type of serial killer,Disorganized lust
How close did killer live?,Walking distance
Killing occurred in home of victim?,Yes
Killing occurred in home of killer?,No
Weapon,"Found at scene, usually knife"
Behavior During Crimes,
Rape?,No
Tortured victims?,Yes
Stalked victims?,Followed from gym or knew them from the apartment complex
Overkill?,"Yes, some victims had over 50 stab wounds"
Quick & efficient?,No
After Death Behavior,
Sex with the body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,Smeared blood on breasts of victims
Took totem – body part,No
Took totem – personal item,Jewelry
Robbed victim or location,"Yes, jewelry that was given to his girlfriend"
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,"March 3, 1991"
Date convicted,"July 13, 1993"
Sentence,"November 5, 1993-Death"
Did killer plead NGRI?,No
Name and state of prison,"San Quentin, CA"
Killer committed suicide?,No
Killer killed in prison?,No
"References 
Cleophus Prince Jr.. Retrieved December 3, 2006, from Serial Killers A-Z Web site: http://www.geocities.com/verbal_plainfield/i-p/prince.html 
Cleophus Prince Jr.. Retrieved December 3, 2006, from The Frances Farmers Revenge Web Portal Web site: 
http://www.francesfarmersrevenge.com/stuff/serialkillers/prince.htm 
(3/8/03). High Profile Cases. Retrieved November 26, 2006, from http://www.elcajonboulevard.com/High%20Profile.htm 
(11/13/1997). A short history on all of the worst serial killers in the world!. Retrieved November 26, 2006, from http://members.tripod.com/ahrens/serial/ 
Cleophus Prince Jr., The Clairemont Killer.  Retrieved November 26, 2006, from Crime-Life Web site: http://www.crimelife.com/killers/prince.html 
Wetsch, Elisabeth.  Serial Killer Crime Index.  Retrieved November 26, 2006, from Serial Killer True Crime Library Web site: 
http://www.crimezzz.net/serialkillers/P/PRINCE_cleophus_jr.php
Serial Killer Gets Death. (November 6, 1993).  Pittsburgh Post-Gazette, p. A5 
(14 July 1993). Man convicted of San Diego slayings. The Las Vegas Review-Journal. 8e",
