Heading,Value
Sex,Male
Race,White
Number of victims,10 suspected; possibly more
Country where killing occurred,United States
States where killing occurred,Kansas
Type of killer,Organized lust
Height,5’11”
Childhood Information,
Date of birth,3-9-45
Location,Kansas
Birth order,First of four boys
Number of siblings,"3 Brothers (Paul 1947, William 1949, Jeffery 1955)"
XYY?,Unknown
Raised by,Biological Parents.  William E. And Dorothea Cook Rader
Birth category,Oldest
Parent’s marital status,"Mother was widowed in 1966, current status unknown."
Family event,Father died in 1966
Age of family event,21
Problems in school?,Unknown
Teased while in school?,Unknown
Physically attractive?,"Symmetrical, but not attractive"
Physical defect?,Unknown – none visible
Speech defect?,Unknown
Head injury?,Unknown
Physically abused?,Unknown
Psychologically abused?,Unknown
Sexually abused?,Unknown
Father’s occupation,Marine
Age of first sexual experience,Unknown
Age when first had intercourse,Unknown
Mother’s occupation,Unknown
Father abused drugs/alcohol,Unknown
Mother abused drugs/alcohol,Unknown
Cognitive Ability,
Highest grade in school,High School Graduate
Highest degree,B. A. in Administration of Justice from Wichita State University in 1979
Grades in school,"Unknown, but according to Richard Crusinberry, a classmate of Rader’s, Rader was very bright and did well in school."
IQ,Unknown
Work History,
Served in the military?,Yes
Branch,Air Force 1965-1969 in Vietnam (Mechanic)
Type of discharge,Unknown
Saw combat duty,Probably
Killed enemy during service?,Possibly
Applied for job as a cop?,"Yes, application was rejected"
Worked in law enforcement?,"Working as a Compliance Supervisor for Park City, KS since 1990 at the time of his arrest.  Duties included Animal Control, enforcement of city ordinances, nuisance calls."
Fired from jobs?,Unknown
Types of jobs worked,"Home Security, City Government Regulation"
Employment status during series,Employed with ADT during most of the series of crimes.
Sexual preference,Heterosexual
Marital status,Married to Paula Rader (nee Dietz) for 34 years
Number of children,"2; 1 M (Brian) living in Connecticut, 1 F (Kerri) living in Michigan"
Lives with his children,Children are grown
Living with,"Spouse, Paula, a bookkeeper for a local convenience store in Park City"
Triad,
Animal torture,Possibly unnecessarily tranquilized dogs as compliance officer
Fire setting,Unknown
Bed wetting,Unknown
Killer Psychological Information,
Abused drugs?,Unknown
Abused alcohol?,Unknown
Been to a psychologist?,Defense is reported to have “copies of expert reports and mental exams”
Time in forensic hospital?,Unknown
Diagnosis,Unknown
Killer Criminal History,
Committed previous crimes?,Possibly killed dogs
Spend time in jail?,Unknown
Spend time in prison?,Unknown
Killed prior to series?  Age?,Unknown
Serial Killing,
Number of victims,"~10, possibly 14"
Victim type,Mostly young women; one family of 4
Killer age at start of series,28 (Jan. 1974)
Gender of victims,2 M; 8 F
Race of victims,Hispanic; White
Age of victims,Between age 9 and age 62; mean age 27
Method of killing,"The BTK killer would cut the phone lines, break into the home; wait for the victim; bind victim/victims and torture victims before strangling them; the BTK also used a gun and knife in some cases; in some cases, the BTK would move the victim’s vehicle a few blocks away"
Type of serial killer,Organized lust
How close did killer live?,Most likely drove to crime; lived about 10-12 miles from crime scenes
Killing occurred in home of victim?,Yes
Killing occurred in home of killer?,No
Weapon,"Killer brought weapon with him for the most part, killer may have used items such as cords from window blinds found at scene; also used a gun and knife in some cases"
Behavior During Crimes,
Rape?,No
Tortured victims?,Yes
Stalked victims?,Yes
Overkill?,No
Quick & efficient?,Yes
Used blindfold?,Yes; hood
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,"No, but semen was found on and around victims"
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,Yes
Took totem – body part,No
Took totem – personal item,"Yes; including jewelry, photos and possible audio recordings of the scene"
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No; did possibly dispose of two victims on nearby dirt roads or under bridges
"Moved, buried",No
Cut-op and disposed of,No
"Moved, to home",No
Date killer arrested,2-25-05
Date convicted,N/A; plead not guilty 5-3-05
Sentence,Most likely life in prison as capital punishment law not passed in Kansas until 1994; 20 years after Rader’s first murder
Killer executed?,N/A; not likely- see above
Did killer plead NGRI?,No
Name and state of prison,"Sedgwick County Jail, Wichita, KS - soon to be transferred to El Dorado State Prison"
Killer committed suicide?,No
Date of death,N/A; may have been diagnosed with colon cancer; is declining treatment
