Heading,Value
Sex,Male Male
Race,White White
Number of victims,"14 definite, possibly as many as 60 14 definite, possibly as many as 60"
Country where killing occurred,United States United States
States where killing occurred,New Mexico New Mexico
Cities where killing occurred,"Albuquerque, Elephant Butte, Truth or Consequences Albuquerque, Elephant Butte, Truth or Consequences"
Type of killer,Lust Killer Lust Killer
Height,6’2” 6’2”
Childhood Information,
Date of birth,"November 6, 1939 November 6, 1939"
Location,"Belen, New Mexico Belen, New Mexico"
Birth order,1st of 2 1st of 2
Number of siblings,1 1
XYY?,no no
Raised by,Grandfather. Grandfather.
Birth category,Oldest Oldest
Parent’s marital status,Married Married
Family event,"Grandmother died, David and his sister were split up Grandmother died, David and his sister were split up"
Age of family event,
Problems in school?,Yes Yes
Teased while in school?,He would get teased for being unusually shy with girls He would get teased for being unusually shy with girls
Physically attractive?,Said to be a handsome teenager Said to be a handsome teenager
Physical defect?,No No
Speech defect?,No No
Head injury?,
Physically abused?,"Yes, by father Yes, by father"
Psychologically abused?,
Mother’s occupation,No real contact with mother
Cognitive Ability,
Highest grade in school,12
Highest degree,Diploma
Grades in school,Low D’s
Work History,
Served in the military?,Yes
Branch,Army
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,Yes
Types of jobs worked,Mechanic
Employment status during series,Unemployed
Sexual preference,Heterosexual
Marital status,Divorced 4 times
Number of children,2 daughters
Lives with his children,Lived with one of them
Living with,"Cindy Hendy, girlfriend"
Triad,
Animal torture,No
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,Yes
Abused alcohol?,Yes
Been to a psychologist?,No
Diagnosis,Paraphilia (psycho-sexual disorder)
Killer Criminal History,
Serial Killing,
Number of victims,"14, but possibly up to 60"
Victim type,"Prostitutes, young females"
Killer age at start of series,16 or 17
Date of first kill in series,1950s
Date of final kill in series,"March 22, 1999"
Gender of victims,Female
Race of victims,White
Type of victim,"Prostitutes, young females"
Method of killing,"Used $100,000 sexual torture device called “toy box”"
Weapon,was his toy box
Did killer have a partner?,Yes
Name of partner,"Jesse Ray, Dennis Roy Yancy, and Cindy Hendy"
Sex of partner,"Female, Male, and Female"
Type of serial killer,Organized lust killer
Location of killing,Killer’s home
Killing occurred in home of killer?,Yes
Behavior During Crimes,
Rape?,Yes
Tortured victims?,Yes
Stalked victims?,Yes
Overkill?,Yes
Quick & efficient?,No
Used blindfold?,"Yes, sometimes"
Bound the victims?,Yes
After Death Behavior,
Mutilated body?,Yes
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",Yes
"Left at scene, buried",Yes
"Moved, no attempt to hide",No
"Moved, buried",Yes
Cut-op and disposed of,Yes
"Moved, too home",No
Date killer arrested,"March 22, 1999"
Date convicted,1999
Sentence,224 consecutive years
Killer executed?,no
Did killer plead NGRI?,no
Was the NGRI plea successful?,no
Name and state of prison,Hobbs Prison-New Mexico Department of Corrections
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"May 28, 2002 (heart attack)"
"References 
Fielder, Jim.  Slow Death.  New York: Kesington Publishing Company, 2003. 
Glatt, John.  Cries in the Desert.  New York: Macmillan, 2002. 
Sparks, J.E. (2006).  Consequences: The Criminal Case of David Parker Ray.  New Mexico: Yellow Jacket Press 
Terry, D.  (1999, April 2).  Few details in ‘Stomach Turning’ Case.  New York Times.",
