Heading,Value
Sex,Male
Race,White
Number of victims,"3 (Although it is speculated that he might’ve killed a man sometime before these 3 victims.  This information is based on a diary he supposedly had that Gretchen stole from him. 
It was never proven for sure if the diary even existed.)"
Country where killing occurred,United States
States where killing occurred,Arizona
Cities where killing occurred,Tucson
Type of killer,Mixed Thrill Killer/Revenge Seeker
Height,5’3” or 5’4”
Childhood Information,
Date of birth,"July 8th, 1942"
Location,"It is unclear where he was born, but he was adopted the"
Birth order,Adopted
Number of siblings,0
XYY?,No
Raised by,Adoptive parents
Birth category,Only child
Parent’s marital status,Married
Family event,His parents tell him he is adopted.  He locates his birth mother and the meeting does not go the way he wanted it to.
Age of family event,18
Problems in school?,Just minor problems such as stealing gym clothes and tools
Teased while in school?,No
Physically attractive?,"No, but he had no problem getting girls.  He used make-up to darken his skin, dyed his hair, wore chapstick to make his lips white, and he darkened in a mole to make it bigger. He also stuffed rags and cans in his boots to make himself taller."
Physical defect?,"No, but he often lied and told girls he was crippled in order to get them to feel sorry for him."
Speech defect?,No
Head injury?,Yes-Hit in head by lead pipe.
Physically abused?,He said his father beat him but there was no evidence of this.
Psychologically abused?,Possibly by his bad encounter with his birth mother.
Sexually abused?,No
Father’s occupation,Nursing home proprietor
Age of first sexual experience,"18+ is when the Playboys were mentioned and his supposed “sex club” was spoke about, although his first experience was probably much earlier."
Age when first had intercourse,It is unclear but Mary French lived with him and slept in the same bed with him when he was 21.
Mother’s occupation,Nursing home proprietor
Father abused drugs/alcohol,No (do not know about his biological father)
Mother abused drugs/alcohol,No (do not know about his biological mother)
Cognitive Ability,
Highest grade in school,Highest grade completed was 11th.
Highest degree,He dropped out his senior year after being suspended for stealing tools from the machine shop.
Grades in school,"Below average, although his teachers gave the impression that his grades were due to lack of interest, as opposed to lack of intelligence. He said, “I quit out of boredom.”"
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,He started an upholstery business that only lasted about a
Employment status during series,Unemployed
Sexual preference,Heterosexual
Marital status,Married for about 8 months to 15 year old Diane Lynch.
Number of children,Mary French was said to have given birth to a stillborn child belonging to Smitty when she was briefly living in Chicago.
Living with,"Mostly by himself, although friends lived with him off and on, as well as the short period he was married."
Triad,
Animal torture,Yes (abused his cat)
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,Yes
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Committed previous crimes?,"Charles and friends went to jail for a night for “creating unlawful diversion” by driving around town with 
someone’s arm hanging out the window covered in ketchup"
Spend time in jail?,"Yes, one night for the event listed above and a couple of other nights in California for being a murder suspect."
Spend time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,3
Victim type,Young females ages 13-18.
Killer age at start of series,21
Date of first kill in series,"May 31st, 1964"
Date of final kill in series,"August 16, 1965"
Gender of victims,Females
Race of victims,Caucasian
Age of victims,"13, 17, 18"
Type of victim,"Young females (2 sisters of prominent heart surgeon, and one high school dropout)"
Method of killing,1st murder- Beat victim with rocks; 2nd & 3rd murders- It is speculated that he strangled them with a cord that went to his guitar but it was never proven.
Weapon,Killer found at scene
Was gun used?,No
Did killer have a partner?,1st Killing: Yes  2nd/3rd Killings: No
Name of partner,1st Killing: Mary French and John Saunders
Sex of partner,1st Killing: Male and Female
Type of serial killer,Mixed Thrill Killer/Revenge Seeker
How close did killer live?,Drove out to desert in Tucson to commit 1st murder; Killed victims at his home in 2nd and 3rd.
Location of first contact,"He met Alleen at the local hangouts, he saw Gretchen at the swimming pool, then went to her house pretending to be a pots and pans salesman."
Location of killing,1st: In the desert on the outskirts of Tucson; 2nd/3rd: In his home.
Killing occurred in home of victim?,No
Killing occurred in home of killer?,"1st murder, No.  2nd and 3rd murders, Yes."
Victim abducted or killed at contact?,No
Behavior During Crimes,
Rape?,"Does not say, but was insinuated."
Tortured victims?,Yes
Stalked victims?,Yes
Overkill?,No
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",No
"Left at scene, buried",Yes (1st Victim)
"Moved, no attempt to hide","Yes (2nd and 3rd Victims), and partially buried, then went back and buried more thoroughly later."
"Moved, buried",Partially (2nd and 3rd murders)
Cut-op and disposed of,No
"Moved, too home",No
Sentencing,No
Date killer arrested,11/10/1965
Date convicted,03/01/1966
Sentence,"Death for the murders of the Fritz sisters, 50 years for Alleen Rowe."
Killer executed?,No
Did killer plead NGRI?,No
Name and state of prison,"Arisona State Prison near Florence, AZ"
Killer committed suicide?,No
Killer killed in prison?,Yes (10 day after wounds suffered by attack that happened in prison)
Date of death,"March 30th, 1975"
