Date,Age,Life Event,Unnamed: 3,PredictedLabel,PredictedTheme
"August 27, 1964",0,"Paul was born to Kenneth and Marilyn Bernardo, as a result of her affair with a former boyfriend, in Scarborough Canada. He was the last of three children",,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
"May 4, 1970",5,Karla Homolka was born to Karel and Dorothy Homolka. She was the first of three children,,8,"The archetypal theme represented here is ""Domestic Violence and Marital Discord"". The perpetrators show a pattern of abusive behavior, lack of respect for their partners, and the inability to maintain a healthy relationship. They also exhibit impulsive behaviors, lack of empathy, and violent tendencies, which in these cases, escalated to murder."
May 1971,6,Bernardo’s mother locates her blood sisters and begins to visit with them on weekends leaving Bernardo and his siblings unsupervised,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
May 1975,10,"Bernardo becomes close friends with two neighborhood boys, Van and Steve. They are always together and all members of the boy scouts where Bernardo receives the chief scout award. The boys begin to start fires using magnifying glasses and twigs/kindling",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
May 1977,12,Paul gets his first job working in a restaurant that is owned by a friend of his father,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
May 1979,14,"Paul began high school and was doing well, but his parents never thought that anything was good enough.",,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
June 1980,15,"Paul meets his first love, Nadine Brammer, an attractive blonde, to whom he lost his virginity. She said that Paul was very controlling and over protective. Paul’s mother reveals that Kenneth was not his real father. After this Paul referred to his mother as a slut and whore and she began to call him a bastard.",,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
Spring 1981,16,"Nadine breaks off the relationship with Paul due to her involvement with his good friend Steve. After this Paul is enraged and sets fire to all of the things that Nadine,Nadine breaks off the relationship with Paul due to her involvement with his good friend Steve. After this Paul is enraged and starts fire to all of the things that Nadine had given him",,8,"The archetypal theme represented here is ""Domestic Violence and Marital Discord"". The perpetrators show a pattern of abusive behavior, lack of respect for their partners, and the inability to maintain a healthy relationship. They also exhibit impulsive behaviors, lack of empathy, and violent tendencies, which in these cases, escalated to murder."
June 1982,17,Paul graduates from Sir Wilfred Lauier High School. Paul begins going to bars where he lies to women in order to have sex with them.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
Fall 1983,19,"Paul enrolls at the University of Toronto, Scarborough campus. Paul begins talking with his friend Van about his 'Virgin Farm Fantasy' in which Paul would have stockpile of women that wanted to have sex with him.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
