Date,Age,Life Event,Unnamed: 3,PredictedLabel,PredictedTheme
11/24/46,0,"Eleanor Louis Cowell gives birth to Theodore Robert Cowell in Burlington, VT; speculated that Eleanor’s father was also Ted’s father.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1946ish,>1,Ted and mother moved in with Ted grandparents. From this point until 1969 he believes that his mother is his sister and his grandparents are his parents.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1949,3,Caught standing beside his aunt’s bed grinning after he placed knives in bed. All knives pointed to her.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1950,4,"Eleanor and Ted move to Tacoma, Washington; changes name from Cowell to Nelson for unknown reasons",,8,"The archetypal theme represented here is ""Domestic Violence and Marital Discord"". The perpetrators show a pattern of abusive behavior, lack of respect for their partners, and the inability to maintain a healthy relationship. They also exhibit impulsive behaviors, lack of empathy, and violent tendencies, which in these cases, escalated to murder."
5/19/51,5,Eleanor marries Johnnie Bundy and her son takes his step-father’s last name.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1950’s,5-14,"There is no evidence that Johnnie ever abused Ted, but the two were not close, and Ted felt uncomfortable around him as he made attempts to bond with him.",,2,"This archetypal theme represents a pattern of escalating criminal behavior and disregard for the law. The individual has a history of theft, drug-related offenses, and increasingly violent crimes (hit and run, kidnapping), showing a progression from non-violent to violent offenses. The repeat parole violations indicate a lack of remorse or willingness to conform to societal norms even after serving time in prison. This pattern can be associated with an antisocial personality disorder, often found in serial offenders."
1959,13,Ted is told he is illegitimate.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
"Late 1950’s, early 1960’s",11-17,"Ted is suspected of burglaries as a teenager, but no charges were ever pressed.",,2,"This archetypal theme represents a pattern of escalating criminal behavior and disregard for the law. The individual has a history of theft, drug-related offenses, and increasingly violent crimes (hit and run, kidnapping), showing a progression from non-violent to violent offenses. The repeat parole violations indicate a lack of remorse or willingness to conform to societal norms even after serving time in prison. This pattern can be associated with an antisocial personality disorder, often found in serial offenders."
Spring 1965,18,"Bundy graduates from Woodrow Wilson High School in Tacoma, Washington",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1965,18,"Upon his graduation, he admittedly began stealing regularly",,2,"This archetypal theme represents a pattern of escalating criminal behavior and disregard for the law. The individual has a history of theft, drug-related offenses, and increasingly violent crimes (hit and run, kidnapping), showing a progression from non-violent to violent offenses. The repeat parole violations indicate a lack of remorse or willingness to conform to societal norms even after serving time in prison. This pattern can be associated with an antisocial personality disorder, often found in serial offenders."
