Date,Age,Life Event,Unnamed: 3,PredictedLabel,PredictedTheme
"October 5, 1934",0,"Angelo Buono is born in Rochester, New York.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1939,5,"After his parents divorce, Angelo moves to Glendale, California with his mother Jenny, and his sister Cecilia.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1948,14,"Angelo boasts to his friends about sodomizing and raping girls. He idolizes Caryl Chessman, a notorious rapist known as the 'red light bandit'. He considers Chessman to be his hero even though he thinks that Chessman should have killed his victims, instead of just sexually assaulting them. He begins calling his mother demeaning names like 'whore' and 'cunt'.",,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
1950,16,Angelo drops out of school and is arrested several times for larceny. He is sent to reform school but escapes.,,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
1951,17,Angelo is recaptured by the California Youth Authority,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1955,21,"Angelo impregnates Geraldine Vinal, a 17 year-old girl from his high school. He  marries Geraldine only to leave her less than a week later.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
"January 10, 1956",21,"Michael Lee Buono, Angelo’s first child, is born. He divorces Geraldine and refuses to pay child support. He also refuses to let Michael call him 'father.'",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
Late 1956,22,"Angelo’s second son, Angelo Anthony Buono III, is born. The child’s mother is Angelo’s current girlfriend, Mary Catherine Castillo.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
"April 5, 1957",22,Angelo marries Mary Castillo.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1957,24,Mary gives birth to their second child Peter (Angelo’s third child).,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
