Date,Age,Life Event,Life Event
01-08-1947,0,Born in Connecticut.,Born in Connecticut.
1954,7,Neglected and abused by parents and grandfather,Neglected and abused by parents and grandfather
1955,8,"Served time in a juvenile hall for stealing license plates. Bonin became the sexual play things of others, sexual sadism, 
punishments such as submersion in ice water, and threats at the point of a knife.","Served time in a juvenile hall for stealing license plates. Bonin became the sexual play things of others, sexual sadism, 
punishments such as submersion in ice water, and threats at the point of a knife."
1955,8,"1st sexual experience, aware asked for restraints.","1st sexual experience, aware asked for restraints."
1965,18,Joined the Air Force.,Joined the Air Force.
1969,22,First arrest for sexually assaulting young boys. Sent to Atascadero State Hospital and diagnosed as having a manic-depressive illness..,First arrest for sexually assaulting young boys. Sent to Atascadero State Hospital and diagnosed as having a manic-depressive illness..
1975,28,Released from Atascadero State Hospital.,Released from Atascadero State Hospital.
August 1975,28,"Rape and attempted strangulation of David McVicker, 14-years old.","Rape and attempted strangulation of David McVicker, 14-years old."
1978,31,Released by the California prison system.,Released by the California prison system.
08-05-1979,32,"Killed first victim Marcus Grabs, 17-years old.","Killed first victim Marcus Grabs, 17-years old."
08-27-1979,32,"Murdered Donald Hyden, 15-years old.","Murdered Donald Hyden, 15-years old."
09-09-1979,32,"Murdered David Murillo, 17-years old.","Murdered David Murillo, 17-years old."
12-02-1979,32,"Murdered Dennis Frank Fox, 17-years old.","Murdered Dennis Frank Fox, 17-years old."
02-03-1980,33,"Murdered Charles Miranda, 15-years old.","Murdered Charles Miranda, 15-years old."
02-06-1980,33,"Murdered James McCabe, 12-years old.","Murdered James McCabe, 12-years old."
03-14-1980,33,"Murdered Ronald Gatlin, 19-years old.","Murdered Ronald Gatlin, 19-years old."
03-20-1980,33,"Murdered Harry Todd Turner, 14-years old.","Murdered Harry Todd Turner, 14-years old."
03-22-1980,33,"Murdered Glenn Barker, 14 years old and Russell Rugh, 15 years old.","Murdered Glenn Barker, 14 years old and Russell Rugh, 15 years old."
04-10-1980,33,"Murdered Steven Wood, 16-years old.","Murdered Steven Wood, 16-years old."
04-29-1980,33,"Murdered Darin Lee Kendrick, 19 years-old.","Murdered Darin Lee Kendrick, 19 years-old."
05-18-1980,33,"Murdered Lawrence Sharp, 17-years old.","Murdered Lawrence Sharp, 17-years old."
06-2-1980,33,"Murdered Steven Jay Wells, 18-years old.","Murdered Steven Jay Wells, 18-years old."
06-11-1980,33,"Attempted rape, with intent to kill, Harold T, 15-years old. Apprehended by police.","Attempted rape, with intent to kill, Harold T, 15-years old. Apprehended by police."
07/25- 07/29 1980,33,"Charged with 14 counts of murder, three counts of robbery.","Charged with 14 counts of murder, three counts of robbery."
03-12-1982,35,Convicted during first trial he was sentenced to death in 1982 for 10 murders throughout Los Angeles County.,Convicted during first trial he was sentenced to death in 1982 for 10 murders throughout Los Angeles County.
,,,
08-26-1983,36,"Convicted during second trial in Orange County of the other four murders, for which he received a second death sentence.","Convicted during second trial in Orange County of the other four murders, for which he received a second death sentence."
03-16-1990,,Bonin v. California,Bonin v. California
02-23-1996,49,Executed. First person in California to die by lethal injection.,Executed. First person in California to die by lethal injection.
