Date,Age,Life Event,Life Event
1914,,Born in Oklahoma,Born in Oklahoma
,,"Moved continuously until they settled in Ozark Hills, Arkansas","Moved continuously until they settled in Ozark Hills, Arkansas"
,,Dropped out of school in fourth grade to help his poor family,Dropped out of school in fourth grade to help his poor family
,20,Stole 2 hogs from his dad and sold them in another town,Stole 2 hogs from his dad and sold them in another town
,,Kept stealing livestock,Kept stealing livestock
1936,21-22,"Arrested in Harrison, Arkansas for forging checks","Arrested in Harrison, Arkansas for forging checks"
,,Sentenced to one year in jail,Sentenced to one year in jail
1940,25-26,Met his future wife Faye Della Wilson,Met his future wife Faye Della Wilson
1940-1941,26-27,Married Faye six moths after they met,Married Faye six moths after they met
1941,27,Had first son Everett,Had first son Everett
1943,29,Second son Billy Ray was born,Second son Billy Ray was born
1944,30-31,"Moved to Fresno County, California","Moved to Fresno County, California"
1945,31-32,First and only daughter  Betty Lou was born,First and only daughter  Betty Lou was born
1947,33-34,Third son Alvia was born,Third son Alvia was born
1949,35-36,"Accused of stealing horses from a local farmer, no charges were filed but it ruined his reputation","Accused of stealing horses from a local farmer, no charges were filed but it ruined his reputation"
1949,35-36,Fourth son William Wayne was born,Fourth son William Wayne was born
,,He moved his family back to Arkansas,He moved his family back to Arkansas
,,"After less than a month, Ray was arrested for cattle theft and sentenced to one year in jail","After less than a month, Ray was arrested for cattle theft and sentenced to one year in jail"
1950-1951,36-37,"Ray moved his family to Rocky Comfort, Missouri","Ray moved his family to Rocky Comfort, Missouri"
1951,36-37,Arrested for cattle theft once again and sentenced to manual labor on the Judge’s farm,Arrested for cattle theft once again and sentenced to manual labor on the Judge’s farm
1953,38-39,Moved his family to Illinois,Moved his family to Illinois
,,Moved continuously over the next eight years and in those eight years he was arrested on three separate charges of check forgery,Moved continuously over the next eight years and in those eight years he was arrested on three separate charges of check forgery
1961,46-47,Ray paid for 20 cattle with a bad check and was sentenced to nine months in jail,Ray paid for 20 cattle with a bad check and was sentenced to nine months in jail
,,"After he was released, he bought 19 more cattle at an auction with a bad check and was sentenced to another nine months in jail","After he was released, he bought 19 more cattle at an auction with a bad check and was sentenced to another nine months in jail"
1966,51-52,He moved back to Missouri,He moved back to Missouri
1967,52-53,"Ray and his family bought a 40-acre farm in Mooresville, Missouri","Ray and his family bought a 40-acre farm in Mooresville, Missouri"
,,,
1970’s,56-65,Started thinking of new ways to buy cattle with bad checks,Started thinking of new ways to buy cattle with bad checks
,,Developed a plan to use drifters to sign his name in their hand writing so when asked about it he could deny he knew what had happened because it was not his handwriting,Developed a plan to use drifters to sign his name in their hand writing so when asked about it he could deny he knew what had happened because it was not his handwriting
,,One drifter named Gerald Perkins was caught by the local police who already suspected Ray of being involved and found out the scam,One drifter named Gerald Perkins was caught by the local police who already suspected Ray of being involved and found out the scam
,,Police arrested Ray and he spent 2 years in prison for check forgery,Police arrested Ray and he spent 2 years in prison for check forgery
1980’s,65-74,After he was released he tries to fine tune his plan by having drifters get a post office box and then having them set up their own bank accounts.  He would then have them buy cattle at actions at which point he would sell the cattle and there would be no proof of his involvement.,After he was released he tries to fine tune his plan by having drifters get a post office box and then having them set up their own bank accounts.  He would then have them buy cattle at actions at which point he would sell the cattle and there would be no proof of his involvement.
,,"After Ray got his use out of the drifter, he would get rid of him for good so that police could not catch up with the drifter and find out the scam.","After Ray got his use out of the drifter, he would get rid of him for good so that police could not catch up with the drifter and find out the scam."
1989,74-75,Jack McCormick told police that Ray Copeland had tried to kill him after he had been employed by Ray.  But then did not cooperate with local police,Jack McCormick told police that Ray Copeland had tried to kill him after he had been employed by Ray.  But then did not cooperate with local police
08/20/1989,74-75,A hired worker named Jack McCormick called a hotline that gave reward money to those tips that lead to an arrest.  He then called and told the hotline that he had found bones and a human skull on the Copeland farm.,A hired worker named Jack McCormick called a hotline that gave reward money to those tips that lead to an arrest.  He then called and told the hotline that he had found bones and a human skull on the Copeland farm.
10/09/1989,74-75,Sheriff and around 40 officers raided the Copeland farm with a search warrant trying to find the remains of dead workers,Sheriff and around 40 officers raided the Copeland farm with a search warrant trying to find the remains of dead workers
10/17/1989,74-75,"Officers discover three bodies in a barn that were buried in three separate graves. 
The men were identified as 21-year-old Paul Jason Cowart, from Dardanelle, Arkansas; 27-year-old John W. Freeman, from Tulsa, Oklahoma; and 27-year-old Jimmie Dale Harvey, from Springfield, Missouri.","Officers discover three bodies in a barn that were buried in three separate graves. 
The men were identified as 21-year-old Paul Jason Cowart, from Dardanelle, Arkansas; 27-year-old John W. Freeman, from Tulsa, Oklahoma; and 27-year-old Jimmie Dale Harvey, from Springfield, Missouri."
,,Wayne Warner was later found in a barn under bales of hay that were stacked up to the ceiling.,Wayne Warner was later found in a barn under bales of hay that were stacked up to the ceiling.
,,Denis Murphy was the last to be found and he was found in an old well near where Wayne Warner was found.  All had been shot in the back of the head with a .22 caliber rifle.,Denis Murphy was the last to be found and he was found in an old well near where Wayne Warner was found.  All had been shot in the back of the head with a .22 caliber rifle.
,,In addition to the bodies found investigators also found a quilt that Faye had made out of the workers clothing and a list that had twelve names on it and all were crossed out.  Five of the men on that list were the bodies that were found and the others were all missing.,In addition to the bodies found investigators also found a quilt that Faye had made out of the workers clothing and a list that had twelve names on it and all were crossed out.  Five of the men on that list were the bodies that were found and the others were all missing.
11/01/1990,75-76,Faye’s defense was that her husband committed the murder without her knowledge and that she was a victim of battered woman’s syndrome.,Faye’s defense was that her husband committed the murder without her knowledge and that she was a victim of battered woman’s syndrome.
,,"After Faye’s conviction a sheriff asked Ray what is thoughts about it were and he responded ""Well, those things happen to some you know”","After Faye’s conviction a sheriff asked Ray what is thoughts about it were and he responded ""Well, those things happen to some you know”"
03/07/1991,76,Copeland goes to trial for five counts of murder in the first degree,Copeland goes to trial for five counts of murder in the first degree
,,Responds to conviction by saying  “I’m OK”,Responds to conviction by saying  “I’m OK”
1993,78,Dies in Potosi Correctional Center,Dies in Potosi Correctional Center
