Date,Age,Life Event,Life Event
2/22/1960,,"Born in West Orange, New Jersey: Last of 8 children including 5 sisters and 2 brothers","Born in West Orange, New Jersey: Last of 8 children including 5 sisters and 2 brothers"
9/1960,"7 
months",Father dies at age 56,Father dies at age 56
1969,9,First suicide attempt: mixed an assortment of chemical together from chemistry set and drank it,First suicide attempt: mixed an assortment of chemical together from chemistry set and drank it
1971,11,5th grade: Charles teased at school and wrote book with one of his only friends entitled Infinity Years Will Never Know about growing up in a world in which life was meaningless,5th grade: Charles teased at school and wrote book with one of his only friends entitled Infinity Years Will Never Know about growing up in a world in which life was meaningless
1975-1976,15-16,Fascinated by the works of Dostoyevsky: Favorite book was Crime and Punishment about a man who commits murder,Fascinated by the works of Dostoyevsky: Favorite book was Crime and Punishment about a man who commits murder
12/6/1977,17,Mother killed in a car accident,Mother killed in a car accident
1978,18,Bullied in high school: Goes to a party and decided to fight back by lacing drinks with rat poison but no one dies,Bullied in high school: Goes to a party and decided to fight back by lacing drinks with rat poison but no one dies
April 1978,18,Drops out of high school and enlists in the Navy,Drops out of high school and enlists in the Navy
"April 
1978-June 1979",18-19,Receives training to become a ballistic missiles technician in the Navy,Receives training to become a ballistic missiles technician in the Navy
July 1979,19,Given 1st assignment aboard nuclear submarine U.S.S. Woodrow Wilson,Given 1st assignment aboard nuclear submarine U.S.S. Woodrow Wilson
July 1979,19,"Considered a “misfit” by crew members: Taunted, ridiculed, hazed, and given the nickname “Fish-belly”","Considered a “misfit” by crew members: Taunted, ridiculed, hazed, and given the nickname “Fish-belly”"
1980,20,"Discovered sitting in stolen hospital gown, mask, and gloves at the missile control panel: Incident was reported","Discovered sitting in stolen hospital gown, mask, and gloves at the missile control panel: Incident was reported"
10/30/1981,21,Reassigned to U.S.S. Canopus,Reassigned to U.S.S. Canopus
3/30/1984,24,Issued a discharge from the Navy: records not public whether the discharge was for medical or psychological reasons,Issued a discharge from the Navy: records not public whether the discharge was for medical or psychological reasons
,,,
May 1984,24,"Enrolls in Mountainside Hospital School of Nursing in Montclair, New Jersey",
March 1987,27,Brother James dies from drug overdose,
May 1987,27,Graduates from nursing school,
6/7/1987,27,Marries computer programmer Adrienne Taub,
June 1987,27,"Starts working in burn unit of St. Barnabus Medical Center in Livingston, New Jersey",
Spring 1988,28,1st daughter born,
6/11/1988,28,1st kill: 72-year-old John Yengo-used Lidocaine,
1989,29,Received numerous speeding tickets and started drinking heavily,
12/90-2/91,30-31,Psychologically and physically abuses family especially during winter by turning heat off; starts torturing the family’s 2 pet Yorkshire terriers often placing them in trash bins,
January 1992,32,Fired from St. Barnabus,
February 1992,32,"Begins working in Coronary Care Unit at Warren Hospital in Phillipsburg, New Jersey",
Summer 1992,32,2nd daughter born,
1/11/1993,32,Wife files domestic violence complaint and requests a restraining order that is denied by the judge,
1/15/1993,32,Wife files for divorce,
1/22/1993,32,Cullen served with divorce papers,
1/25/1993,32,Wife files another domestic violence complaint and requests a temporary restraining order because she feels that Charles’s access to medications could put her and daughters at risk,
1/31/1993,32,"Attempts suicide and is sent to the Behavioral Health Unit at Muhlenberg Regional Medical Center in Bethlehem, Pennsylvania",
2/5/1993,32,Released and went home,
3/9/1993,33,"Kills Lucy Mugavero, 90, at Warren Hospital with digoxin—a heart stimulant",
3/23/1993,33,Arrested for breaking into the home of Michelle Tomlinson,
4/16/1993,33,"Wife applies for and granted a restraining order; has no visitation rights with his kids; Charles attempts suicide again and sent to Carrier Clinic in Belle Meade, New Jersey",
7/23/1993,33,"Kills Mary Natoli, 85, at Warren Hospital with digoxin",
8/10/1993,33,Pleads guilty to trespassing and harassment of Michelle Tomlinson,
8/11/1993,33,Attempts suicide again,
9/1/1993,33,"Kills Helen Dean, 91, at Warren Hospital with digoxin",
10/1993,33,Passes a polygraph during the investigation of Dean’s death,
12/1/1993,33,Quits job at Warren Hospital,
12/7/1993,33,Divorce from Adrienne finalized; Adrienne awarded custody and Charles is granted unsupervised visitation of children,
April 1994,34,"Begins working at Hunterdon Medical Center in ICU in Flemington, New Jersey",
June 1994,34,Receives Pennsylvania nursing license,
October 1994,34,Receives award for diligence and hard work from colleagues; starts dating married nurse at Hunterdon,
1/21/1996,35,"Kills Leroy Sinn, 71, with digoxin at Hunterdon",
5/31/1996,36,"Kills Earl Young, 75, with digoxin at Hunterdon",
6/9/1996,36,"Kills Catherine Dext, 49, with digoxin at Hunterdon",
6/24/1996,36,"Kills Frank Mazzacco, 65, with digoxin at Hunterdon",
7/10/1996,36,"Kills Jesse Eichlin, 81, with digoxin at Hunterdon",
October 1996,36,Girlfriend dumps him; quits job at Hunterdon,
,,,
November 1996,36,"Starts working at Morristown Memorial Hospital in Morristown, New Jersey",
August 1997,37,Fired from Morristown Memorial Hospital for poor job performance,
