Date,Age,Life Event,Life Event
5/21/60,0,"Jeffrey Dahmer was born in Milwaukee, WI. 
He was the first born child of Lionel and Joyce Dahmer. 
His mother is reported having a difficult pregnancy.","Jeffrey Dahmer was born in Milwaukee, WI. 
He was the first born child of Lionel and Joyce Dahmer. 
His mother is reported having a difficult pregnancy."
1960,0-2,"As a tot, he was a happy, bubbly youngster who loved stuffed bunnies, wooden blocks, etc. 
He had a great number of ear and throat infections. 
He and his father nursed and released a bird back to health.","As a tot, he was a happy, bubbly youngster who loved stuffed bunnies, wooden blocks, etc. 
He had a great number of ear and throat infections. 
He and his father nursed and released a bird back to health."
1962,2,Family moved to Iowa where Lionel began working on his PH.D. at Iowa State University,Family moved to Iowa where Lionel began working on his PH.D. at Iowa State University
1964,4,"Father swept out remains of small animals underneath the house, Jeffrey was thrilled by the sounds they made","Father swept out remains of small animals underneath the house, Jeffrey was thrilled by the sounds they made"
"1966 
12/18/66",6,"Family moved to Doylestown, Ohio 
He began first grade at Hazel Harvey Elementary School in Barberton, OH. 
Jeffrey’s brother David was born, teachers reported him feeling neglected Parents move into separate bedrooms in the house. 
Jeffrey suffered from a double hernia and had surgery to correct the problem. 
(some sources report the hernia operation occurred at age 4)","Family moved to Doylestown, Ohio 
He began first grade at Hazel Harvey Elementary School in Barberton, OH. 
Jeffrey’s brother David was born, teachers reported him feeling neglected Parents move into separate bedrooms in the house. 
Jeffrey suffered from a double hernia and had surgery to correct the problem. 
(some sources report the hernia operation occurred at age 4)"
1967,7,"Dahmer family moved into a new house 
He developed a close relationship with a boy named Lee. 
He was very fond of one of his teachers and took her a bowl of tadpoles; Later found out she had given them to his friend Lee. He killed the tadpoles with motor oil.","Dahmer family moved into a new house 
He developed a close relationship with a boy named Lee. 
He was very fond of one of his teachers and took her a bowl of tadpoles; Later found out she had given them to his friend Lee. He killed the tadpoles with motor oil."
1968,8,"Dahmer family moves to 4480 W. Bath Road, Bath, Ohio Jeffrey attended Bath Elementary School. 
Dahmer’s probation officer referred to a statement by Lionel that his son had been","Dahmer family moves to 4480 W. Bath Road, Bath, Ohio Jeffrey attended Bath Elementary School. 
Dahmer’s probation officer referred to a statement by Lionel that his son had been"
,,,
,,sexually abused by a neighbor at this age. Both Lionel and Jeffrey denied it,
1968,8,"Jeffrey was given a chemistry set, which he used to experiment with animals. He preserved insects in jars and later impaled cats and frogs on sticks. 
Boyhood friends recall that Jeffrey was interested in the insides of animals, specifically how things worked underneath the skin. One day while fishing, he chopped his catch into little pieces so he could see the inner workings",
1968,8,"Steve Lehr, a boyhood friend, recalls playing a nighttime game with Jeffrey called “Ghosts in the Graveyard.” 
Steve says that Jeff was a little strange.",
1970,10,"Started collecting road-kill, bleaching the bones of chickens, keeping insects in bottles of formaldehyde, decapitating small rodents, learned to use acid to strip meat of the bones of the dead animals",
1972,12,"Job at a nursery selling shrubbery 
His boss said he was very enthusiastic.",
1973,13,Began to drink alcohol,
1974,14,"Jeff attended Revere High School. He played clarinet in the school band his freshman year. 
Dahmer reportedly had his first homosexual experience this year and confessed that he began to regularly fantasize about having sex with a corpse. 
He began drinking alcohol more often.",
1975,15,"Jeffrey road around with plastic garbage bags and collected the remains of animals. He would strip the flesh from the bodies. He mounted a dog’s head on a stake. 
Jeff had average grades in high school. Classmates considered him an alcoholic and a loner. He played intramural tennis his sophomore through senior year.",
1976,16,"Classmates say Dahmer developed a noticeable drinking problem. He began drinking scotch in class. 
Seen as desperate and lonely by his peers 
He worked on the school newspaper his junior year.",
1977,17,"He went to the senior prom with Bridget Geiger. 
School trip to Washington DC. Jeff made a phone call to the Vice Presidents office Traces outlines of bodies on schoolroom floor with chalk for laughs",
"1978 
6/18/78 
7/24/78 
August, 
1978",18,"Dahmer sneaked into National Honor Society yearbook picture, his prank was caught 
His parents filed for divorced and had a custody battle over son David (age 12). 
Father moves out 
Committed first murder (Steven Hicks, 18) 
Picked him up hitchhiking and invited him back for drinks; They got drunk and had sex. After trying to leave, Dahmer hit Hicks in the back of the head with a barbell and killed him. 
The body was dragged beneath the house, where it was dismembered with a kitchen knife. The parts were placed in plastic bags and buried behind the house. 
Divorce is granted, mother given custody of David 
Joyce and her younger son left Jeffrey at home, and moved away; Father moved back in with Jeffrey. Father appealed for custody again, and won custody of son David.",
,,,
Fall 1978,,"Jeffrey enrolls in Ohio State University. 
Questioned in connection with the theft of a watch Dropped out due to his drinking problem",
12/29/78,,Jeffrey enrolled in the army.,
