Date,Age,Life Event,Life Event
04/13/1950,0,"Born in Mobile, Alabama as James Clayton Vaughn, Jr.","Born in Mobile, Alabama as James Clayton Vaughn, Jr."
1957,7,Head Injury - Bicycle Accident,Head Injury - Bicycle Accident
1958,8,Father abandons family. Would return on occasion.,Father abandons family. Would return on occasion.
1965,15,Stole copy of Mein Kampf,Stole copy of Mein Kampf
1967,17,Dropped out of Murphy High School at the end of his junior year.,Dropped out of Murphy High School at the end of his junior year.
02/1968,18,Met Bobbie Louise Dorman (16) and marries her two weeks later. They divorce after only four months of marriage.,Met Bobbie Louise Dorman (16) and marries her two weeks later. They divorce after only four months of marriage.
1968,18,Joined Arlington American Nazi Party,Joined Arlington American Nazi Party
1969,19,Becomes obsessed with Charles Manson’s plan for a race war,Becomes obsessed with Charles Manson’s plan for a race war
1970,20,Begins insulting mixed-raced couples,Begins insulting mixed-raced couples
1972,22,"Conviction for carrying a concealed weapon in Fairfax, VA","Conviction for carrying a concealed weapon in Fairfax, VA"
1973,23,Joins National States Rights Party,Joins National States Rights Party
1973,23,"Begins selling racist newspaper, The Thunderbolt","Begins selling racist newspaper, The Thunderbolt"
1976,26,"Joined KKK in Atlanta, GA (quit after a few months due to Klan’s lack of violence)","Joined KKK in Atlanta, GA (quit after a few months due to Klan’s lack of violence)"
9/6/1976,26,"Tailed a Black man with a white date, cornered them, and sprayed them with mace (Montgomery County, MD)","Tailed a Black man with a white date, cornered them, and sprayed them with mace (Montgomery County, MD)"
1976,26,Sent threating letter to newly elected President Jimmy Carter,Sent threating letter to newly elected President Jimmy Carter
1976,26,Changed name to Joseph Paul Franklin,Changed name to Joseph Paul Franklin
1977,27,Joined Alabama National Guard,Joined Alabama National Guard
1977,27,"Commits first major bank robbery in Atlanta, GA","Commits first major bank robbery in Atlanta, GA"
07/25/1977,27,"Bombs home of Jewish leader, Morris Amitay","Bombs home of Jewish leader, Morris Amitay"
07/29/1977,27,"Bombs of synagogue in Chattanooga, TN","Bombs of synagogue in Chattanooga, TN"
08/07/1977,27,"Goes to Madison, WI, robs a bank, plans to shoot Archie Simonson but instead shoots an interracial couple, Alphonse Manning (23) and Toni Schwenn (23).","Goes to Madison, WI, robs a bank, plans to shoot Archie Simonson but instead shoots an interracial couple, Alphonse Manning (23) and Toni Schwenn (23)."
1977,27,"Robs a bank in Little Rock, AR","Robs a bank in Little Rock, AR"
1977,27,"Drives to Dallas, TX buys a Remington 30.06","Drives to Dallas, TX buys a Remington 30.06"
08/02/1977,27,"Robs a bank in Columbus, Ohio","Robs a bank in Columbus, Ohio"
10/08/1977,27,"Kills Gerald Gordon (42) and wounds William Ash (30) in St. Louis, MO (Remington 700)","Kills Gerald Gordon (42) and wounds William Ash (30) in St. Louis, MO (Remington 700)"
02/1978,28,"Kills Johnny Brookshire (22) and wounds (paralyzed) his white girlfriend, Joy Williams (23), in Atlanta, GA","Kills Johnny Brookshire (22) and wounds (paralyzed) his white girlfriend, Joy Williams (23), in Atlanta, GA"
03/06/1978,28,"Wounds/paralyzes Hustler magazine publisher Larry Flynt in Lawrenceville, GA (.44)","Wounds/paralyzes Hustler magazine publisher Larry Flynt in Lawrenceville, GA (.44)"
