Date,Age,Life Event,Life Event
04-15-1952,0,"Born in Booneville, Kentucky. Was the first of three children.","Born in Booneville, Kentucky. Was the first of three children."
October 1952,"6 
months","Head injury – father fell asleep holding him and dropped him.  He didn’t seem to be seriously injured, but his soft spot hadn’t closed.","Head injury – father fell asleep holding him and dropped him.  He didn’t seem to be seriously injured, but his soft spot hadn’t closed."
,,Parents had an abusive relationship with each other.,Parents had an abusive relationship with each other.
1957,5 years,"Head injury – fell off running board of a truck.  He didn’t lose consciousness, but had a cut 10-12 centimeters long on the back of the head.","Head injury – fell off running board of a truck.  He didn’t lose consciousness, but had a cut 10-12 centimeters long on the back of the head."
1956-1972,Ages 4-20,"Sexual abuse – Uncle Wayne (mother’s ½ brother) would abuse him when he went to grandmother’s house.  Uncle Wayne primarily used Donald as an aid to 
masturbation, but they also engaged in oral sex.","Sexual abuse – Uncle Wayne (mother’s ½ brother) would abuse him when he went to grandmother’s house.  Uncle Wayne primarily used Donald as an aid to 
masturbation, but they also engaged in oral sex."
1957-1972,Ages 5-20,Sexual abuse – an older neighbor (Dan Thomas) sexually abused him.  He noted later that he liked that Dan gave him money.,Sexual abuse – an older neighbor (Dan Thomas) sexually abused him.  He noted later that he liked that Dan gave him money.
April 1968,16,Received diploma from the American School (correspondence school in Chicago). Obtained his GED later this year.,Received diploma from the American School (correspondence school in Chicago). Obtained his GED later this year.
1968,16,First sexual encounter in which he was an equal partner.,First sexual encounter in which he was an equal partner.
1969,17,Started an occasional relationship with James Peluso which continued for about 15 years.,Started an occasional relationship with James Peluso which continued for about 15 years.
1970,18,"Left home and moved to London, Kentucky.","Left home and moved to London, Kentucky."
05-11-1970,18,Started work at Marymount Hospital.,Started work at Marymount Hospital.
1970,18,Was raped by Randy White (roommate).,Was raped by Randy White (roommate).
