Date,Age,Life Event,Life Event
02/04/1973,0,Born in Nebraska,Born in Nebraska
11/1994,21,"While driving to Dallas on Interstate 45, his wife fell asleep while driving and crashed into a creek where Dale’s two sons drowned. Dale later claimed he also died that day.","While driving to Dallas on Interstate 45, his wife fell asleep while driving and crashed into a creek where Dale’s two sons drowned. Dale later claimed he also died that day."
05/17/2005,32,"Shot and killed Tony Mendez (39) with a .22 caliber rifle, later found not guilty.  Suspected killing","Shot and killed Tony Mendez (39) with a .22 caliber rifle, later found not guilty.  Suspected killing"
05/24/2005,32,"Shot and killed Reginald Remillard (56) with a .22 caliber rifle, later found not guilty.  Suspected killing","Shot and killed Reginald Remillard (56) with a .22 caliber rifle, later found not guilty.  Suspected killing"
06/29/2005,32,Shot a clown window at a Burger King with a .22,Shot a clown window at a Burger King with a .22
06/29/2005,32,"Shot and killed David Estrada, 20, with a .22 in Tolleson","Shot and killed David Estrada, 20, with a .22 in Tolleson"
06/29/2005,32,Shot and killed a bay quarter horse with a .22,Shot and killed a bay quarter horse with a .22
07/20/2005,32,Shot and wounded a painted quarter horse with a .22,Shot and wounded a painted quarter horse with a .22
07/20/2005,32,Shot and killed an Akita dog with a .22,Shot and killed an Akita dog with a .22
07/25/2005,32,Shot and killed mini-horse with a .22,Shot and killed mini-horse with a .22
07/25/2005,32,"Shot and killed a quarter horse with unknown caliber, not charged","Shot and killed a quarter horse with unknown caliber, not charged"
07/25/2005,32,"Shot and wounded a burro with an unknown caliber, not charged","Shot and wounded a burro with an unknown caliber, not charged"
11/11/2005,32,Shot and killed an Anatolian shepherd dog with a .22,Shot and killed an Anatolian shepherd dog with a .22
11/11/2005,32,Shot and wounded a mixed breed dog with a .22,Shot and wounded a mixed breed dog with a .22
11/11/2005,32,"Attempted to shoot stray dog, but .22 misfired and Nathaniel Shoffner distracted Dale","Attempted to shoot stray dog, but .22 misfired and Nathaniel Shoffner distracted Dale"
11/11/2005,32,"Shot and killed Nathaniel Shoffner, 44, when he tried to protect a dog from being shot.  Taunted Dale until he was shot in the stomach with a .410 gauge shotgun.","Shot and killed Nathaniel Shoffner, 44, when he tried to protect a dog from being shot.  Taunted Dale until he was shot in the stomach with a .410 gauge shotgun."
12/29/2005,32,Shot car windshield at the ABC Bartending School with .22,Shot car windshield at the ABC Bartending School with .22
12/29/2005,32,"Shot car windshield at Chiropractor’s office with .22, not charged","Shot car windshield at Chiropractor’s office with .22, not charged"
12/29/2005,32,Shot and killed Australian shepherd dog with shotgun,Shot and killed Australian shepherd dog with shotgun
12/29/2005,32,"Shot and killed Jose Ortiz, 44, with a .222","Shot and killed Jose Ortiz, 44, with a .222"
12/29/2005,32,"Shot and killed Marco Carillo, 28, with a .22","Shot and killed Marco Carillo, 28, with a .22"
12/29/2005,32,"Shot Timmy Tordai in the neck with a .22, he survived the shot","Shot Timmy Tordai in the neck with a .22, he survived the shot"
,,,
