Heading,Value
Sex,Female
Race,White
Number of victims,5-48
Country where killing occurred,United States
States where killing occurred,Connecticut
Cities where killing occurred,Windsor
Type of killer,Gain Killer: Lethal Caretaker
Height,5’3”
Childhood Information,
Date of birth,October 1873
Location,"Litchfield, Connecticut"
Birth order,
Number of siblings,4
Raised by,Both parents
Parent’s marital status,Married
Did serial killer spend time in an orphanage?,No
Did serial killer spend time in a foster home?,No
Was serial killer ever raised by a relative?,No
Did serial killer live with a step-parent?,No
Problems in school?,No
Teased while in school?,No
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,No
Psychologically abused?,No
Sexually abused?,No
Cognitive Ability,
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,Worked as a caretaker of patients at her home
Employment status during series,Self-employed
Sexual preference,Heterosexual
Marital status,Remarried
Number of children,1
Living with,Spouse
Triad,
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist (prior to killing)?,No
Time in forensic hospital (prior to killing)?,No
Killer Criminal History (Prior to the series),
Committed previous crimes?,No
Spent time in jail?,No
Spent time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,5-48
Victim type,Strangers that lived in her home that she took care of
Killer age at start of series,35
Date of first kill in series,1908
Date of final kill in series,1916
Gender of victims,Male and female
Race of victims,White
Age of victims,Varied
Type of victim,Patients
Method of killing,Poison (arsenic)
Weapon,No
Was gun used?,No
Did killer have a partner?,No
Type of serial killer,Gain Killer- Lethal Caretaker
How close did killer live?,Lived at the home
Location of first contact,Archer Home
Location of killing,Archer Home
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Victim abducted or killed at contact?,No
Behavior During Crimes,
Rape?,No
Tortured victims?,No
Stalked victims?,No
Overkill?,No
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,No
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,Yes
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,1916
Date convicted,1919
Sentence,Life imprisonment
Killer executed?,No
Did killer plead NGRI?,"No, but she was sent to a mental facility after her conviction"
Was the NGRI plea successful?,No
Did serial killer confess?,No
Name and state of prison,"Wethersfield Prison, Connecticut"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"April 23, 1962 at age of 89"
Cause of death,Natural causes
