Heading,Value
Sex,Female
Race,White
Number of victims,600+ (unknown confirmed number)
Country where killing occurred,Hungary
States where killing occurred,Transylvania
Type of killer,Serial killer
Height,
Childhood Information,
Date of birth,"August 7, 1560"
Location,"Nyirbator, east of Hungary near Transylvania"
Birth order,1st
Number of siblings,Never disclosed suggested two sisters
XYY?,
Raised by,Both parents
Birth category,Only Child?
Parent’s marital status,Married
Family event,
Age of family event,
Problems in school?,
Teased while in school?,
Physically attractive?,To some yes
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,
Psychologically abused?,
Sexually abused?,
Father’s occupation,Nobleman
Age of first sexual experience,14
Age when first had intercourse,14
Mother’s occupation,
Father abused drugs/alcohol,
Mother abused drugs/alcohol,
Cognitive Ability,
Highest grade in school,
Highest degree,
Grades in school,
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,Countess
Sexual preference,Bi-sexual
Marital status,"Married, Widowed"
Number of children,6 (2 died at an early age)
Lives with his children,Yes
Living with,"Spouse, self, servants"
Triad,
Animal torture,Never documented
Fire setting,Yes
Bed wetting,Unknown
Killer Psychological Information,
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Serial Killing,
Number of victims,600+
Victim type,Young women
Killer age at start of series,25
Gender of victims,Female
Race of victims,White
Age of victims,"Young women, young in age"
Method of killing,Torture/bloodletting
Type of serial killer,Disorganized thrill
How close did killer live?,Walking distance
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Weapon,"Many weapons, cages, etc. used for torture"
Behavior During Crimes,
Rape?,Yes
Tortured victims?,Yes
Stalked victims?,No
Overkill?,Yes
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,Yes
Ate part of the body?,May have forced others to eat flesh
Drank victim’s blood?,Yes
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",Yes
"Left at scene, buried",Yes
"Moved, no attempt to hide",No
"Moved, buried",Yes
Cut-up and disposed of,No
"Moved, too home",No
Date killer arrested,"December 29, 1610"
Sentence,Locked insider her castle tower for life
Killer executed?,No
Did killer plead NGRI?,No
Was the NGRI plea successful?,No
Name and state of prison,Castle Cachtice
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,1614
