Heading,Value
Sex,Male
Race,White
Number of victims,12
Country where killing occurred,United States
States where killing occurred,California and Washington State
Childhood Information,
Date of birth,May 22 1951
Location,"Rochester, New York"
Birth order,Only Child
Number of siblings,One
XYY?,No
Raised by,Adoptive parents – the Bianchis; Biological mother was a prostitute who gave him up for adoption at birth
Birth category,Only child
Parent’s marital status,Married (adoptive parents)
Family event,"His adoptive father died of a heart attack. His adoptive mother, who he was very attached to, then had to start working to support the family."
Age of family event,13
Problems in school?,By age eleven he was having furious tantrums during class.
Teased while in school?,Unknown
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,Age of 11- fell off of a jungle gym and hit his head.
Physically abused?,No
Psychologically abused?,"There is a possibility that he was mentally abused, but there is no documentation of any certain event."
Sexually abused?,No
Father’s occupation,Adoptive father was employed by the American Brake shoe factory.
Age of first sexual experience,Unknown
Age when first had intercourse,Unknown
Mother’s occupation,"Was employed, but her exact occupation is unknown"
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,"Biological mother abused alcohol. No alcohol abuse reported for adoptive mother"
Cognitive Ability,
Highest grade in school,Completed high school
Highest degree,High School Diploma
Grades in school,Teachers reported that he was working below his capacity
IQ,116.
Work History,
Served in the military?,No
Applied for job as a cop?,"Yes, for a while he started taking classes to become a police officer but dropped out before finishing. He then applied for a job with a  Sheriff’s Department but was turned down."
Worked in law enforcement?,"Yes, held a position as a security guard"
Fired from jobs?,"Yes, asked to leave after being found stealing, and fired from another job after marijuana was found in his desk."
Types of jobs worked,"He went through several jobs, one job he held was at a title company. He also prepared a fake diploma for himself and began to practice as a psychologist."
Employment status during series,Employed
Sexual preference,Heterosexual
Marital status,He had a common law wife and re-married while in prison
Number of children,He had one child
Lives with his children,Yes
Living with,Common-law wife
Triad,
Animal torture,No
Fire setting,No
Bed wetting,"No, but he had bladder control problems."
Abused drugs?,"No, but was fired from a job when pot was found in his desk."
Abused alcohol?,No
Been to a psychologist?,"Yes, mother sent him to one as a young boy."
Time in forensic hospital?,Yes
Diagnosis,Petit mal syndrome
Killer Criminal History,
Committed previous crimes?,"He was suspected in the Alphabet murders in New York, but his involvement was never confirmed"
Spend time in jail?,No
Spend time in prison?,No
Killed prior to series? Age?,"Not positive, but yes, if he did commit the Alphabet murders"
Serial Killing,
Number of victims,"12 (the last two murders were carried out solely by Kenneth Bianchi, Angelo Buono was not involved with these)"
Victim type,"Vulnerable young women (prostitutes, low-income, students, low scale models and actresses);  Also murdered two very young girls – ages 12 and 14"
Killer age at start of series,27
Gender of victims,Female
Race of victims,White and African American
Age of victims,12 to 28.
Method of killing,"Strangulation, rape, various types of torture"
Type of serial killer,Organized lust
How close did killer live?,Drove to crime
Killing occurred in home of victim?,No
Killing occurred in home of killer?,"Possibly, evidence was found in Bianchi’s apartment"
Weapon,"No weapons, as most of the murders were ruled as death by strangulation. However, various items were used to tie and bound the victims."
Behavior During Crimes,
Rape?,Yes
Tortured Victim?,"Yes, as the murders progressed the detectives investigating saw the Hillside Stranglers experimenting more and more with methods of torture."
Stalked victims?,No
Overkill?,Yes
Quick & efficient?,"No, torture was evident"
Used blindfold?,No
Bound the victims?,"Yes, ligature marks on the victims hands and feet were the 'calling card' of the Hillside Stranglers."
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,Yes
Took totem – body part,No
Took totem – personal item,Yes
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide","Yes – once murdered, the bodies were moved to remote locations near hillsides"
"Moved, buried",No
Cut-up and disposed of,No
"Moved, too home",No
Date killer arrested,"January 10, 1979."
Date convicted,"October 21, 1979. Sentenced to life in prison without the possibility of parole."
Killer executed?,No
Name and state of prison,Washington State Penitentiary.
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,N/A – Still living
References, "Multimedia: 
	 The Hillside Stranglers (videotape)  (1998).  Arts and Entertainment Television. 
 Mind of a killer.  (1995).  Chatsworth, CA:  Kozel Multimedia. 
Articles: 
Candida, F.  (1981, July 7).  Hillside Strangler Case:  The 2 faces of Bianchi.  Los 	 Angeles Times. 
Farr, B.  (1981, July 26).  Prosecution memos list holes in strangler case.  The 	 Los Angeles Times. 
They’ll be back.  (1997).  Newsweek,  129 (11),  12-13. 
Wilson, W.  (1981, May 13).  Stranglers’ power of psychological manipulation. 	Sacramento Bee. 
Wilson, W.  (1981, May 12).  The Bianchi case:  finding a labyrinth of personalities. 	Sacramento Bee. 
Wilson, W.  (1981, May 10).  Tragedy’s evidence ignored too long.  Sacramento 	 Bee."
