Heading,Value
Sex,Male
Race,White
Number of victims,36 confirmed
Country where killing occurred,United States
States where killing occurred,"Washington, Oregon, Utah, Colorado, Idaho, Florida"
Type of killer,Organized lust
Height,6’
Childhood Information,
Date of birth,11-24-1946
Location,"Burlington, Vermont"
Birth order,1st
Number of siblings,Four step siblings
XYY?,No
Raised by,"Birth Mother, grandparents and eventually step father"
Birth category,Oldest
Parent’s marital status,"Not married at time of birth, Married when Ted was four"
Family event,Mother said she was his sister. Moved from grandparent’s house.  Mother remarried.
Age of family event,Four
Problems in school?,None
Teased while in school?,"In junior high, not in high"
Physically attractive?,Yes
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,No
Psychologically abused?,No
Sexually abused?,No
Father’s occupation,Unknown
Age of first sexual experience,"Claimed to be raped by a woman when he was just a young man.  Most likely though, his first experiences were with his first love, Stephanie Brooks."
Age when first had intercourse,Intercourse was had in the act above.
Mother’s occupation,Housewife
Father abused drugs/alcohol,
Mother abused drugs/alcohol,Unknown
Cognitive Ability,
Highest grade in school,College
Highest degree,Bachelors of Psychology Degree     Univ. of Washington
Grades in school,Good then turned great upon his return from Vermont
IQ,136
Work History,
Served in the military?,No
Branch,
Type of discharge,
Fired from jobs?,Unknown
Types of jobs worked,"Local campaigns for Republican Party, also volunteered at a rape crisis hotline. During school he worked at a yacht club. Studied sexual assault for the city of Seattle."
Employment status during series,Unknown
Sexual preference,Heterosexual
Marital status,Married
Number of children,One
Lives with his children,No
Living with,Deceased
Animal torture,Yes
Fire setting,No
Bed wetting,No
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist?,No
Time in forensic hospital?,No
Committed previous crimes?,Yes
Spend time in jail?,Yes
Spend time in prison?,Yes
Killed prior to series?  Age?,No
Number of victims,36 Known
Victim type,Young brown haired women
Killer age at start of series,27
Gender of victims,Female
Race of victims,White
Age of victims,12-later 20’s
Method of killing,Beating
Type of serial killer,Organized lust
How close did killer live?,Walking distance and drove to crime
Killing occurred in home of victim?,Sometimes
Killing occurred in home of killer?,No
Weapon,Killer brought with him
Rape?,Yes
Tortured victims?,No
Stalked victims?,Yes
Overkill?,No
Quick & efficient?,No
Used blindfold?,Sometimes
Bound the victims?,Sometimes
Sex with the body?,Yes
Mutilated body?,Yes
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,Yes
Robbed victim or location,No
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",Yes
"Left at scene, buried",Yes
"Moved, no attempt to hide",Yes
"Moved, buried",Yes
Cut-up and disposed of,Yes
"Moved, to home",No
Date killer arrested,"August 16, 1975"
Date convicted,"July 23, 1979"
Sentence,Death
Killer executed?,Yes
Did killer plead NGRI?,"Yes, for Leach trial"
Was the NGRI plea successful?,No
Name and state of prison,"Raiford Prison, Florida"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,1/24/89
"References 
Bell, Rachel S., and Bardsley, Marilyn.  Crime Library: Ted Bundy.  http://www.crimelibrary.com/bundy/attack.htm. 	2005 May 18. 
Larson, Richard W. (1980).  The Deliberate Stranger.  Englewood Cliffs, NJ: Prentice Hall. 
Predator.  The Story of Ted Bundy.http://tedbundy.150m.com/part6.html. 2005 May 18. 
Michaud, Stephen, Aynesworth, Hugh, & Hazelwood, Roy.  (1989).  The Only Living Witness: The  Story of Serial 	Killer Ted Bundy. 
Rule, Ann (1996).  The Stranger Beside Me.  NY: New American Library. 
Summers, Chris.  Crime Case Closed: Infamous Criminals: Ted Bundy. 
http://www.bbc.co.uk/crime/caseclosed/tedbundy1.shtml.  2005 May 19.",
