Heading,Value
Sex,Male
Race,Russian/ White/Ukrainian
Number of victims,52+
Country where killing occurred,Russia
States where killing occurred,
Cities where killing occurred,Rostov and other places
Type of killer,Missionary/Unorganized
Height,Between  5’10” and 6-feet tall
Childhood Information,
Date of birth,"October 16, 1936"
Location,"Yablochnoye, Ukraine"
Birth order,2nd child of 3
Number of siblings,2
XYY?,"No but Chikatilo’s blood was Type A, but his sperm was type AB, this was a one in a million chance."
Raised by,Mother; his father went to war
Birth category,Middle child
Parent’s marital status,Married
Problems in school?,No
Teased while in school?,"Yes, was bullied and called names"
Physically attractive?,No
Physical defect?,Yes he was nearsighted but was too afraid/embarrassed to tell anyone about it
Speech defect?,No
Head injury?,Lesions on brain and water on the brain at time of birth
Physically abused?,Yes
Psychologically abused?,Chikatilo was always mocked for his impotence and that people always teased him all through his life
Sexually abused?,No
Father’s occupation,Peasant and laborer
Age of first sexual experience,"18, jumped on a girl who was 13, wrestled her to the ground and ejaculated as the girl struggled in his grasp."
Age when first had intercourse,19; he tried twice but his attempts we unsuccessful
Mother’s occupation,Homemaker and Laborer
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,College
Highest degree,Bachelor’s degree in Literature and Philology
Grades in school,Good
Work History,
Served in the military?,Yes for 3 years
Branch,Army
Type of discharge,Completed his term
Saw combat duty,No
Killed enemy during service?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,"Yes, 3-5 teaching jobs (1 asked to resign or be fired)"
Types of jobs worked,"Teacher, Traveling sales, Telephone engineer"
Employment status during series,Traveling  Salesman
Sexual preference,Hetero but some sources say homo
Marital status,Married
Number of children,2; daughter Lyudmilla and son Yuri
Lives with his children,Yes
Living with,Spouse and children
Triad,
Animal torture,No
Fire setting,No
Bed wetting,"Yes, mother would beat and humiliate him for it"
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist?,Yes his wife made him go get help with his un-
productive/impotent sex life,
Time in forensic hospital?,Yes when he was going through his trial Yes when he was going through his trial
Diagnosis,Sane even though the court thought he was insane Sane even though the court thought he was insane
Killer Criminal History,
Committed previous crimes?,Yes he committed other crimes than the killings Yes he committed other crimes than the killings
Spend time in jail?,Yes but not for the 52+ killings it was for other crimes Yes but not for the 52+ killings it was for other crimes
Spend time in prison?,No No
Killed prior to series?  Age?,No No
Serial Killing,
Number of victims,52 +
Victim type,"Young women, and children"
Killer age at start of series,42
Date of first kill in series,"December 22, 1978"
Date of final kill in series,"November 6, 1990"
Gender of victims,Male and Female
Race of victims,White and Russian
Age of victims,7- adult
Type of victim,"Young women, prostitutes, alcoholics, mentally disturbed women and children(boys and girls) and teenagers"
Method of killing,Stabbing and Strangling
Weapon,Yes brought with him; knives (had 23)
Was gun used?,No
Type,
Did killer have a partner?,No
Name of partner,
Sex of partner,
Type of serial killer,Disorganized Serial Killer and missionary because he began to see himself not as a killer but a cleanser of society (The Red Ripper pg 75)
How close did killer live?,"A lot of his killing were on trips and at various train stations all over Russia, very few were committed close to his home"
Location of first contact,"Streets, Buses and Train stations"
Location of killing,All in secluded areas off of streets and side roads
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes; bought a second house for sex and then killed the girls and threw the bodies in the woods and rivers
Victim abducted or killed at contact?,Yes
Behavior During Crimes,
Rape?,Yes Yes
Tortured victims?,Yes Yes
Stalked victims?,No No
Overkill?,Yes Yes
Quick & efficient?,Sometimes but sometimes he would tortured the victim for a while and kept them alive. Sometimes but sometimes he would tortured the victim for a while and kept them alive.
Used blindfold?,"Yes, so if the bodies were found the police could not see who the killer was; because some say that the imprint of the killer stays on the eyes when you die. Yes, so if the bodies were found the police could not see who the killer was; because some say that the imprint of the killer stays on the eyes when you die."
Bound the victims?,Yes Yes
After Death Behavior,
Sex with the body?,Yes Yes
Mutilated body?,Yes Yes
Ate part of the body?,"Yes the tips of tongues, nipples, genitals were cut off. 
The cutting off and even chewing the genitals became a ritual of Chikatilo. Unlike a cannibal, he does not actually appear to have Yes the tips of tongues, nipples, genitals were cut off. 
The cutting off and even chewing the genitals became a ritual of Chikatilo. Unlike a cannibal, he does not actually appear to have"
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,"No, but he would take their clothes and or their purses and throw them deeper into the woods or somewhere around the victim."
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No he would always try to hide or cover up the body
"Left at scene, hidden",Yes
"Left at scene, buried","Yes, he only buried a couple of them"
"Moved, no attempt to hide",Yes he threw some of them in the river
"Moved, buried",Yes
Cut-op and disposed of,Cut off body parts and would then stomp on them
"Moved, too home",No
Date killer arrested,"November 20, 1990"
Date convicted,"October 15, 1992"
Sentence,Death
Killer executed?,Yes gunshot to the back of the head
Did killer plead NGRI?,No but everyone thought he was crazy
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"February 14, 1994"
"References 
Life Timeline: http://www.angelfire.com/f15/andreichikatilo/chikatilo_timeline.html Victim List: http://www.angelfire.com/f15/andreichikatiol/victims.html 
Andrei Chikatilo- Wikipedia: http://en.wikipedia.org/wiki/Andrei_Chikatiol
Books: 
	 Conradi, Peter (1992) The Red Ripper. NY: Dell 
	 Krivich, M., & Ol’gin, Ol’gert. (1993). Comrade Chikatilo: The psychopathology of Russia’s 	 notorious serial killer. NY: Barricade Books. 
 Lourie, Richard (1994). Hunting the devil. NY: Harper-Collins",
