Heading,Value
Sex,Male
Race,White
Number of victims,8
Country where killing occurred,England
States where killing occurred,
Cities where killing occurred,London
Type of killer,
Height,
Childhood Information,
Date of birth,"April 08, 1898"
Location,Halifax of Yorkshire
Birth order,3rd of 4
Number of siblings,3
XYY?,no
Raised by,Both parents
Birth category,middle
Parent’s marital status,Married
Family event,Ruled by women of his family and fascinated with grandfathers death
Age of family event,
Problems in school?,Picked on and called “Reggie-No-Dick” and “Can’t do it Christie”
Teased while in school?,yes
Physically attractive?,no
Physical defect?,Blind for several months
Speech defect?,Yes  talked with whisper most of life
Head injury?,
Physically abused?,Severally beaten by father
Psychologically abused?,Bossed around by sisters
Sexually abused?,
Father’s occupation,
Age of first sexual experience,15 which he failed at
Age when first had intercourse,
Mother’s occupation,
Father abused drugs/alcohol,
Mother abused drugs/alcohol,
Cognitive Ability,
Highest grade in school,Secondary school
Highest degree,
Grades in school,
IQ,128
Source of IQ information,(2006) Nottingham Evening Post
Work History,
Served in the military?,yes
Branch,Army
Type of discharge,Honorable
Saw combat duty,"Yes, in World War I"
Applied for job as a cop?,Yes
Worked in law enforcement?,Become part of War Reserve Police during WWII
Types of jobs worked,"Cinema operator, clerk, postman, reserve police"
Sexual preference,Heterosexual
Marital status,Married
Living with,"Prostitute, wife"
Triad,
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Committed previous crimes?,"Theft, larceny, obtaining money by false pretences"
Spend time in jail?,Yes
Spend time in prison?,Yes
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,8
Victim type,Prostitutes
Killer age at start of series,44
Date of first kill in series,"August 24, 1943"
Date of final kill in series,March 1953
Gender of victims,Women
Race of victims,White
Age of victims,20-54
Type of victim,prostitutes
Method of killing,"Strangulation, make victims breath toxic fumes"
Weapon,Used things to choke them
Was gun used?,No
Did killer have a partner?,No
Type of serial killer,Organized thrill
How close did killer live?,At his place
Location of first contact,killer home
Location of killing,killer’s home
Killing occurred in home of victim?,Yes
Killing occurred in home of killer?,Yes
Behavior During Crimes                               Strangled them,
Rape?,yes
Tortured victims?,Yes
Stalked victims?,No
Overkill?,no
Quick & efficient?,Strangled
Used blindfold?,No
Bound the victims?,No
After Death Behavior                                sexually assaulted after death,
Sex with the body?,Yes
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",no
"Left at scene, hidden",yes
"Left at scene, buried",Yes
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,no
"Moved, too home",yes
Date killer arrested,"March 31st , 1953"
Date convicted,"June 26, 1953"
Sentence,Death
Killer executed?,Yes
Did killer plead NGRI?,Yes
Was the NGRI plea successful?,No
Name and state of prison,Pentonville
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,July 15th 1953
