Heading,Value
Sex,Male
Race,White
Number of victims,27
Country where killing occurred,"United States"
States where killing occurred,Texas
Type of killer,"Organized lust"
Height,Around "6’0''"
Childhood Information,
Date of birth,"December 24, 1939"
Location,"Fort Wayne, Indiana"
Birth order,"1st of 2"
Number of siblings,1
Raised by,"Mom, Step-Father, Father"
Birth category,Oldest
Parent’s marital status,"Father- remarried; Mother- divorced and remarried several times"
Family event,"Mother and Father divorced twice (1945 & 1953)"
Age of family event,"6 and 14"
Problems in school?,No
Teased while in school?,No
Physically attractive?,"Average looking"
Physical defect?,"Heart murmur"
Speech defect?,No
Physically abused?,No
Psychologically abused?,"Father resorted to harsh punishments"
Sexually abused?,No
Father’s occupation,Electrician
Mother’s occupation,"Candy entrepreneur"
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,12
Highest degree,Diploma
Grades in school,Average
Work History,
Served in the military?,Yes
Branch,Army
Type of discharge,"Hardship discharge"
Saw combat duty,No
Killed enemy during service?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,"Candy factory, Electrician in training"
Employment status during series,"Employed as an electrician in training"
Sexual preference,Homosexual
Marital status,Single
Number of children,0
Living with,Self
Triad,
Animal torture,No
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,"Yes, marijuana"
Abused alcohol?,Yes
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Committed previous crimes?,No
Spend time in jail?,No
Spend time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,27
Victim type,"Young neighborhood boys"
Killer age at start of series,30
Gender of victims,Male
Race of victims,White
Age of victims,"9-21 years old"
Method of killing,Torture
Type of serial killer,"Organized lust"
How close did killer live?,"In the same neighborhood"
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Weapon,"Had weapon at his home, shot and strangled victims"
Behavior During Crimes,
Rape?,Yes
Tortured victims?,Yes
Stalked victims?,No
Overkill?,Yes
Quick & efficient?,No
Used blindfold?,Yes
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,Yes
Ate part of the body?,"Chewed on penis of a victim"
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",Yes
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,"Killed before he was discovered"
Date of death,"August 8, 1973"
References, "http://www.crimelibrary.com/serial_killers/predators/corll/index_1.html http://www.en.wikipedia.org/wiki/dean_corll"
