Heading,Value
Sex,Male
Race,White
Number of victims,16
Country where killing occurred,United States
States where killing occurred,Wisconsin
Childhood Information,
Date of birth,5/21/60
Location,Milwaukee
Birth order,1st of 2
Number of siblings,1
XYY?,No
Raised by,Both parents
Birth category,Oldest
Parent’s marital status,Divorced when almost 18
Family event,Divorce
Age of family event,Almost 18
Problems in school?,Failed out of college because of drinking
Teased while in school?,Made fun of on occasion for being different/wild
Physically attractive?,Above average
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,No
Psychologically abused?,"Parents divorce, mother may have had a mental illness, neglect"
Sexually abused?,"Possibly by a neighbor, but denied by Dahmer"
Father’s occupation,Chemist
Age of first sexual experience,14
Mother abused drugs/alcohol,"NA, but high strung from her father’s alcoholism"
Cognitive Ability,
Highest grade in school,13 (One semester in college)
Highest degree,High school diploma
IQ,75
Work History,
Served in the military?,Yes
Branch,Army
Type of discharge,Dishonorable and early for habitual drunkenness
Saw combat duty,"No, but was a combat medic in Germany"
Killed enemy during service?,No
Applied for job as a cop?,"Yes, military police"
Worked in law enforcement?,No
Fired from jobs?,Yes
Types of jobs worked,"Sub shop, chocolate factory, plasma center, nursery"
Employment status during series,Employed at Ambrosia Chocolate
Sexual preference,Homosexual
Marital status,Single
Number of children,0
Living with,"Self, grandmother"
Triad,
Animal torture,"Unlikely, preferred dead animals, however, some sources say yes"
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,Yes
Been to a psychologist?,No
Time in forensic hospital?,No
Killer Criminal History,
Committed previous crimes?,"Yes- drunkenness, disorderly conduct, indecent exposure, child molesting"
Spend time in jail?,Yes
Spend time in prison?,No
Killed prior to series?  Age?,"Yes, age 18"
Serial Killing,
Number of victims,16
Victim type,Homosexual male teenagers and young men
Killer age at start of series,27
Gender of victims,Male
Race of victims,"Various, predominantly African- American"
Age of victims,14-31
Method of killing,Drugging and strangulation
Type of serial killer,Organized lust
How close did killer live?,"Typically occurred at his apartment or his grandmother’s house, where he was living"
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Weapon,"Typically, no weapon was used to kill the victim."
Behavior During Crimes,
Rape?,No
Tortured victims?,Not usually
Overkill?,Yes
Quick & efficient?,Yes
Bound the victims?,Sometimes
After Death Behavior,
Sex with the body?,Yes
Mutilated body?,Yes
Ate part of the body?,Yes
Drank victim’s blood?,Tried it once
Posed the body?,"Yes, took pictures before and after death"
Took totem – body part,Yes
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",No
"Left at scene, hidden",Yes
"Left at scene, buried","1st victim, but later dug him up"
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,Yes
"Moved, too home",Killed and kept at home
Date killer arrested,"July, 23, 1991"
Date convicted,"February 15, 1992"
Sentence,Life
Killer executed?,No
Name and state of prison,"Columbia Correctional Institution, Wisconsin"
Killer committed suicide?,No
Killer killed in prison?,Yes
Date of death,"November 28, 1994"
References,
"Books 
Baumann, Edward (1991). Step into my parlor: The chilling story of serial killer Jeffrey Dahmer. Chicago: 	Bonus Books (ISBN 0-929-38764-3) 
Dahmer, Lionel.  (1994). A father’s story.  NY: Avon (ISBN 0-380-72503-7) 
Davis, Don (1995).  The Milwaukee Murders: Nightmare in Apartment 213.  St. Martins (ISBN 0-312-	92840-8) 
Dvorchak, Robert, and Howlewa, Lisa (1991)  Milwaukee massacre: Jeffrey Dahmer and the Milwaukee 	murders. Dell.  (ISBN 0-440-21286-3) 
Jaeger, Richard W., & Balousek, M. William (1991).  Massacre in Milwaukee: The macabre case of Jeffrey 	Dahmer. Oregon, WI: Waubesa Press (ISBN 1-878-56909-0) 
Masters, Brian (1993). The shrine of Jeffrey Dahmer.  Dunton Green, Sevenoaks, Kent, UK: Hodder an 	Stoughton (ISBN 0-340-59194-3) 
Murphy, Dennis, & Kennedy, Patrick (1992). Incident, Homicide: The Story of the Milwaukee Flesh-Eater. 	Boston, MA: Quimby World Headquarters Publications. 
Norris, Joel (1992).  Jeffrey Dahmer: A bizarre journey into the mind of America’s most tormented serial 	killer.  NY: Pinnacle Books (ISBN 1-558-17661-6) 
Schwartz, Anne E.  (1992). The man who could not kill enough: The secret murders of Milwaukee’s Jeffrey 	Dahmer. Carol Publishing.  (ISBN 1-559-72117-0) 
Tithecott, Richard, & Kincaid, James (1999).  Of men and monsters: Jeffrey Dahmer and the construction 	of the serial killer. Madison: University of Wisconsin Press (ISBN 0-299-15684-2).",
"Other Sources 
	 Bacher, J.R. (No Date). Jeffrey Dahmer, [Online]. Available: 		http://www.webzone.net/njulia.jd.htm [2000, November 19]. 
 Boston, J. (No Date). Jeff Dahmer – The Crime Library, [Online]. Available: 	http://www.crimelibrary.com/dahmer [2000 November 19]. 
 Davis, J.A. (1998). “Profile of a Sexual Predator: A Pyschological Autopsy of an  	American Serial Killer”. The Forensic Examiner, 28-33. 
 Derf, (No Date). Young Jeffrey Dahmer. {Online} Available:  	http://www.derfcity.com/crap/jd1/html [2000 , November 19]. 
 Martingale, M.(1993). Cannibal killers: The history of impossible murderers. New   	York, NY: Carrole & Graf Publishers, Inc. 
Online Sources 
http://crass.com/killer/dahmer.html 
http://members.tripod.com/~lucy4ever/dhamer.htm 
http://www~cgi.cnn.com/US/9604/24newsbreifs/index.html http://www.computer-connection.net/~irving1/mw/mw35.html http://www.sincity.com/penn-n-teller/articles/dahmer.html",
