Heading,Value
Sex,Male
Race,White
Number of victims,"12 suspected, 1 other possible, 1 confessed then recanted"
Country where killing occurred,"United States"
States where killing occurred,Ohio
Cities where killing occurred,Cleveland
Type of killer,"Disorganized thrill"
Height,"5’8''"
Childhood Information,
Date of birth,"05/04/1887"
Location,"Bohemia, now modern day Slovakia"
Birth order,Unknown
Number of siblings,9
XYY?,No
Raised by,"Mother and father"
Birth category,Middle
Parent’s marital status,Married
Did serial killer spend time in an orphanage?,No
Did serial killer spend time in a foster home?,No
Was serial killer ever raised by a relative?,No
Did serial killer ever live with adopted family?,No
Did serial killer live with a step-parent?,No
Family event,"Brother Charles married and moved out."
Age of family event,33
Problems in school?,Unknown
Teased while in school?,Unknown
Physically attractive?,"To some"
Physical defect?,"Wandering Eye"
Speech defect?,
Head injury?,Unknown
Physically abused?,Unknown
Psychologically abused?,Unknown
Sexually abused?,Unknown
Father’s occupation,Unknown
Age when first had intercourse,Unknown
Mother’s occupation,Unknown
Father abused drugs/alcohol,Unknown
Mother abused drugs/alcohol,Unknown
Cognitive Ability,
Highest grade in school,Unknown
Highest degree,Unknown
Grades in school,Unknown
IQ,Unknown
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,Unknown
Types of jobs worked,Bricklayer
Employment status during series,"Employed as a bricklayer"
Sexual preference,Heterosexual
Marital status,Single
Living with,"Roommate, Florence Polillo"
Triad,
Animal torture,No
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,Yes
Been to a psychologist (prior to killing)?,Unknown
Time in forensic hospital (prior to killing)?,Unknown
Killer Criminal History (Prior to the series),
Committed previous crimes?,No
Spent time in jail?,No
Spent time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims (suspected of),"12, possibly 13"
Number of victims (confessed to),"1, then recanted"
Number of victims (convicted of),"0, died prior to trial"
Victim type,"Mostly white females and males, one Black victim"
Killer age at start of series,"47-48"
Killer age at end of series,50
Date of first kill in series,"September 23, 1935, possibly September 5, 1934"
Date of final kill in series,"April 8, 1938"
Gender of victims,"7 males, 5 females"
Race of victims,"11 white, 1 Black"
Age of victims,"28, 44, rest are unknown"
Method of killing,Decapitation
Weapon,"Unknown, possible knife"
Was gun used?,No
Did killer have a partner?,No
Type of serial killer,Disorganized
How close did killer live?,"Within walking distance of some"
Location of first contact,Unknown
Location of killing,Unknown
Killing occurred in home of victim?,Unknown
Killing occurred in home of killer?,Unknown
Victim abducted or killed at contact?,Unknown
Behavior During Crimes,
Rape?,No
Tortured victims?,No
Stalked victims?,No
Overkill?,"Yes, decapitation and dismemberment"
Quick & efficient?,Unknown
Used blindfold?,Unknown
Bound the victims?,Unknown
After Death Behavior,
Sex with the body?,No
Mutilated body?,"Yes, decapitated and dismembered"
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",Yes
"Left at scene, buried",Yes
"Moved, no attempt to hide",Yes
"Moved, hidden",Yes
"Moved, buried",Yes
Cut-up and disposed of,Yes
Burned body,No
"Dumped body in lake, river, etc.",Yes
"Moved, took home",No
Date killer arrested,07/05/1939
Date convicted,"Never convicted"
Did killer plead NGRI?,No
Did serial killer confess?,"Confessed to one and then recanted"
Name and state of prison,"Cuyahoga County Jail, Ohio"
Killer committed suicide?,"Probably not. Initial report was suicide but current thinking is that he was murdered by the police."
Killer killed in prison?,"Suspected murder by police"
Date of death,"08/24/1939"
Cause of death,"Suspected hanging, later thought to be murdered by police."
Notes,"There was very little information to find since he was an immigrant. Cleveland had no records of him before the 1920’s.The Lady of the Lake was suspected to be the first victim but was never proven." // References, "http://www.trutv.com/library/crime/serial_killers/unsolved/kingsbury/index_1.html http://www.clevescene.com/scene-and-heard/archives/2010/08/23/frank-dolezals-name-cleared-in-torso-murders / http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=28202811&fb_source=message http://cleveland.about.com/od/clevelandhistory/p/torsomurders.htm / http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=35114706 // Books: Badal, J. J. (2010). Though Murder Has No Tongue The Lost Victim of Cleveland's Mad / Butcher. Kent, Ohio: The Kent State University Press. // We looked at the following sources and did not find any information: LexisNexis, PsycNet, EBSCO. // 11/14/2011"
