Heading,Value
Sex,Male
Race,White
Number of victims,"Convicted of 1, suspected of 6-9, confessed to 3"
Country where killing occurred,"United States"
States where killing occurred,"New York"
Cities where killing occurred,"New York City"
Type of killer,"Serial Killer"
Height,"5’5''"
Childhood Information,
Date of birth,"May 19, 1870"
Location,"Washington, DC"
Birth order,Youngest
Number of siblings,3
XYY?,
Raised by,"Mother, orphanage"
Birth category,Youngest
Parent’s marital status,Married
Family event,"Death of parent, father"
Age of family event,"1875, put in St. John’s orphanage in Washington till age 9"
Problems in school?,
Teased while in school?,
Physically attractive?,"Small, gentle looking man who appeared kind and trusting"
Physical defect?,No
Physically abused?,"Describe beat repeatedly in orphanage"
Psychologically abused?,Teased
Father’s occupation,"Boat captain, fertilizer manufacturer"
Age of first sexual experience,"While in orphanage"
Age when first had intercourse,12
Mother’s occupation,"Government job"
Cognitive Ability,
Highest grade in school,"Very little formal schooling"
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,No
Types of jobs worked,"Handyman, painter- His defense lawyer later argued that all his years as a painter caused Fish to develop lead colic"
Employment status during series,"Handyman, painter"
Sexual preference,"Bi-sexual"
Marital status,"Married, divorced, remarried"
Number of children,6
Lives with his children,"When they were young, then lived w/ son till kicked out"
Living with,Himself
Triad,
Killer Psychological Information,
Been to a psychologist?,yes
Time in forensic hospital?,yes
Diagnosis,Disturbed but sane
Killer Criminal History,
Committed previous crimes?,"Yes, embezzlement, grand larceny, violating parole"
Spend time in jail?,yes
Spend time in prison?,yes
Serial Killing,
Number of victims,"5-15"
Victim type,Children
Killer age at start of series,40
Date of first kill in series,"1910 a man in Wilmington, Delaware"
Date of final kill in series,1934
Gender of victims,"Four males, five females"
Race of victims,"White, African American"
Age of victims,"4, 4, 5, 6, 8, 10, 12, 16, 17"
Type of victim,Children
Method of killing,"Choked, cut up, beat"
Weapon,"Meat cleaver, saw, and butcher knife"
Was gun used?,No
Did killer have a partner?,No
Type of serial killer,"Sadomasochist, Sexual Predator, Cannibal, lust killer"
How close did killer live?,"Different each case"
Location of first contact,"At there home, outside playing"
Location of killing,"New York, Washington DC, Delaware"
Killing occurred in home of victim?,No
Killing occurred in home of killer?,"No, would be killed in a abandoned building"
Victim abducted or killed at contact?,Abducted
Behavior During Crimes,
Rape?,Yes
Tortured victims?,"Yes, beat to tenderize meat"
Stalked victims?,Yes
Overkill?,Yes
Quick & efficient?,No
Used blindfold?,No
Bound the victims?,"The boys he tied up in the closet"
After Death Behavior, "Cook and eat parts of the body"
Sex with the body?,No
Mutilated body?,Yes
Ate part of the body?,Yes
Drank victim’s blood?,Yes
Posed the body?,No
Took totem – body part,"Yes, to eat"
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide","Yes, would take pieces of their body home to eat"
"Left at scene, hidden",Yes
"Left at scene, buried",Yes
"Moved, no attempt to hide","Hid the bodies until he was done with them"
"Moved, buried",No
Cut-up and disposed of,No
"Moved, too home",No
Sentencing,"Death by electric chair"
Date killer arrested,"December 14, 1934"
Date convicted,"March 21, 1935"
Sentence,Death
Killer executed?,"Yes electric chair"
Did killer plead NGRI?,yes
Was the NGRI plea successful?,no
Name and state of prison,"Sing Sing Correctional Facility"
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"January 16, 1936"
References, "http://richard.arthur.norton.googlepages.com/albertfishbibliography http://en.wikipedia.org/wiki/Albert_Fish; http://www.prairieghosts.com/fish.html; http://www.carpenoctem.tv/killers/fish.html; http://www.lawbuzz.com/movies/hannibal/the_hannibal_ch1.htm http://members.tripod.com/ahrens/serial/fish.html; http://www.serialkillerdatabase.net/albertfish.html"
