Heading,Value
Sex,Female/ Male Female/ Male
Race,White
Number of victims,"2 suspected, confessed to none"
Country where killing occurred,United States
States where killing occurred,South Carolina
Cities where killing occurred,Charleston
Counties where killing occurred,Charleston
Type of killer,Not a serial killer
Height,"Male- Tall, Female-short"
Childhood Information,
Date of birth,1793/1791
Location,South Carolina
Birth order,John- 4th of 4
Number of siblings,John-3 sisters
Raised by,John- James Fisher and Esther Fisher
Parent’s marital status,John- Married
Did serial killer spend time in an orphanage?,John- No
Did serial killer spend time in a foster home?,John- No
Was serial killer ever raised by a relative?,"John- Yes, uncles George Fisher"
Did serial killer ever live with adopted family?,John- No
Did serial killer ever live with a step-parent?,John-No
Family event,John- No
Age of family event,John-No
Physically attractive?,"John- Tall, slim, fair skin, dark hair; Lavinia- Beautiful"
Physical defect?,Lavinia - Knocked Knees
Cognitive Ability,
Work History,
Types of jobs worked,Inn Keeper
Employment status during series,Inn Keeper
Sexual preference,Heterosexual
Marital status,Married
Number of children,No children
Living with,Spouse (Lavinia)
Triad,
Animal torture,No
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist (prior to killing)?,No
Time in forensic hospital (prior to killing)?,No
Killer Criminal History (Prior to the series),
Committed previous crimes?,John- theft
Spent time in jail?,No
Spent time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims (suspected of),2
Victim type,"Prostitute, drug dealer, family, neighbors, young women"
Killer age at start of series,"John- 29, Lavinia-28"
Killer age at end of series,"John-29, Lavinia-28"
Method of killing,Assault
Was gun used?,No
Did killer have a partner?,John and Lavinia were part of a the Six Mile Gang
Name of partner,"William Heyward, Joseph Roberts, and James McElroy"
Sex of partner,Male’s
Relationship of partner,Friends
How close did killer live?,Walking distance at the Six Mile Inn
Location of first contact,Killer’s Home
Location of killing,Killer’s home
Killing occurred in home of victim?,No
Killing occurred in home of killer?,Yes
Victim abducted or killed at contact?,Killed at contact
Behavior During Crimes,
After Death Behavior,
Disposal of Body,
"Left at scene, hidden",N/a
"Left at scene, buried",Yes
"Moved, buried",No
Cut-op and disposed of,No
Burned body,No
"Dumped body in lake, river, etc.",No
"Moved, took home",No
Date killer arrested,2/18/1819
Date convicted,1/18/1820
Sentence,Death by Hanging
Killer executed?,Yes
Did killer plead NGRI?,No
Was the NGRI plea successful?,No
Did serial killer confess?,No
Name and state of prison,"Old City Jail, Charleston, SC."
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,2/18/1820
Cause of death,Executed by Hanging
Name,David Ross
Date killed,"Not killed, assaulted"
Gender,Male
Race,White
Did killer confess to this murder?,No
Was killer convicted of this murder?,No
Did killer confess to this murder?,No
Was killer convicted of this murder?,No
"References 
Genealogy, Family Trees, and History Records. (n.d). Retrieved from http://ancestory.com. Information 	discredited 
Bell, M. (2007, October 18). Lavinia Fisher. Retrieved from http://www.findagrave.com/cgi-	bin/fg.cgi?page=gr&GRid=22289637. Information discredited 
Famous female serial killers - Lavinia Fisher. (n.d.). Retrieved from 
	http://www.femaleserialkillers.info/lavinia_fisher.html. Information discredited 
Lavinia fisher - first female American serial killer. (n.d.). Retrieved from 
	http://www.legendsofamerica.com/sc-laviniafisher.html. Information discredited 
McConnell Library Database. 
Murderpedia- the encyclopedia of murderers. (n.d). Retrieved from http://www.Murderpedia.org/ . Information discredited 
Orr, Bruce (2012). Six miles to Charleston: the true story of John and Lavinia Fisher. Charleston, SC: The 	History Press",
