Heading,Value
Sex,Male
Race,White
Number of victims,"10 (some sources count one more, Linda Aguilar’s unborn child, for a total of 11)"
Country where killing occurred,United States
States where killing occurred,"California, Nevada, and Oregon"
Type of killer,"Serial thrill killer with a partner, “wife” Charlene Williams"
Height,5’7”
Childhood Information,
Date of birth,"July 17, 1946"
Location,"Sacramento, California (Hawthorne District)"
Birth order,1
Number of siblings,"Two half brothers David Hunt (older) & George Bulgar, Jr (younger)"
XYY?,No
Raised by,"Mother but he also had two different stepfathers, neither of which he got along with"
Birth category,Only child
Parent’s marital status,Divorced
Family event,1955-Father was first man executed in the Mississippi gas chamber for the murder of a police officer
Age of family event,9
Problems in school?,A number of problems in school
Physically attractive?,Somewhat attractive
Physical defect?,Birthmark on face
Head injury?,None reported although he will later try to use a head injury as part of a defense
Father’s occupation,Criminal
Age of first sexual experience,12
Mother’s occupation,Prostitute
Cognitive Ability,
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,Fired a lot from jobs
Types of jobs worked,Bartender and truck driver
Employment status during series,Usually killed while he was out of work
Sexual preference,Heterosexual
Marital status,"-Married five times, only once legally 
-Remarried Charlene Williams on 9/30/1978-however, they do not realize it is not a legal marriage because he never divorced his second wife 
-They remarry in 6/1/1980 under the alias Feil"
Number of children,"1 girl-Sally Jo or Krista (sources vary) & 1 boy, Gallego Armond Gerald, Jr. born after he was in prison.  He also has one daughter he never met."
Lives with his children,"Awarded permanent custody of Mary Ellen, but she lived with her grandmother"
Living with,"Spouse in Sacramento, California"
Triad,
Animal torture,"No, a puppy (Queenie) was his only friend when he was 8"
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,Smoked pot and did cocaine
Abused alcohol?,Alcohol abuse
Been to a psychologist?,Yes
Killer Criminal History,
Committed previous crimes?,Yes
Spend time in jail?,Yes
Spend time in prison?,Yes
Serial Killing,
Number of victims,10
Victim type,Young women-in search of the perfect “sex slave”
Killer age at start of series,32
Gender of victims,9 females and 1 male
Race of victims,White
Age of victims,"13, 14, 16, 17, 17, 17, 21, 21, 22, 34"
Method of killing,"Strangle, Shoot, Beat to death"
Type of serial killer,Organized lust
How close did killer live?,Drove to crime-often times going to malls to look for the victims
Killing occurred in home of victim?,"No, usually outdoors"
Killing occurred in home of killer?,Rape of Virginia Mochel occurred in the home of killer
Weapon,"Killer brought with him:  tire iron, rock, shovel, hammer, blunt objects, gun"
Behavior During Crimes,
Rape?,Yes-every female victims was raped; he was in search of the “perfect sex slave”
Tortured victims?,Yes-would bite victims
Stalked victims?,No
Quick & efficient?,Yes
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,No
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide","Yes-but only one, he shot Craig Miller and left him lying at the scene"
"Moved, buried",Yes
Date killer arrested,11/17/1980
Date convicted,"June 21, 1983-sentenced to death in a California courtroom for the murders of Mary Beth Sowers and Craig Miller. May 23, 1984-sentenced to death for the killings of Karen Twiggs & Stacey Redican in Nevada (making him one of the few people to ever be sentenced to death simultaneously in two states); death sentence for Nevada was overturned in 1997 and there was a court ordered retrial of the penalty phase.  There was also a large, nationwide outpouring against Mr. Gallego and the prosecution in Nevada was partly financed by the public. The small town of Lovelock, Nevada was afraid that the budget could not afford to prosecute the killer, so the public sent in from $19,000- $25,000 in donations to help fund the case."
Sentence,Death
Killer executed?,No
Did killer plead NGRI?,"No-but in 1999 in a competency hearing to ensure he was capable of facing retrial, Dr. David Foster (a psychiatrist working for the defense) testified that Gallego had post-traumatic stress disorder from an abusive upbringing and was suffering from brain damage that occurred when he was young"
Was the NGRI plea successful?,NO
Name and state of prison,Ely State Prison in Nevada
Killer committed suicide?,No
Killer killed in prison?,"No-died of cancer (rectal, lung, liver)"
Date of death,"July 18, 2002"
