Heading,Value
Sex,Male
Race,White
Number of victims,13
Country where killing occurred,United States
States where killing occurred,"New York, Yonkers, Denver, Albany NY"
Childhood Information,
Date of birth,"December 10, 1927"
Location,"Bronx, New York"
Birth order,Only child
Number of siblings,
XYY?,No
Raised by,Both parents
Birth category,Only child
Parent’s marital status,Married
Family event,Dad died October 1952
Age of family event,25
Problems in school?,"None, he excelled in every subject"
Teased while in school?,"Yes, he was called chipmunk or weasel"
Physically attractive?,No
Physical defect?,
Speech defect?,
Head injury?,"None, but he did tie a rope around his neck"
Physically abused?,He would abuse himself with a rope started at age 4
Psychologically abused?,No
Sexually abused?,No
Father’s occupation,Milliner in garment district of Bronx
Age of first sexual experience,18 when he sexually molested Noreen Laurel
Age when first had intercourse,30
Mother’s occupation,Not known
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,12
Highest degree,Diploma from High School
Grades in school,Excelled in school
IQ,"130, 90, 140"
Work History,
Served in the military?,N/a
Branch,N/a
Type of discharge,N/a
Saw combat duty,N/a
Killed enemy during service?,N/a
Applied for job as a cop?,N/a
Worked in law enforcement?,N/s
Fired from jobs?,N/a
Types of jobs worked,Television repair man and “photographer”
Employment status during series,Posing as a photographer
Sexual preference,Hetero
Marital status,"Single, never married"
Living with,Mother and father
Triad,
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,No
Been to a psychologist?,Yes
Time in forensic hospital?,No
Diagnosis,"Diagnosed with different problems: Psychopathic personality, schizophrenic, having sexual perverted impulses, psycho-educated and if still anti-social should be segregated even if schizophrenia does not seem developed, psychoneurosis-Compulsive or anxiety type with depression, no evidence of 
schizophrenia"
Killer Criminal History,
Committed previous crimes?,Yes
Spend time in jail?,No
Spend time in prison?,Yes
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,3─2 models and 1 “good girl”
Victim type,Young women
Killer age at start of series,30
Gender of victims,Female
Race of victims,White
Age of victims,"19, 24, 24"
Method of killing,Killed victims using a rope around their neck
Type of serial killer,"Disorganized, lust killer"
How close did killer live?,"Walking distance, drove to crime"
Killing occurred in home of victim?,No
Killing occurred in home of killer?,"No, actual killing occurred in Anza State Park and in a desert"
Weapon,Killer brought with him a rope
Behavior During Crimes,
Rape?,Yes
Tortured victims?,No
Stalked victims?,No
Overkill?,No
Quick & efficient?,Yes
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,"Yes, before and after the death"
Took totem – body part,No
Took totem – personal item,The rope used to kill each woman
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",N/a
"Left at scene, hidden",N/a
"Left at scene, buried",Buried all three in the desert
"Moved, no attempt to hide",N/a
"Moved, buried",N/a
Cut-up and disposed of,N/a
"Moved, too home",N/a
Date killer arrested,"July, 1958"
Date convicted,"November 3, 1958"
Sentence,Death penalty
Killer executed?,Yes
Name and state of prison,"San Quinton, California"
Killer committed suicide?,No
Killer killed in prison?,"Yes, inhaled cyanide @ 10:12 a.m."
Date of death,"September 18, 1959"
"References 
Geringer, J.  Hannibal: Inside the Mind of a Serial Killer found on September 15, 2004 
	from: http://www.courttv.com/archive/hannibal/glatman1.html 
Nash, J.R. (1973). Bloodletters and Badmen: A Narrative Encyclopedia of American Criminals from Pilgrims to the Present. NY: M. Evans and Company Inc. 
Newton, M. (1990). Hunting Humans: An Encyclopedia of Modern Serial 	Killers. WA: Loompanics Unlimited. 
Newton, M. (2002). The Encyclopedia of Kidnappings. NY: Facts on File,Inc. 
Sands, R. An Incomplete Guide to Gruesome Murders found on September 20,2004 	from http://web.ukonline.co.uk/ruth.buddell/glatman.htm 
Sifakis, C. (2001) The Encyclopedia of American Crime, Ed.2. NY: Facts on 
	File, Inc.",
Judy Dull,Shirley Ann Bridgeford        The remains of Ruth Mercado Shirley Ann Bridgeford        The remains of Ruth Mercado
