Date,Age,Life Event,Life Event
01/01/1940,0,"Clifford Robert Olson, Jr. was born in Vancouver, British Columbia. His father was a serviceman for the Canadian Army.  Research does not indicate if his father fought in WWII.","Clifford Robert Olson, Jr. was born in Vancouver, British Columbia. His father was a serviceman for the Canadian Army.  Research does not indicate if his father fought in WWII."
1945,5,"After WWII, his family moved to a subdivision for servicemen created by the government.","After WWII, his family moved to a subdivision for servicemen created by the government."
1950,10,He began skipping classes.,He began skipping classes.
1955,15,He was held back in school for the first of several times.,He was held back in school for the first of several times.
1956,16,He left school to work at a racetrack.,He left school to work at a racetrack.
1957-1981,17-41,"He was arrested 94 times for crimes, such as fraud, armed robbery, sexual assault, firearms offenses, and burglary.  At 41 years old, he had spent only 4 years of his adult life as a free man.","He was arrested 94 times for crimes, such as fraud, armed robbery, sexual assault, firearms offenses, and burglary.  At 41 years old, he had spent only 4 years of his adult life as a free man."
1957-1968,17-28,He escaped from prison 7 times.,He escaped from prison 7 times.
1959,19,"He was eligible for parole, but it was revoked.","He was eligible for parole, but it was revoked."
1972,32,"He was eligible for parole again, and it was revoked again.","He was eligible for parole again, and it was revoked again."
1974,34,He sexually attacked a 17-year-old inmate repeatedly.,He sexually attacked a 17-year-old inmate repeatedly.
1978,38,"While briefly out of prison, he assaulted a 7-year-old girl.","While briefly out of prison, he assaulted a 7-year-old girl."
1978,38,"While back in prison, he was moved to the Super Maximum Unit, where he met child-killer Gary Francis Marcoux.","While back in prison, he was moved to the Super Maximum Unit, where he met child-killer Gary Francis Marcoux."
1980,40,He was released from prison and soon met Joan Hale.,He was released from prison and soon met Joan Hale.
11/17/80,40,Olson killed 12-year-old Christine Anne Weller.,Olson killed 12-year-old Christine Anne Weller.
12/25/80,40,Weller’s body was found.  She had been strangled with a belt and stabbed repeatedly in the chest and abdomen.,Weller’s body was found.  She had been strangled with a belt and stabbed repeatedly in the chest and abdomen.
April 1981,41,Clifford Olson III was born.,Clifford Olson III was born.
4/16/81,41,Olson killed 13-year-old Colleen Marian Daignault.,Olson killed 13-year-old Colleen Marian Daignault.
4/22/81,41,Olson killed 16-year-old Daryn Todd Johnsrude.,Olson killed 16-year-old Daryn Todd Johnsrude.
