Date,Age,Life Event,Life Event
02/28/1960,0,"-Born in El Paso, Texas 
-nicknamed Richie - was a good baby-didn’t cry much, ate & slept well","-Born in El Paso, Texas 
-nicknamed Richie - was a good baby-didn’t cry much, ate & slept well"
1962,2,-Dresser fell on his head. Was knocked unconscious for 15 minutes. Received 30 stitches.,-Dresser fell on his head. Was knocked unconscious for 15 minutes. Received 30 stitches.
1965,5,-Hit in the head with a swing and was knocked unconscious.,-Hit in the head with a swing and was knocked unconscious.
1966,6,"-Witnessed his father beating his oldest brother-Ruben 
-Started having seizures – Diagnosed with Temporal Lobe Eplilepsy","-Witnessed his father beating his oldest brother-Ruben 
-Started having seizures – Diagnosed with Temporal Lobe Eplilepsy"
1967,7,-Started to have problems in school but overall a good student,-Started to have problems in school but overall a good student
1969,9,-Started to be a loner,-Started to be a loner
1970,10,"-Began to smoke marijuana. 
-Would often sleep in the cemetery to escape his fathers rage.","-Began to smoke marijuana. 
-Would often sleep in the cemetery to escape his fathers rage."
1972,12,"-Started hanging out with his cousin Mike. Mike was a Vietnam war veteran and he began showing Richard graphic photographs of women performing oral sex on his cousin at gun point.  Another picture shows Mike holding the severed head of the same women. 
-Was sexual aroused by these photographs. 
-Threw a rock through the neighbor’s widow, when his mother was informed she just shrugged.","-Started hanging out with his cousin Mike. Mike was a Vietnam war veteran and he began showing Richard graphic photographs of women performing oral sex on his cousin at gun point.  Another picture shows Mike holding the severed head of the same women. 
-Was sexual aroused by these photographs. 
-Threw a rock through the neighbor’s widow, when his mother was informed she just shrugged."
1973,13,Was 5’9” and 190 lbs,Was 5’9” and 190 lbs
05/04/1973,13,Witnessed his cousin murder his wife.,Witnessed his cousin murder his wife.
1973,13,"-Stopped paying attention in school 
-Went to Los Angeles for the first time to visit his brother Ruben.  During which time he started to get into pornography and learned from his brother how to pick locks, open windows from the outside, and alarm systems.","-Stopped paying attention in school 
-Went to Los Angeles for the first time to visit his brother Ruben.  During which time he started to get into pornography and learned from his brother how to pick locks, open windows from the outside, and alarm systems."
07/13/1973,13,-Moved in with his sister Ruther and her husband Roberto Avala.,-Moved in with his sister Ruther and her husband Roberto Avala.
1973-1977,Teenager,"-Not a gang member, but ran with a group that smoked a lot of weed. Dressed in all black and listened to ACDC on a walkman. With this group he began stealing and entering homes through unlocked windows. 
-Began to stalk and hunt rabbits, coyotes and birds.  Would often gut the animals and feed the entrails to his dog. 
-Began to experiment with hallucinogens (mushrooms & peyote)","-Not a gang member, but ran with a group that smoked a lot of weed. Dressed in all black and listened to ACDC on a walkman. With this group he began stealing and entering homes through unlocked windows. 
-Began to stalk and hunt rabbits, coyotes and birds.  Would often gut the animals and feed the entrails to his dog. 
-Began to experiment with hallucinogens (mushrooms & peyote)"
1973-1977,Teenager,"-Was known as Ricky the Klepto, aka. Dedos or Fingers -Began to have sex with prostitutes","-Was known as Ricky the Klepto, aka. Dedos or Fingers -Began to have sex with prostitutes"
1973-1977,Teenager,-Sent to the Texas youth camp for juvenile delinquents,-Sent to the Texas youth camp for juvenile delinquents
1973-1977,Teenager,-After returning from the camp he constantly cut class and his grades fell. He,-After returning from the camp he constantly cut class and his grades fell. He
,,,
,,failed to attempts at 9th grade and dropped out of high school at 17.,
1977,17,First sexual experience with a women who was not a prostitute – Nancy Avila,
Late 1977,17,Cousin Mike was released from Texas state Mental Hospital and started hanging out with him again.,
1978,18,"February - Moved to Los Angeles 
Habitual drug user and candy eater. Resulted in tooth decay",
1978,18,"Began to worship Satan 
Drove to San Francisco to meet Anton LaVey, author of  The Satanic Bible",
1978-1984,18-24,"Arrested many times for possession, breaking and entering, theft, and auto theft",
1979,19,Began to let personal hygiene go.,
1981,21,Arrested in Pasadena for auto theft,
1983,23,"His Sister Ruth went to LA to try to convince Richard to move back to El Paso. He refused, admitted to being a thief and that Satan was protecting him.",
1984,24,Arrested in Los Angeles for auto theft,
06/28/1984,24,Entered through an open window and violently stabbed Jennie Vincow (79) while she slept.  He had sex with the corpse.,
03/17/1985,25,"Shot Angela Bar (22) outside her condo, she survived. Inside he shot and killed her roommate Dayle Okazaki (34). An hour later he jumped Tsai-Lian Yu (30) and pulled her from her car and left her in the road. Three days later he killed an eight-year-old girl from Eagle Rock.",
03/27/1985,25,"Shot and killed Vincent Zazzarra (64) and his wife Maxine (44). Maxine’s body was mutilated, a T was carved on her left breast, and her eyes were gouged out.",
05/29/1985,25,"Killed Malvial Keller (83) and severely hurt her invalid sister Blanche Wolfe (80) with a hammer. Attempted to rape Keller, but failed. Drew a pentagram on her thigh and on the wall in the room. The next day he bound, raped, and sodomized Ruth Wilson (41) while her 12-year old son was locked in a closet. 
Afterward he cut her once, but then tired her and her son together and left.",
06/27/1985,25,Raped a six-year-old girl in Acadia,
06/28/1985,25,Beat and slit Patty Higgins’ (32) throat.,
07/02/1985,25,Killed Mary Cannon (75) by beating and slitting her throat.,
07/05/1985,25,"Beat Deidre Palmer (16) with a tire iron, she survived.",
07/07/1985,25,"Beat Joyce Lucille Nelson (61) to death. On the same day he attacked Linda Fortuna (63) and tried to rape her, but failed.",
07/20/1985,25,"Maxon Kneiling (66) and wife Lena (66) were shop and corpses mutilated. On the same day he shot Chitat Assawahem (31). Sakima (29) his wife was beaten and forced to perform oral sex. $He collected 30,000 in valuables and 
sodomized the couple’s eight-year-old son.",
08/06/1985,25,Shot both Christopher Peterson (38) and his wife Virginia (27) in the head. They both survived.,
08/08/1985,25,Shot Ahmed Zia (35) and raped and sodomized his wife Suu Kyi (28) also forced her to perform oral sex.,
