Heading,Value
Sex,Male
Race,White
Number of victims,Between 200 and 357
Country where killing occurred,Great Britain
States where killing occurred,"Towns of: Hyde, Tameside, Great Manchester, West Yorkshire, etc."
Type of killer,Angel of Death
Height,
Childhood Information,
Date of birth,"January 14, 1946"
Location,"Nottingham, England"
Birth order,2nd of 3
Number of siblings,Two siblings; he was born the 2nd of three
XYY?,No
Raised by,His mother-had many restrictions on him about being social
Birth category,He was born in the middle of two other siblings
Parent’s marital status,
Family event,"His Mother, Vera, dies – He had taken care of her a great deal"
Age of family event,17 (6/24/1963)
Problems in school?,Other children and people thought of him as a “loner”; he was not a social person
Teased while in school?,They called him a “control freak”
Physically attractive?,"Not really unattractive, just has the look of an older doctor"
Physical defect?,No
Speech defect?,No
Head injury?,No
Physically abused?,No
Psychologically abused?,His mother was overprotective and didn’t allow him to socialize
Sexually abused?,No
Father’s occupation,Hosiery warehouseman
Age of first sexual experience,Unable to find
Age when first had intercourse,Unable to find
Mother’s occupation,Stayed at home with the children
Father abused drugs/alcohol,No
Mother abused drugs/alcohol,No
Cognitive Ability,
Highest grade in school,He finished school and attended college and medical school
Highest degree,He earned an MD (medical degree)
Grades in school,Describes his grades as adequate enough to receive his degree
IQ,Unable to find
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Fired from jobs?,"Yes, forced out of practice at Pontefract General Infirmary"
Types of jobs worked,"Junior Doctor at Pontefract General Hospital, Yorkshire, GB; General Practitioner at Todmorden Group Practice in 
Todmorden, GB; Clinical Medical Officer in South West Durham, GB; General Practitioner at Donneybrook House Group Practice in Hyde, Cheshire, GB; Ran his own General Practitioner practice (The Surgery) in Hyde, Cheshire, GB."
Employment status during series,Employed as a physician.
Sexual preference,Heterosexual
Marital status,Married at age 19 to a girl who was 17 and 5 months pregnant
Number of children,4
Lives with his children,Until they were adults
Living with,"Wife and while they were young, his children"
Triad,
Animal torture,No
Fire setting,No
Bed wetting,No
Killer Psychological Information,
Abused drugs?,"Yes, Pethidine"
Abused alcohol?,No
Been to a psychologist?,Yes
Time in forensic hospital?,"Spent time at The Retreat, a psychiatric center in York."
Diagnosis,No credible diagnosis
Killer Criminal History,
Committed previous crimes?,Prescribing Pethidine for patients and taking it himself
Spend time in jail?,No
Spend time in prison?,No
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,Between 200 and 357?
Victim type,"Elderly people, mostly women- his patients"
Killer age at start of series,28- lasted for almost two decades
Gender of victims,Mostly women
Race of victims,Mostly white
Age of victims,"His elderly patients, often over 75"
Method of killing,"Giving his patients, who were otherwise healthy, an overdose of morphine; he was able to face the families of his victims without even the slightest bit of guilt."
Type of serial killer,Angel of Death
How close did killer live?,"All victims were patients at his practice, and all but one were killed in their homes if he had made a house call"
Killing occurred in home of victim?,"Yes, he would visit patients in their home and sometimes say when he got there they were close to death."
Killing occurred in home of killer?,No
Weapon,"Poison, overdose of morphine"
"Behavior During Crimes- His attitude towards victims and families was rude, arrogant and uncompassionate",
Rape?,No
Tortured victims?,No
Stalked victims?,No
Overkill?,No
Quick & efficient?,"Yes,  in fact patients submitted willingly, with no idea they were in danger"
Used blindfold?,No
Bound the victims?,No
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,"Uncertain, speculation that he took jewelry from some of his patients."
Robbed victim or location,No
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Sentencing,Convicted of killing 15 patients with lethal injections of Diamorphine
Date killer arrested,"September 7, 1998"
Date convicted,"January 31, 2000"
Sentence,15 life sentences
Killer executed?,"No, put in prison for life"
Did killer plead NGRI?,No
Name and state of prison,"HMP Wakefield Prison, West Yorkshire, England"
Killer committed suicide?,"Yes, hung himself in prison from the cell bars with his bed sheets. They said he definitely should have been on suicide watch at the prison"
Killer killed in prison?,No
Date of death,"January 13, 2004"
"References 
1.)http://news.bbc.co.uk/1/hi/uk/3391871.stm 
2.)www.crimelibrary.com 
3.)http://news.bbc.co.uk/1/hi/uk/2136444.stm 
4.)http://www.the-shipman-inquiry.org.uk/home.asp 
5.)http://www.guardian.co.uk/shipman/Story/0,2763,1400553,00.html 
6.)http://www.murderuk.com/serialkillers/drharold.htm 
7.)http://en.wikipedia.org/wiki/Harold_Shipman 
8.)http://www.portfolio.mvm.ed.ac.uk/studentwebs/session2/group12/harold.htm 
9.)http://opioids.com/heroin/dr-shipman.html 
10.)http://www.bbc.co.uk/crime/caseclosed/shipman.shtml 
11.)http://news.bbc.co.uk/1/hi/in_depth/uk/2000/the_shipman_murders/the_shipman_files/609972.stm 12.)http://news.bbc.co.uk/1/hi/uk/471479.stm 
13.)http://news.bbc.co.uk/1/hi/health/231361.stm 
14.)http://news.bbc.co.uk/1/hi/health/178449.stm 
15.)Clarkson, Wensley .(2002). The Good Doctor. St. Martines Press, New York, NY 
16.)Whittle, Brian & Ritchie, Jean. (2000). Prescription for Murder:  The True Story of Mass Murderer 	Dr. Harold Frederick Shipman.Great Britain: Warner Books.",
