Heading,Value
Sex,Female
Race,White
Number of victims,7
Country where killing occurred,United States
States where killing occurred,Florida
Cities where killing occurred,Daytona area
Type of killer,e.g. Organized lust
Height,5’04”
Childhood Information,
Date of birth,"February 29, 1956"
Location,"Rochester, Michigan"
Birth order,2nd child of 2
Number of siblings,1
XYY?,
Raised by,Grandparents
Birth category,Youngest
Parent’s marital status,Divorced
Family event,Finding out her grandparents were not her biological parents
Age of family event,
Problems in school?,"Poor student, could not concentrate, set roll of toilet paper on fire"
Teased while in school?,
Physically attractive?,"Had burns on face & arms, good looks, neat figure"
Physical defect?,
Speech defect?,
Head injury?,
Physically abused?,Beat by grandfather with branch from willow tree
Psychologically abused?,
Sexually abused?,Claims she had intercourse with her grandfather and brother
Father’s occupation,
Age of first sexual experience,
Age when first had intercourse,11
Mother’s occupation,
Cognitive Ability,
Highest grade in school,9th grade
Highest degree,Dropped out of high school
IQ,81 (first testing); 89 (second testing)
Work History,
Served in the military?,No
Applied for job as a cop?,No
Worked in law enforcement?,No
Types of jobs worked,prostitution
Employment status during series,Worked as a prostitute
Sexual preference,Bisexual
Marital status,"Married, Divorced"
Number of children,1
Lives with his children,No
Living with,Girlfriend
Triad,
Animal torture,No
Fire setting,Yes
Bed wetting,No
Killer Psychological Information,
Abused drugs?,No
Abused alcohol?,Yes
Been to a psychologist?,Yes
Killer Criminal History,
Committed previous crimes?,Yes
Spend time in jail?,Yes
Spend time in prison?,Yes
Killed prior to series?  Age?,No
Serial Killing,
Number of victims,7
Victim type,Men who picked up hitchhikers
Killer age at start of series,33
Date of first kill in series,1989
Date of final kill in series,1990
Gender of victims,Male
Type of victim,Men who picked up prostitutes
Method of killing,Killed victims with a gun
Weapon,Killer brought with her
Was gun used?,Yes
Type,Handgun
Did killer have a partner?,No
Type of serial killer,"Disorganized, thrill"
How close did killer live?,Rode to crime scene with victims
Location of first contact,Victim’s car
Location of killing,Victim’s car/woods
Killing occurred in home of victim?,No
Killing occurred in home of killer?,No
Victim abducted or killed at contact?,No
Behavior During Crimes,
Rape?,No
Tortured victims?,No
Stalked victims?,No
Overkill?,Yes
Quick & efficient?,Yes
Used blindfold?,No
Bound the victims?,Yes
After Death Behavior,
Sex with the body?,No
Mutilated body?,No
Ate part of the body?,No
Drank victim’s blood?,No
Posed the body?,No
Took totem – body part,No
Took totem – personal item,Yes
Robbed victim or location,Yes
Disposal of Body,
"Left at scene, no attempt to hide",Yes
"Left at scene, hidden",No
"Left at scene, buried",No
"Moved, no attempt to hide",No
"Moved, buried",No
Cut-op and disposed of,No
"Moved, too home",No
Date killer arrested,"January 9, 1991"
Date convicted,"January 27, 19925"
Sentence,Death
Killer executed?,Yes
Did killer plead NGRI?,No
Name and state of prison,Broward Correctional Institute
Killer committed suicide?,No
Killer killed in prison?,No
Date of death,"October 9, 2002"
"References 
Monster- My True Story  Aileen Wuornos with Christopher Berry-Dee John Blake Publishing Ltd. June 2006 
Aileen Carol Wuornos. [online]. Available: www.clarkprosecutor.org [Howard, T].",
